taxi|Tacsaí|cab, turas, aerfort, tiománaí
shop_pet|Siopa peataí|siopa peataí, bia madraí, uisceadán, gaineamh cait
motorcycle_repair|Deisiú gluaisrothar|deisiú gluaisrothar, gluaisrothar, scútar, moped
bar|Beár|beár, teach tábhairne, manglaim, deochanna
kebab_shawarma|Kebab agus shawarma|kebab, shawarma, gyros, doner
pizzeria|Siopa píotsa|pizza, pizzeria, pizza le tabhairt leat, iodálach
fast_food|Mearbhia|bia tapa, burgar, sceallóga, ceapaire
bakery|Bácús|bácús, arán, rollaí, báicéir
pastry_shop|Siopa cácaí agus taosráin|siopa cácaí, cácaí, taosráin, milseoga
coffee_shop|Caife|caife, caife espresso, barista, teach caife
food_truck|Trucail bia|trucail bia, bia sráide, cistin shoghluaiste
butcher|Búistéir|búistéir, feoil, ispíní, stéigeanna
ice_cream|Siopa uachtar reoite|uachtar reoite, siopa uachtair reoite, gelato, reoiteog
winery|Fíonlann|fíonlann, fíon, siléar fíona, blaiseadh fíona
brewery|Grúdlann|grúdlann, beoir, beoir cheardaíochta, beoir bhairille
nightclub|Club oíche agus dioscó|club oíche, dioscó, damhsa, dj
beach_club|Beár trá agus club trá|beár trá, luíocháin ghréine, trá, club trá
bowling_billiards|Babhláil agus billéardaí|bollaí, billéardaí, dairteanna, púl
travel_agency|Gníomhaireacht taistil|gníomhaireacht taistil, turais, ticéid eitilte, laethanta saoire
nail_salon|Salón ingne, lámhmhaisiú agus cosmhaisiú|salon ingne, mainicíniú, peidicíniú, ingne glóthaí
barber|Bearbóir|bearbóir, bearradh fear, féasóg, bearradh
tattoo_piercing|Tatú agus polladh|tatú, stiúideo tatú, polladh, dúch
spa_sauna|Spá agus sauna|spá, sauna, folláine, folcadh gaile
cosmetics_shop|Siopa cosmaidí|cumhráin, cosmaidí, smideadh, cúram craicinn
dry_cleaning|Tirimghlanadh agus neachtlann|tirimghlanadh, neachtlann, iarnáil, níochán
podiatry|Podiatracht agus cúram coise|cosliaracht, cúram na gcos, ionga isteach, cosa
dental_laboratory|Saotharlann fiaclóireachta|teicneoir fiaclóireachta, déadchíor, coróin, prostatéis
orthodontics|Ortadóntaic|teanntáin, ortadóntas, dírú fiacla, aligner
dermatology|Deirmeolaíocht|dermateolaí, craiceann, ball broinne, aicne
paediatrics|Péidiatraic|dochtúir leanaí, péidiatraic, naíonán, leanaí
gynaecology|Gínéiceolaíocht|gínéiceolaí, sláinte na mban, toircheas, cnáimhseachas
cardiology|Cardeolaíocht|cairdeolaí, croí, ecg, dochtúir croí
medical_imaging|Íomháú leighis|x-gha, ultrafhuaim, mri, scanadh ct
speech_therapy|Teiripe urlabhra|teiripe urlabhra, teiripeoir urlabhra, stad cainte, caint
nutrition_dietetics|Cothú agus diaitéitic|diaitéiteach, cothaitheoir, aiste bia, caillteanas meáchain
bicycle_repair|Deisiú rothar|deisiú rothar, poll i mbonn rothair, seirbhís rothar, rothar
scooter_repair|Deisiú scútar agus móipéidí|deisiú scútar, scútar, vespa, moped
appliance_repair|Deisiú fearas tí|deisiú fearas, meaisín níocháin, cuisneoir, oigheann
phone_repair|Deisiú fón agus táibléad|deisiú fón, athrú scáileáin, iphone, táibléad
computer_repair|Deisiú ríomhairí|deisiú ríomhairí, ríomhaire glúine, pc, athshlánú sonraí
watch_jewellery_repair|Deisiú uaireadóirí agus seodra|uaireadóirí, seodóir, ceallra uaireadóra, méid fáinne
shoe_repair|Deisiú bróg|gréasaí, deisiú bróg, sála, boinn
tailoring_alterations|Táilliúireacht agus athruithe|táilliúir, seamstress, fáithimí, athrú éadaí
upholstery|Cumhdachóireacht|cumhdach troscáin, athchlúdach tolg, cúisíní, clúdach
glazing|Gloiniú agus fuinneoga|gloineadóir, fuinneoga, gloiniú dúbailte, gloine
chimney_sweep|Glanadh simléar|glantóir simléar, simléar, súiche, glanadh simléir
pest_control|Rialú lotnaidí|rialú lotnaidí, fríde leapa, francaigh, cockroaches
pool_maintenance|Cothabháil linne snámha|cothabháil linne, glanadh linne, clóirín, linn snámha
window_cleaning|Glanadh fuinneog|glanadh fuinneog, níochán fuinneog, aghaidh foirgnimh, gloine
car_wash|Nigh carranna|nigh carr, glanadh cairr, snasú, glanadh istigh
car_rental|Carranna ar cíos|carr ar cíos, fruiliú cairr, gluaisteán ar cíos, cíos feithicle
bike_scooter_rental|Rothair agus scútair ar cíos|rothar ar cíos, scútar leictreach, fruiliú rothar, scútar
funeral_services|Seirbhísí sochraide|adhlacóir, sochraid, créamadh, cónra
notary|Nótaire|nótaire poiblí, gníomhais, deimhniú, cumhacht aturnae
bailiff|Forghníomhú cúirte|forghníomhaitheoir, urghabháil, ordú cúirte, báille
patent_trademark|Paitinní agus trádmharcanna|maoin intleachtúil, clárú trádmhairc, paitinn, aturnae paitinne
debt_collection|Bailiú fiacha|bailiú fiach, riaráistí, fiacha, sonraisc gan íoc
company_formation|Bunú cuideachtaí|clárú cuideachta, corprú, bunú gnó, cro
financial_advisory|Comhairle airgeadais|comhairleoir airgeadais, infheistíocht, saibhreas, pleanáil airgeadais
payroll_services|Seirbhísí párolla|párolla, pá, tuarastail, riarachán pá
currency_exchange|Malartú airgeadra|malartú airgeadra, airgeadra eachtrach, oifig mhalairte, ráta malairte
pawnshop|Siopa geallearbtha|geallbhróicéir, gealltán, iasacht comhthaobhachta, ceannach óir
leasing|Léasú agus maoiniú|léasú, maoiniú, ceannach fruilithe, léasú feithiclí
hearing_aids|Áiseanna éisteachta|áis éisteachta, tástáil éisteachta, éisteolaíocht, ionad éisteachta
medical_transport|Iompar leighis|otharcharr, iompar othar, sínteán, iompar leighis
rehabilitation|Ionad athshlánúcháin|athshlánú, téarnamh, ionad athshlánaithe, cóir leighis
occupational_therapy|Teiripe shaothair|teiripeoir saothair, teiripe shaothair, scileanna laethúla, neamhspleáchas
midwifery|Cnáimhseachas|cnáimhseach, breith, toircheas, cúram réamhbhreithe
acupuncture|Snáthaidchóireacht|snáthaidchóireáil, snáthaidí, leigheas síneach, aicipiunctúr
chiropractic|Sciropraictic agus oistéapaite|cnámhaire, oistéapatach, dromlach, pian droma
insulation|Insliú|insliú, insliú áiléir, insliú balla, ábhar inslithe
waterproofing|Uiscedhíonadh|díonadh uisce, taise, séalú dín, seicin
plastering|Plástráil agus líonadh|plástráil, plástar, stucó, críochnú balla
tiling|Leacú tíleanna|tíleáil, tíleanna, tíleanna urláir, criadóireacht
drywall|Plástarchlár agus deighilteoirí|plaisterchlár, deighilteoirí, síleáil crochta, balla tirim
fencing|Fálta agus geataí|fál, geataí, ráillí, sconsa
paving|Pábháil agus cabhsaí|pábháil, cabhsa, cosáin, colbhaí
well_drilling|Druileáil toibreacha|tobar, druileáil, poll tóraíochta, uisce faoi thalamh
septic_systems|Umair seipteacha agus draenáil|dabhach shéarachais, draenáil, séarachas, sistéal
solar_panels|Suiteáil painéal gréine|painéil ghréine, fótavoltach, inbhéartóir, fuinneamh gréine
alarm_cctv|Aláraim agus ceamaraí slándála|aláram, ceamaraí slándála, cctv, faireachas
smart_home|Suiteáil tí chliste|teach cliste, soilsiú cliste, uathoibriú tí, rialú
lift_maintenance|Cothabháil ardaitheoirí|ardaitheoir, seirbhís ardaitheora, staighre beo, deisiú ardaitheora
fire_safety|Sábháilteacht dóiteáin agus múchtóirí|múchtóirí, aláram dóiteáin, sprinklers, sábháilteacht dóiteáin
car_dealer|Déileálaí gluaisteán|díoltóir carranna, carranna athláimhe, díolachán carranna, seomra taispeántais
vehicle_inspection|Scrúdú feithiclí|tástáil nct, scrúdú feithicle, tástáil teicniúil, ionad tástála
auto_electrics|Leictreachas gluaisteán|leictreoir cairr, ailtéarnóir, tosaitheoir, sreangú cairr
car_glass|Gloine gluaisteán agus gaothscátha|gaothscáth, athrú gloine, fuinneoga cairr, scoilt sa ghloine
boat_repair|Deisiú bád|deisiú bád, inneall crochta, bád, luamh
bus_charter|Fruiliú bus agus cóiste|bus ar cíos, cóiste, minibhus, iompar grúpa
call_centre|Lárionad glaonna|ionad glaonna, teileamhargaíocht, seirbhís custaiméirí, tacaíocht ghutháin
virtual_assistant|Cúntóir fíorúil|cúntóir fíorúil, tacaíocht riaracháin, rúnaí cianda, saorearnáil
market_research|Taighde margaidh|taighde margaidh, suirbhéanna, taighde tomhaltóirí, grúpa fócais
copywriting|Scríobh ábhair|scríbhneoir cóipe, eagarthóireacht, profléamh, ábhar
seo_services|SEO agus fógraíocht ar líne|optamú inneall cuardaigh, google ads, fógraíocht ar líne, sem
social_media|Bainistiú meán sóisialta|bainistíocht meáin shóisialta, instagram, facebook, tiktok
app_development|Forbairt aipeanna móibíleacha|forbairt aipeanna, android, aipeanna soghluaiste, flutter
game_development|Forbairt cluichí|forbairt cluichí, unity, unreal, stiúideo cluichí
drone_services|Seirbhísí dróin|drón, grianghrafadóireacht ón aer, scannánaíocht ón aer, léarscáiliú
printing_3d|Priontáil 3T|priontáil 3d, fréamhshamhlacha, monarú breiseáin, printéir 3d
interior_design|Dearadh intí|dearthóir istigh, maisiú, pleanáil spáis, stíliú
dance_school|Scoil damhsa|ranganna damhsa, bailé, salsa, damhsa seomra
art_gallery|Dánlann agus frámáil|frámáil, frámaí, taispeántais, díoltóir ealaíne
