taxi|Taxi|Taxi, carrera, aeropuerto, traslado
dentistry|Odontología|Dentista, clínica dental, ortodoncia, implante, prótesis
physiotherapy|Fisioterapia|Fisioterapeuta, rehabilitación, recuperación
psychology|Psicología|Psicólogo, psicoterapia, terapia, consulta
pharmacy|Farmacia|Farmacéutico, medicamentos, receta, parafarmacia
optometry|Óptica|Óptico, gafas, lentillas, vista
medical_laboratory|Laboratorio clínico|Análisis, extracción, sangre, diagnóstico
software_development|Desarrollo de software|Programador, desarrollador, código, software
web_development|Desarrollo web|Página web, diseño web, tienda online, WordPress
it_support|Soporte informático|Asistencia, administrador de sistemas, PC, ordenador, impresora, red, servidor
cybersecurity|Ciberseguridad|Seguridad informática, cortafuegos, pentesting, copias
data_ai|Datos e inteligencia artificial|Aprendizaje automático, análisis de datos, base de datos
cloud_hosting|Cloud y alojamiento|Servidor, hosting, dominio, AWS, Azure
accounting|Contabilidad|Contable, asesoría, nóminas, facturas, gestoría
audit_tax|Auditoría y fiscalidad|Auditor, asesor fiscal, declaración, IVA
legal_services|Servicios jurídicos|Abogado, despacho, notario, contrato, pleito
hr_recruitment|Recursos humanos y selección|Reclutador, ETT, headhunter, candidatos
management_consulting|Consultoría de gestión|Consultor, estrategia, plan de negocio
insurance_brokerage|Correduría de seguros|Seguros, corredor, póliza, siniestro
real_estate_agency|Agencia inmobiliaria|Inmobiliaria, agente, piso, casa, terreno
architecture|Arquitectura|Arquitecto, proyecto, licencia de obra, planos
manufacturing|Producción industrial|Fábrica, fabricación, industria, montaje
cnc_machining|Mecanizado CNC|Fresado, torneado, torno, mecanizado
metalwork_welding|Carpintería metálica y soldadura|Soldador, cerrajero, acero, portón, barandilla
restaurant|Restaurante|Bar, pizzería, cocina, carta, mesón
catering|Catering|Banquetes, bufé, comidas, eventos
hotel|Hotel|Alojamiento, hostal, motel, habitación, recepción
event_management|Organización de eventos|Eventos, bodas, congresos, escenario
agriculture|Agricultura|Finca, tractor, cosecha, ganado, campos
forestry|Silvicultura|Tala, madera, monte, motosierra
waste_recycling|Residuos y reciclaje|Basura, chatarra, contenedor, vaciados
renewable_energy|Energías renovables|Fotovoltaica, solar, eólica, inversor, aerotermia
marketing_agency|Agencia de marketing|Publicidad, SEO, redes sociales, campaña
graphic_design|Diseño gráfico|Diseñador, logotipo, cartel, catálogo
photography|Fotografía|Fotógrafo, estudio, bodas, cámara
video_production|Producción audiovisual|Vídeo, rodaje, edición, dron
printing_signage|Imprenta y rotulación|Imprenta, lona, pegatinas, rótulo
wholesale|Venta al por mayor|Mayorista, distribuidor, almacén, mercancía
ecommerce|Comercio electrónico|Tienda online, e-commerce, pedidos, envíos
security_services|Servicios de seguridad|Vigilancia, vigilante, alarma, cámaras
hairdressing|Peluquería|Peluquero, barbería, corte, tinte
beauty_salon|Centro de estética|Estética, uñas, pestañas, maquillaje
massage_therapy|Masajes|Masajista, bienestar, spa, relajación
fitness_training|Entrenamiento personal|Entrenador personal, gimnasio, pesas, bicicleta estática
shop_general|Comercio minorista|Tienda, comercio, caja, venta
shop_bicycle|Tienda y taller de bicicletas|Bicicleta, bici, patinete, cadena, rueda
shop_auto_parts|Recambios de automóvil|Recambios, accesorios, filtro, pastillas, aceite
shop_hardware|Ferretería y bricolaje|Ferretería, tornillos, clavos, herramientas, cemento
shop_furniture|Tienda de muebles|Muebles, sofá, armario, cama, cocina
shop_electronics|Electrónica y electrodomésticos|Televisor, nevera, lavadora, móvil
shop_clothing|Tienda de ropa|Ropa, moda, calzado, textil
shop_grocery|Alimentación|Supermercado, ultramarinos, pan, leche, verdura
shop_sports|Tienda de deportes|Artículos deportivos, zapatillas, esquí, tienda de campaña
shop_books|Librería y papelería|Libros, cuadernos, bolígrafos, material de oficina
shop_florist|Floristería|Flores, ramo, rosas, corona
shop_pet|Tienda de mascotas|Pienso, accesorios para mascotas, acuario, jaula
motorcycle_repair|Taller de motos|Moto, ciclomotor, scooter, casco, cadena
bar|Bar|Pub, cafetería, coctelería, terraza
kebab_shawarma|Kebab y shawarma|Döner, dürüm, durum, bocadillo
pizzeria|Pizzería|Pizza, italiano, pizza para llevar
fast_food|Comida rápida|Hamburguesas, patatas fritas, bocadillos
bakery|Panadería|Pan, panadero, bollería, horno
pastry_shop|Pastelería|Tartas, dulces, repostería, confitería
coffee_shop|Cafetería|Café, espresso, barista, cafés de especialidad
food_truck|Food truck|Comida callejera, cocina móvil, furgoneta
butcher|Carnicería|Carne, carnicero, embutidos
ice_cream|Heladería|Helado, gelato, cucuruchos
winery|Bodega|Vino, viñedo, cata, enoteca
brewery|Cervecería artesanal|Cerveza, cerveza artesanal, fábrica de cerveza
nightclub|Discoteca y club nocturno|Disco, club, sala de baile, DJ
beach_club|Chiringuito y beach club|Playa, hamacas, orilla, bar de playa
bowling_billiards|Bolera y billar|Bolos, snooker, dardos
travel_agency|Agencia de viajes|Viajes, vacaciones, vuelos, paquetes
nail_salon|Salón de uñas, manicura y pedicura|Uñas, manicura, pedicura, gel
barber|Barbería|Corte de caballero, barba, afeitado
tattoo_piercing|Tatuajes y piercings|Tatuador, estudio de tatuajes, piercing
spa_sauna|Spa y sauna|Bienestar, baño turco, hammam, termas
cosmetics_shop|Tienda de cosmética|Perfumería, maquillaje, cuidado de la piel, belleza
dry_cleaning|Tintorería y lavandería|Limpieza en seco, lavandería, planchado
podiatry|Podología y cuidado de los pies|Podólogo, uña encarnada, pies
dental_laboratory|Laboratorio dental|Protésico dental, prótesis, coronas
orthodontics|Ortodoncia|Brackets, alineadores, ortodoncista
dermatology|Dermatología|Dermatólogo, piel, lunares, acné
paediatrics|Pediatría|Pediatra, médico de niños
gynaecology|Ginecología|Ginecólogo, obstetricia, salud de la mujer
cardiology|Cardiología|Cardiólogo, corazón, electrocardiograma
medical_imaging|Diagnóstico por imagen|Radiología, ecografía, resonancia, TAC
speech_therapy|Logopedia|Logopeda, terapia del habla, tartamudez
nutrition_dietetics|Nutrición y dietética|Nutricionista, dietista, dieta, adelgazar
bicycle_repair|Reparación de bicicletas|Bici, pinchazo, taller de bicis, ciclismo
scooter_repair|Reparación de motos y ciclomotores|Scooter, ciclomotor, Vespa, 50cc
appliance_repair|Reparación de electrodomésticos|Lavadora, nevera, horno, electrodomésticos
phone_repair|Reparación de móviles y tablets|Móvil, pantalla, iPhone, tablet
computer_repair|Reparación de ordenadores|PC, portátil, recuperación de datos
watch_jewellery_repair|Reparación de relojes y joyas|Relojero, joyero, pila, ajuste de anillo
shoe_repair|Zapatería de reparación|Zapatero, tacones, suelas
tailoring_alterations|Sastrería y arreglos|Sastre, costurera, dobladillo, arreglos
upholstery|Tapicería|Tapicero, sofá, retapizado, muebles
glazing|Cristalería y ventanas|Cristalero, ventanas, vidrio, doble acristalamiento
chimney_sweep|Deshollinado|Deshollinador, chimenea, hollín, tiro
pest_control|Control de plagas|Fumigación, chinches, ratas, cucarachas
pool_maintenance|Mantenimiento de piscinas|Piscina, limpieza de piscina, cloro
window_cleaning|Limpieza de cristales|Limpiacristales, ventanas, fachada
car_wash|Lavado de coches|Lavadero, limpieza de coche, detailing
car_rental|Alquiler de coches|Rent a car, coche de alquiler
bike_scooter_rental|Alquiler de bicis y patinetes|Alquilar bici, patinete eléctrico
funeral_services|Servicios funerarios|Funeraria, entierro, incineración, ataúdes
notary|Notaría|notario, escrituras, notaría, poder notarial
bailiff|Procurador y ejecución judicial|procurador, embargo, ejecución judicial, juzgado
patent_trademark|Patentes y marcas|propiedad industrial, registro de marca, patente, agente de patentes
debt_collection|Recobro de deudas|cobro de morosos, impagados, recobro, deuda
company_formation|Constitución de empresas|constituir sociedad, alta de autónomo, registro mercantil, escritura
financial_advisory|Asesoría financiera|asesor financiero, inversiones, planificación, patrimonio
payroll_services|Gestión de nóminas|nóminas, seguros sociales, salarios, laboral
currency_exchange|Casa de cambio|cambio de divisas, divisa, moneda extranjera, cambio de moneda
pawnshop|Casa de empeños|empeño, préstamo con garantía, compro oro, casa de empeño
leasing|Leasing y financiación|renting, financiación, arrendamiento financiero, cuota
hearing_aids|Audífonos|audiología, audiometría, centro auditivo, sordera
medical_transport|Transporte sanitario|ambulancia, traslado de pacientes, camilla, transporte de enfermos
rehabilitation|Centro de rehabilitación|recuperación, convalecencia, rehabilitación física, fisioterapia
occupational_therapy|Terapia ocupacional|terapeuta ocupacional, autonomía, actividades diarias, terapia
midwifery|Matronas|matrona, comadrona, parto, preparación al parto
acupuncture|Acupuntura|acupuntor, agujas, medicina china, moxibustión
chiropractic|Quiropráctica y osteopatía|osteópata, quiropráctico, columna, dolor de espalda
insulation|Aislamiento térmico|aislante, aislamiento acústico, lana de roca, fachada
waterproofing|Impermeabilización|impermeabilizar, humedades, tela asfáltica, goteras
plastering|Enlucido y yeso|yesero, enfoscado, guarnecido, revoco
tiling|Alicatado y solado|alicatador, azulejos, baldosas, gres
drywall|Pladur y tabiquería|pladur, tabique, falso techo, cartón yeso
fencing|Vallas y portones|valla, cercado, portón, verja
paving|Pavimentos y accesos|adoquín, acera, camino, asfaltado
well_drilling|Perforación de pozos|pozo, sondeo, perforación, agua subterránea
septic_systems|Fosas sépticas y saneamiento|fosa séptica, saneamiento, desagüe, pozo negro
solar_panels|Instalación de placas solares|fotovoltaica, placas solares, inversor, autoconsumo
alarm_cctv|Alarmas y videovigilancia|alarma, cámaras de seguridad, videovigilancia, seguridad
smart_home|Domótica|domótica, casa inteligente, iluminación inteligente, automatización
lift_maintenance|Mantenimiento de ascensores|ascensor, elevador, escalera mecánica, montacargas
fire_safety|Protección contra incendios|extintores, detectores de humo, rociadores, incendios
car_dealer|Concesionario de coches|concesionario, coches de ocasión, venta de coches, vehículos usados
vehicle_inspection|Inspección técnica de vehículos|inspección técnica, revisión, ficha técnica, estación
auto_electrics|Electricidad del automóvil|electricista de coches, alternador, motor de arranque, instalación eléctrica
car_glass|Lunas y parabrisas|parabrisas, luna delantera, cristales del coche, lunas
boat_repair|Reparación de embarcaciones|astillero, motor fueraborda, náutica, embarcación
bus_charter|Alquiler de autocares|autocar, autobús, minibús, transporte de grupos
call_centre|Centro de llamadas|telemarketing, atención telefónica, teleoperadores, contact center
virtual_assistant|Asistente virtual|asistente remoto, apoyo administrativo, secretaria virtual, freelance
market_research|Estudios de mercado|encuestas, estudio de mercado, grupos focales, investigación
copywriting|Redacción de contenidos|redactor, corrección de textos, contenidos, redacción
seo_services|SEO y publicidad online|posicionamiento web, google ads, publicidad online, sem
social_media|Gestión de redes sociales|community manager, instagram, facebook, tiktok
app_development|Desarrollo de apps móviles|desarrollo móvil, android, aplicaciones, flutter
game_development|Desarrollo de videojuegos|videojuegos, unity, unreal, estudio de juegos
drone_services|Servicios con dron|dron, fotografía aérea, vuelo con dron, topografía aérea
printing_3d|Impresión 3D|impresora 3d, prototipos, fabricación aditiva, prototipado
interior_design|Interiorismo|decorador, decoración, reforma estética, ambientación
dance_school|Escuela de baile|clases de baile, ballet, salsa, academia de baile
art_gallery|Galería de arte y enmarcado|enmarcado, marcos, exposiciones, arte
