taxi|出租车|出租车, 打车, 接送, 机场接送
data_ai|数据与人工智能|人工智能, 机器学习, 数据分析, 算法
cloud_hosting|云服务与托管|服务器, 云服务, 主机, 域名
accounting|会计记账|会计, 记账, 代理记账, 报税
audit_tax|审计与税务|审计, 税务咨询, 财务报表, 增值税
legal_services|法律服务|律师, 法律咨询, 律所, 合同审查
hr_recruitment|人力资源与招聘|招聘, 猎头, 人力资源, 劳务派遣
management_consulting|管理咨询|管理咨询, 企业顾问, 战略咨询, 商业计划
insurance_brokerage|保险经纪|保险经纪, 保险, 保单, 理赔
real_estate_agency|房产中介|房产中介, 中介, 二手房, 租房
architecture|建筑设计|建筑设计, 建筑师, 图纸, 报建
manufacturing|制造业|制造, 工厂, 生产, 组装
cnc_machining|数控加工|数控加工, 车床, 铣床, 机械加工
metalwork_welding|金属加工与焊接|焊接, 电焊, 钢结构, 金属加工
restaurant|餐厅|餐厅, 饭店, 餐馆, 菜单
catering|宴会承办|餐饮服务, 宴会, 自助餐, 配餐
hotel|酒店|酒店, 住宿, 宾馆, 客房
event_management|活动策划|活动策划, 婚礼策划, 会议策划, 会展
agriculture|农业|农业, 农场, 拖拉机, 收割
forestry|林业|林业, 伐木, 木材, 电锯
waste_recycling|废弃物与回收|垃圾清运, 废品回收, 废铁, 回收
renewable_energy|可再生能源|太阳能, 风能, 新能源, 热泵
marketing_agency|营销公司|营销, 广告, 推广, 广告公司
graphic_design|平面设计|平面设计, 标志设计, 排版, 视觉设计
photography|摄影|摄影, 摄影师, 婚纱摄影, 照相馆
video_production|视频制作|视频制作, 拍摄, 剪辑, 航拍
printing_signage|印刷与广告牌|印刷, 广告牌, 喷绘, 标识制作
wholesale|批发|批发, 经销商, 供应商, 货源
ecommerce|电子商务|电商, 网店, 网上商城, 跨境电商
security_services|安保服务|保安, 安保服务, 巡逻, 监控
hairdressing|理发店|理发, 发型, 染发, 美发店
beauty_salon|美容院|美容院, 美甲, 皮肤护理, 面部护理
massage_therapy|按摩|按摩, 推拿, 足疗, spa按摩
fitness_training|健身指导|健身教练, 健身房, 私教, 力量训练
shop_general|商店|商店, 零售, 店铺, 便利店
shop_bicycle|自行车店与维修|自行车店, 自行车, 修车, 电动自行车
shop_auto_parts|汽车配件店|汽车配件, 汽配, 汽车用品, 滤芯
shop_hardware|五金与工具店|五金店, 建材, 工具, 螺丝
shop_furniture|家具店|家具店, 家具, 沙发, 橱柜
shop_electronics|电子与家电店|电器, 家电, 电视, 洗衣机
shop_clothing|服装店|服装店, 服饰, 鞋子, 时装
shop_grocery|食品杂货店|超市, 便利店, 食品店, 生鲜
shop_sports|体育用品店|体育用品, 运动装备, 户外用品, 滑雪
shop_books|书店与文具店|书店, 文具店, 图书, 办公用品
shop_florist|花店|花店, 鲜花, 花束, 花圈
shop_pet|宠物用品店|宠物店, 狗粮, 水族箱, 猫砂
motorcycle_repair|摩托车维修|摩托车维修, 摩托车, 电动车, 踏板车
bar|酒吧|酒吧, 清吧, 鸡尾酒, 小酒馆
kebab_shawarma|烤肉卷与沙威玛|烤肉卷, 沙威玛, 土耳其烤肉, 肉夹卷
pizzeria|披萨店|披萨, 比萨店, 外带披萨, 意式
fast_food|快餐|快餐, 汉堡, 炸鸡, 薯条
bakery|面包房|面包店, 面包, 烘焙, 糕点房
pastry_shop|蛋糕西点店|蛋糕店, 甜品, 生日蛋糕, 西点
coffee_shop|咖啡馆|咖啡厅, 咖啡, 意式浓缩, 咖啡师
food_truck|餐车|餐车, 街头小吃, 流动餐车
butcher|肉铺|肉铺, 猪肉, 香肠, 生鲜肉
ice_cream|冰淇淋店|冰淇淋, 雪糕, 甜筒, 意式冰淇淋
winery|酒庄|酒庄, 葡萄酒, 酒窖, 品酒
brewery|啤酒厂|啤酒厂, 啤酒, 精酿, 扎啤
nightclub|夜总会与迪厅|夜店, 夜总会, 蹦迪, 酒吧夜场
beach_club|海滩酒吧与海滩俱乐部|海滩酒吧, 沙滩椅, 海边, 海滨会所
bowling_billiards|保龄球与台球|保龄球, 台球, 桌球, 飞镖
travel_agency|旅行社|旅行社, 旅游, 机票, 跟团游
nail_salon|美甲店，修手与修脚|美甲店, 指甲, 修脚, 光疗甲
barber|男士理发|理发店, 男士理发, 剃须, 修胡子
tattoo_piercing|纹身与穿孔|纹身, 纹身店, 穿孔, 打耳洞
spa_sauna|水疗与桑拿|水疗, 桑拿, 汗蒸, 养生馆
cosmetics_shop|化妆品店|化妆品店, 香水, 彩妆, 护肤品
dry_cleaning|干洗与洗衣|干洗, 洗衣店, 熨烫, 洗衣
podiatry|足病与足部护理|足部护理, 修脚, 嵌甲, 足疗保健
dental_laboratory|牙科技工所|齿科技工, 假牙, 牙冠, 义齿
orthodontics|口腔正畸|正畸, 牙套, 矫正牙齿, 隐形矫正
dermatology|皮肤科|皮肤科, 皮肤病, 痣, 痤疮
paediatrics|儿科|儿科, 儿科医生, 婴儿, 小儿
gynaecology|妇科|妇科, 妇产科, 怀孕, 产科
cardiology|心脏内科|心内科, 心脏科, 心电图, 心脏病
medical_imaging|医学影像|拍片, 超声, 核磁共振, ct
speech_therapy|言语治疗|言语治疗, 语言康复, 口吃, 发音矫正
nutrition_dietetics|营养与膳食|营养师, 膳食指导, 减肥, 饮食调理
bicycle_repair|自行车维修|修自行车, 自行车维修, 补胎, 单车保养
scooter_repair|踏板车与助力车维修|修踏板车, 踏板车, 电动车维修, 助力车
appliance_repair|家电维修|家电维修, 洗衣机, 冰箱, 烤箱
phone_repair|手机与平板维修|手机维修, 换屏, 苹果手机, 平板
computer_repair|电脑维修|电脑维修, 笔记本, 台式机, 数据恢复
watch_jewellery_repair|钟表与珠宝维修|修表, 珠宝维修, 换电池, 戒指改圈
shoe_repair|修鞋|修鞋, 补鞋, 换鞋跟, 换鞋底
tailoring_alterations|裁缝与改衣|裁缝, 改衣服, 修改裤长, 定制
upholstery|家具软包|沙发换皮, 软包, 座椅翻新, 布艺翻新
glazing|玻璃与门窗|玻璃安装, 门窗, 中空玻璃, 玻璃
chimney_sweep|烟囱清扫|烟囱清扫, 烟囱, 清灰, 烟道
pest_control|害虫防治|杀虫, 灭鼠, 除臭虫, 灭蟑螂
pool_maintenance|泳池维护|泳池维护, 泳池清洁, 氯, 游泳池
window_cleaning|擦窗清洁|擦玻璃, 洗窗, 外墙清洗, 窗户清洁
car_wash|洗车|洗车, 洗车店, 内饰清洁, 打蜡
car_rental|租车|租车, 汽车租赁, 自驾租车, 包车
bike_scooter_rental|自行车与滑板车租赁|自行车租赁, 电动滑板车, 租自行车, 滑板车
funeral_services|殡葬服务|殡葬服务, 葬礼, 火化, 棺材
notary|公证处|公证处, 公证, 委托书, 公证员
bailiff|强制执行|法院执行, 强制执行, 查封, 执行员
patent_trademark|专利与商标|知识产权, 商标注册, 专利, 专利代理
debt_collection|债务催收|催收, 讨债, 应收账款, 欠款追讨
company_formation|公司注册|注册公司, 工商注册, 营业执照, 公司注册
financial_advisory|财务咨询|理财顾问, 投资咨询, 财富管理, 财务规划
payroll_services|薪资代办|工资代发, 薪酬管理, 工资单, 社保代缴
currency_exchange|外币兑换|外币兑换, 换汇, 外汇, 汇率
pawnshop|典当行|典当, 当铺, 抵押贷款, 黄金回收
leasing|租赁与融资|融资租赁, 分期, 汽车金融, 租赁
hearing_aids|助听器|助听器, 听力检测, 听力中心, 验配
medical_transport|医疗转运|救护车, 病人转运, 担架, 医疗转运
rehabilitation|康复中心|康复中心, 康复治疗, 疗养, 恢复期
occupational_therapy|作业治疗|作业治疗, 职业治疗, 生活能力训练, 康复师
midwifery|助产|助产士, 接生, 孕期护理, 产前
acupuncture|针灸|针灸, 中医针灸, 扎针, 中医
chiropractic|脊骨神经与整骨|整脊, 正骨, 脊椎, 腰背痛
insulation|保温隔热|保温, 隔热, 屋顶保温, 外墙保温
waterproofing|防水工程|防水, 补漏, 屋面防水, 防潮
plastering|抹灰与刮腻子|抹灰, 墙面找平, 批灰, 粉刷
tiling|瓷砖铺贴|贴瓷砖, 瓷砖, 地砖铺贴, 瓦工
drywall|石膏板与隔墙|石膏板, 隔断, 吊顶, 轻钢龙骨
fencing|围栏与大门|围栏, 大门, 栅栏, 铁艺围墙
paving|铺路与车道|铺路, 车道, 人行道, 路缘石
well_drilling|水井钻探|打井, 水井, 钻井, 地下水
septic_systems|化粪池与排水|化粪池, 排污, 下水道, 污水处理
solar_panels|太阳能板安装|光伏, 太阳能板, 逆变器, 光伏安装
alarm_cctv|报警与监控摄像|监控安装, 摄像头, 报警器, 安防系统
smart_home|智能家居安装|智能家居, 智能灯光, 家庭自动化, 全屋智能
lift_maintenance|电梯维保|电梯维保, 电梯, 扶梯, 电梯维修
fire_safety|消防与灭火器|灭火器, 消防报警, 喷淋, 消防
car_dealer|汽车经销商|汽车销售, 二手车, 4s店, 车行
vehicle_inspection|车辆年检|年检, 车辆检测, 验车, 检测站
auto_electrics|汽车电路|汽车电工, 发电机, 起动机, 汽车电路
car_glass|汽车玻璃与挡风玻璃|挡风玻璃, 换玻璃, 汽车玻璃, 玻璃裂纹
boat_repair|船艇维修|船舶维修, 舷外机, 游艇, 船机
bus_charter|大巴租赁|包车, 大巴, 中巴, 团体接送
call_centre|呼叫中心|呼叫中心, 电话营销, 客服, 电话支持
virtual_assistant|虚拟助理|远程助理, 行政支持, 线上秘书, 自由职业
market_research|市场调研|市场调研, 问卷, 消费者调研, 焦点小组
copywriting|文案写作|文案, 文案撰写, 校对, 内容创作
seo_services|SEO与网络广告|搜索优化, 谷歌广告, 竞价推广, 网络推广
social_media|社交媒体运营|社交媒体运营, 微信运营, 抖音, 小红书
app_development|手机应用开发|应用开发, 安卓, 手机应用, 小程序
game_development|游戏开发|游戏开发, unity, 虚幻引擎, 游戏工作室
drone_services|无人机服务|无人机, 航拍, 无人机测绘, 航空摄影
printing_3d|3D打印|3d打印, 手板模型, 快速成型, 增材制造
interior_design|室内设计|室内设计, 装修设计, 软装, 空间规划
dance_school|舞蹈学校|舞蹈班, 芭蕾, 拉丁舞, 舞蹈培训
art_gallery|画廊与裱框|裱画, 画框, 画廊, 艺术展
