taxi|Takso|takso, sõit, transfeer, lennujaam
private_tutoring|Eraõpetus|järeleaitamine, eraõpetaja, eksamiks valmistumine, koduülesanded
music_lessons|Muusikatunnid|klaver, kitarr, laulmine, muusikatunnid
sports_coaching|Sporditreening|treener, jalgpall, tennis, treening
it_training|IT-koolitus|arvutikursused, excel, programmeerimiskursus, it-koolitus
vocational_training|Kutseõpe|kutseõpe, kutsekursus, sertifitseerimine, praktika
holiday_lettings|Puhkusemajutus|suvila, puhkusekorter, üürimine, airbnb
guesthouse_bnb|Külalistemaja ja hommikusöögiga majutus|külalistemaja, hommikusöögiga majutus, võõrastemaja, toad
property_management|Kinnisvarahaldus|kinnisvarahaldus, majahaldus, üürimine, korteriühistu
veterinary|Loomaarst|loomaarst, loomakliinik, vaktsineerimine, koer
dog_walking|Koerte jalutamine|koera jalutamine, koerajalutaja, jalutuskäik
pet_grooming|Lemmikloomade trimmimine|koerte trimmimine, trimmimine, karvahooldus, loomasalong
general_practice|Perearst|perearst, arst, vastuvõtt, retsept
dentistry|Hambaravi|hambaarst, hambaravi, plomm, implantaat
physiotherapy|Füsioteraapia|füsioteraapia, füsioterapeut, taastusravi, ravi
psychology|Psühholoogia|psühholoog, teraapia, nõustamine, psühhoteraapia
pharmacy|Apteek|apteek, ravimid, retseptiravim, toidulisandid
optometry|Optometria|optik, prillid, nägemiskontroll, kontaktläätsed
medical_laboratory|Meditsiinilabor|labor, vereanalüüs, analüüsid, proovide võtmine
software_development|Tarkvaraarendus|programmeerija, arendaja, tarkvara, kood
web_development|Veebiarendus|koduleht, veebidisain, wordpress, e-pood
it_support|IT-tugi|it-tugi, võrk, arvutiabi, süsteemiadministraator
cybersecurity|Küberturvalisus|küberturvalisus, turvatestimine, tulemüür, häkkimine
data_ai|Andmed ja tehisintellekt|tehisintellekt, masinõpe, andmeanalüüs, algoritmid
cloud_hosting|Pilv ja majutus|veebimajutus, server, pilv, domeen
accounting|Raamatupidamine|raamatupidaja, raamatupidamine, arved, palgaarvestus
audit_tax|Audit ja maksud|audiitor, maksunõustaja, aastaaruanne, käibemaks
legal_services|Õigusteenused|advokaat, jurist, õigusabi, leping
hr_recruitment|Personal ja värbamine|värbamine, personaliotsing, tööjõurent, cv
management_consulting|Juhtimiskonsultatsioon|konsultant, ärinõustamine, strateegia, äriplaan
insurance_brokerage|Kindlustusmaakler|kindlustusmaakler, kindlustus, poliis, kahjukäsitlus
real_estate_agency|Kinnisvarabüroo|kinnisvaramaakler, maakler, korter, maja
architecture|Arhitektuur|arhitekt, joonised, ehitusluba, projekteerimine
manufacturing|Tootmine|tootmine, tehas, tööstus, koostamine
cnc_machining|CNC-töötlus|cnc, treimine, freesimine, metallitöötlus
metalwork_welding|Metallitööd ja keevitus|keevitaja, sepp, teras, metallitööd
restaurant|Restoran|restoran, toit, söögikoht, menüü
catering|Toitlustus|toitlustus, peotoit, buffet, suupisted
hotel|Hotell|hotell, majutus, hostel, toad
event_management|Ürituste korraldus|sündmuskorraldus, pulmakorraldaja, konverents, üritus
agriculture|Põllumajandus|põllumajandus, talu, traktor, saagikoristus
forestry|Metsandus|metsandus, metsaraie, puit, mootorsaag
waste_recycling|Jäätmed ja taaskasutus|jäätmed, prügikonteiner, vanametall, taaskasutus
renewable_energy|Taastuvenergia|päikesepaneelid, tuuleenergia, roheenergia, soojuspump
marketing_agency|Turundusagentuur|turundus, reklaam, kampaania, reklaamiagentuur
graphic_design|Graafiline disain|graafiline disainer, logo, graafiline disain, küljendus
photography|Fotograafia|fotograaf, fotostuudio, pulmafotograaf, portreed
video_production|Videotootmine|videotootmine, filmimine, monteerimine, droon
printing_signage|Trükk ja sildid|trükikoda, trükk, sildid, kleebised
wholesale|Hulgimüük|hulgimüük, edasimüüja, tarnija, kaubad
ecommerce|E-pood|e-pood, veebipood, marketplace, tellimused
security_services|Turvateenused|turvamees, valve, turvateenus, valvekaamerad
hairdressing|Juuksur|juuksur, lõikus, juuksevärv, salong
beauty_salon|Ilusalong|ilusalong, kosmeetik, küüned, näohooldus
massage_therapy|Massaaž|massöör, massaaž, heaolu, lõõgastus
fitness_training|Treening ja fitness|treener, jõusaal, treening, jõutreening
shop_general|Kauplus|pood, kauplus, jaekaubandus, kaubad
shop_bicycle|Jalgrattapood ja hooldus|jalgrattapood, jalgrattad, rattaremont, elektriratas
shop_auto_parts|Autovaruosad|varuosad, autoosad, autotarvikud, filtrid
shop_hardware|Ehituspood ja tööriistad|ehituspood, rauakauplus, tööriistad, kruvid
shop_furniture|Mööbel|mööblipood, mööbel, diivanid, köögid
shop_electronics|Elektroonika ja kodutehnika|elektroonika, kodumasinad, teler, pesumasin
shop_clothing|Rõivad|rõivapood, mood, jalatsid, riided
shop_grocery|Toidupood|toidupood, toidukaubad, selver, väikepood
shop_sports|Spordikaubad|spordipood, spordivarustus, matkatarbed, suusad
shop_books|Raamatupood ja kirjatarbed|raamatupood, kontoritarbed, raamatud, paberikaubad
shop_florist|Lillepood|lillepood, lilled, kimbud, pärjad
shop_pet|Lemmikloomapood|lemmikloomapood, koeratoit, akvaarium, kassiliiv
motorcycle_repair|Mootorrataste remont|mootorrattatöökoda, mootorratas, roller, mopeed
bar|Baar|baar, pubi, kokteilibaar, joogid
kebab_shawarma|Kebab ja šawarma|kebab, shawarma, gyros, kebabikoht
pizzeria|Pitsarestoran|pitsa, pitsarestoran, pitsa kaasa, itaalia
fast_food|Kiirtoit|kiirtoit, burger, friikartulid, snäkibaar
bakery|Pagariäri|pagariäri, leib, saiakesed, pagar
pastry_shop|Kondiitriäri|kondiitriäri, koogid, saiakesed, magustoidud
coffee_shop|Kohvik|kohvik, kohv, espresso, barista
food_truck|Toiduauto|toiduauto, tänavatoit, foodtruck
butcher|Lihapood|lihapood, liha, vorstid, lihalett
ice_cream|Jäätisebaar|jäätis, jäätisekiosk, pehme jäätis, gelato
winery|Veinimõis|veinitalu, vein, veinikelder, veinidegusteerimine
brewery|Õlletehas|õlletehas, õlu, väikepruulikoda, vaadiõlu
nightclub|Ööklubi ja disko|ööklubi, disko, tantsimine, dj
beach_club|Rannabaar ja rannaklubi|rannabaar, päevitustoolid, rand, supelrand
bowling_billiards|Bowling ja piljard|bowling, piljard, nooleviske, pool
travel_agency|Reisibüroo|reisibüroo, reisid, lennupiletid, pakettreisid
nail_salon|Küünesalong, maniküür ja pediküür|küünesalong, maniküür, pediküür, geelküüned
barber|Habemeajaja|habemeajaja, meeste juuksur, habe, raseerimine
tattoo_piercing|Tätoveering ja augustamine|tätoveering, tätoveerija, augustamine, tattoo
spa_sauna|Spaa ja saun|spaa, saun, heaolu, aurusaun
cosmetics_shop|Kosmeetikapood|parfümeeria, meigitooted, nahahooldus, kosmeetika
dry_cleaning|Keemiline puhastus ja pesumaja|keemiline puhastus, pesumaja, triikimine, pesupesemine
podiatry|Podoloogia ja jalahooldus|jalahooldus, pediküür, sissekasvanud küüs, jalad
dental_laboratory|Hambalabor|hambatehnik, hambaproteesid, kroonid, sillad
orthodontics|Ortodontia|hambaklambrid, ortodont, hammaste sirgendamine, aligner
dermatology|Dermatoloogia|nahaarst, dermatoloog, sünnimärgid, akne
paediatrics|Lastearst|lastearst, pediaater, imik, lapsed
gynaecology|Günekoloogia|günekoloog, naistearst, rasedus, sünnitusabi
cardiology|Kardioloogia|kardioloog, südamearst, ekg, süda
medical_imaging|Radioloogia|röntgen, ultraheli, magnetresonants, kompuutertomograafia
speech_therapy|Logopeedia|logopeed, kõneravi, kokutamine, kõne
nutrition_dietetics|Toitumine ja dieteetika|toitumisnõustaja, dietoloog, dieet, kaalulangetus
bicycle_repair|Jalgrataste remont|rattaremont, jalgratta parandus, rehviparandus, rattahooldus
scooter_repair|Rollerite ja mopeedide remont|rolleri remont, roller, vespa, mopeed
appliance_repair|Kodumasinate remont|kodumasinate remont, pesumasin, külmkapp, ahi
phone_repair|Telefonide ja tahvlite remont|telefoni remont, ekraani vahetus, iphone, tahvelarvuti
computer_repair|Arvutiremont|arvutiremont, sülearvuti, pc, andmete taastamine
watch_jewellery_repair|Kellade ja ehete remont|kellassepp, kullassepp, patarei vahetus, sõrmuse suurendamine
shoe_repair|Kingsepp|kingsepp, jalatsiparandus, kontsad, tallad
tailoring_alterations|Rätsep ja parandustööd|rätsep, õmbleja, lühendamine, riiete parandus
upholstery|Polsterdus|polsterdaja, polsterdus, diivani katmine, pehmendus
glazing|Klaasitööd ja aknad|klaasija, aknad, klaaspaketid, klaas
chimney_sweep|Korstnapühkimine|korstnapühkija, korsten, korstnapühkimine, tahm
pest_control|Kahjuritõrje|kahjuritõrje, lutikad, rotid, prussakad
pool_maintenance|Basseinihooldus|basseinihooldus, basseini puhastus, kloor, bassein
window_cleaning|Aknapesu|akende pesu, aknapesija, fassaadipesu, aknad
car_wash|Autopesula|autopesula, auto pesemine, salongipuhastus, poleerimine
car_rental|Autorent|autorent, rendiauto, auto üürimine, sõidukirent
bike_scooter_rental|Jalgrataste ja tõukerataste rent|rattarent, elektritõukeratas, ratta üürimine, tõukeratas
funeral_services|Matusebüroo|matusebüroo, matused, tuhastamine, kirst
notary|Notar|notar, notariaalne kinnitamine, volikiri, dokumendid
bailiff|Kohtutäitur|kohtutäitur, arestimine, sissenõudmine, täitemenetlus
patent_trademark|Patendid ja kaubamärgid|patendibüroo, kaubamärgi registreerimine, patent, intellektuaalomand
debt_collection|Võlgade sissenõudmine|võlgade sissenõudmine, võlad, meeldetuletus, tasumata arved
company_formation|Ettevõtte asutamine|ettevõtte asutamine, äriregister, osaühing, registrikood
financial_advisory|Finantsnõustamine|finantsnõustaja, investeeringud, varad, pensionisääst
payroll_services|Palgaarvestus|palgaarvestus, palgateatis, palgad, personaliarvestus
currency_exchange|Valuutavahetus|valuutavahetus, valuuta, välisvaluuta, vahetuskurss
pawnshop|Pandimaja|pandimaja, pant, laen pandi vastu, kulla ost
leasing|Liising ja finantseerimine|liising, finantseerimine, järelmaks, autoliising
hearing_aids|Kuuldeaparaadid|kuuldeaparaat, kuulmise test, audioloog, kuulmiskeskus
medical_transport|Meditsiiniline transport|kiirabi, patsiendivedu, kanderaam, haigetransport
rehabilitation|Taastusravikeskus|taastusravi, rehabilitatsioon, taastumine, järelravi
occupational_therapy|Tegevusteraapia|tegevusterapeut, tegevusteraapia, igapäevaoskused, harjutamine
midwifery|Ämmaemandus|ämmaemand, sünnitus, rasedus, sünnituseelne hooldus
acupuncture|Nõelravi|nõelravi, nõelad, hiina meditsiin, akupunktuur
chiropractic|Kiropraktika ja osteopaatia|kiropraktik, osteopaat, selgroog, seljavalu
insulation|Soojustus|soojustus, lisasoojustus, katuse soojustus, isolatsioonimaterjal
waterproofing|Hüdroisolatsioon|hüdroisolatsioon, niiskus, katuse tihendamine, membraan
plastering|Krohvimine ja pahteldamine|krohvija, krohv, pahteldamine, viimistlus
tiling|Plaatimine|plaatija, plaadid, keraamilised plaadid, vannitoa plaatimine
drywall|Kipsplaadid ja vaheseinad|kipsplaat, vaheseinad, ripplagi, plaadistamine
fencing|Aiad ja väravad|aed, värav, piirdeaed, võrkaed
paving|Sillutis ja sissesõiduteed|sillutis, sissesõidutee, kõnnitee, äärekivid
well_drilling|Puurkaevude rajamine|puurkaev, puurimine, veekaev, põhjavesi
septic_systems|Kogumismahutid ja kanalisatsioon|septik, kanalisatsioon, imbväljak, reovesi
solar_panels|Päikesepaneelide paigaldus|päikesepaneelid, päikeseenergia, inverter, päikesejaam
alarm_cctv|Valve- ja videosüsteemid|valvesüsteem, valvekaamera, videovalve, murdvargusalarm
smart_home|Tark kodu|nutikodu, nutivalgustus, koduautomaatika, juhtimine
lift_maintenance|Liftide hooldus|lift, lifti hooldus, eskalaator, lifti remont
fire_safety|Tuleohutus ja kustutid|tulekustutid, tulekahjuandur, sprinkler, tuleohutus
car_dealer|Autosalong|autosalong, kasutatud autod, autode müük, automüüja
vehicle_inspection|Tehnoülevaatus|tehniline ülevaatus, ülevaatus, ülevaatuspunkt, autoülevaatus
auto_electrics|Autoelektroonika|autoelektrik, generaator, starter, auto elektrisüsteem
car_glass|Autoklaasid ja tuuleklaasid|esiklaas, klaasivahetus, autoklaas, kivipõrge
boat_repair|Paatide remont|paadiremont, päramootor, paat, paadimootor
bus_charter|Busside rent|bussirent, turismibuss, väikebuss, grupivedu
call_centre|Kõnekeskus|klienditugi, telemarketing, telefonitugi, kõnekeskus
virtual_assistant|Virtuaalassistent|virtuaalassistent, haldustugi, kaugsekretär, vabakutseline
market_research|Turu-uuringud|turu-uuring, küsitlused, tarbijauuring, fookusgrupp
copywriting|Sisuloome|tekstikirjutaja, korrektuur, sisuloome, toimetamine
seo_services|SEO ja veebireklaam|otsingumootori optimeerimine, google ads, veebireklaam, sem
social_media|Sotsiaalmeedia haldus|sotsiaalmeedia, instagram, facebook, tiktok
app_development|Mobiilirakenduste arendus|rakenduste arendus, android, mobiilirakendused, flutter
game_development|Mängude arendus|mänguarendus, unity, unreal, mängustuudio
drone_services|Drooniteenused|droon, õhufoto, droonivõtted, kaardistamine
printing_3d|3D-printimine|3d-printimine, prototüübid, kihtlisandustehnoloogia, 3d-printer
interior_design|Sisekujundus|sisearhitekt, sisekujundus, ruumiplaneerimine, stiliseerimine
dance_school|Tantsukool|tantsukool, ballett, salsa, tantsutunnid
art_gallery|Kunstigalerii ja raamimine|raamimine, raamid, näitused, kunstikauplus
