taxi|Taxi|taxík, jazda, odvoz, letisko
bike_scooter_rental|Požičovňa bicyklov a kolobežiek|požičovňa bicyklov, elektrokolobežka, prenájom bicykla, kolobežka
funeral_services|Pohrebné služby|pohrebná služba, pohreb, kremácia, rakva
notary|Notárstvo|notár, notárska zápisnica, overenie podpisu, dedičstvo
bailiff|Exekútor|exekútor, exekúcia, zabavenie majetku, vymáhanie
patent_trademark|Patenty a ochranné známky|patentový zástupca, ochranná známka, patent, duševné vlastníctvo
debt_collection|Vymáhanie pohľadávok|vymáhanie pohľadávok, dlhy, upomienka, neuhradené faktúry
company_formation|Zakladanie firiem|založenie firmy, obchodný register, sro, živnostenský list
financial_advisory|Finančné poradenstvo|finančný poradca, investície, majetok, sporenie
payroll_services|Spracovanie miezd|mzdové účtovníctvo, výplaty, mzdy, personalistika
currency_exchange|Zmenáreň|zmenáreň, výmena valút, devízy, kurz
pawnshop|Záložňa|záložňa, záloh, pôžička na záloh, výkup zlata
leasing|Lízing a financovanie|lízing, financovanie, splátky, operatívny lízing
hearing_aids|Načúvacie prístroje|načúvací prístroj, vyšetrenie sluchu, sluchadlo, audiológia
medical_transport|Sanitná preprava|sanitka, prevoz pacientov, nosidlá, zdravotnícka preprava
rehabilitation|Rehabilitačné centrum|rehabilitačné centrum, doliečovanie, rekonvalescencia, zotavenie
occupational_therapy|Ergoterapia|ergoterapeut, ergoterapia, sebestačnosť, nácvik
midwifery|Pôrodná asistencia|pôrodná asistentka, pôrod, tehotenstvo, predpôrodný kurz
acupuncture|Akupunktúra|akupunkturista, ihly, čínska medicína, moxovanie
chiropractic|Chiropraxia a osteopatia|osteopat, chiropraktik, chrbtica, bolesti chrbta
insulation|Tepelné izolácie|zateplenie, izolácia, zateplenie fasády, minerálna vata
waterproofing|Hydroizolácie|hydroizolácia, vlhkosť, izolácia proti vode, zatekanie
plastering|Omietky a štuky|omietkar, omietky, štuk, sadrová omietka
tiling|Obklady a dlažby|obkladač, obklady, dlaždice, keramika
drywall|Sadrokartón a priečky|sadrokartonár, sadrokartón, priečky, podhľady
fencing|Ploty a brány|plot, brána, oplotenie, pletivo
paving|Dlažby a príjazdové cesty|zámková dlažba, chodník, príjazdová cesta, obrubníky
well_drilling|Vŕtanie studní|studňa, vŕtanie studne, vrt, spodná voda
septic_systems|Žumpy a kanalizácia|septik, kanalizácia, žumpa, odpady
solar_panels|Montáž solárnych panelov|fotovoltika, solárne panely, menič, fve
alarm_cctv|Alarmy a kamerové systémy|alarm, kamerový systém, zabezpečovací systém, monitoring
smart_home|Inteligentná domácnosť|inteligentná domácnosť, inteligentné osvetlenie, automatizácia, ovládanie
lift_maintenance|Servis výťahov|výťah, servis výťahov, eskalátor, oprava výťahu
fire_safety|Požiarna ochrana a hasiace prístroje|hasiace prístroje, požiarna ochrana, sprinklery, požiarna signalizácia
car_dealer|Autosalón|autobazár, predaj áut, jazdené autá, autosalón
vehicle_inspection|Technická kontrola|technická kontrola, emisná kontrola, stk, kontrola vozidla
auto_electrics|Autoelektrika|autoelektrikár, alternátor, štartér, elektroinštalácia auta
car_glass|Autosklá a čelné sklá|čelné sklo, výmena skla, autosklo, prasklina
boat_repair|Opravy lodí|servis lodí, lodný motor, loď, jachta
bus_charter|Prenájom autobusov|prenájom autobusu, autobus, minibus, zájazdová doprava
call_centre|Call centrum|call centrum, telemarketing, zákaznícka linka, operátori
virtual_assistant|Virtuálna asistentka|virtuálna asistentka, administratívna podpora, sekretárka na diaľku
market_research|Prieskum trhu|prieskum trhu, ankety, dotazníky, focus group
copywriting|Tvorba textov|copywriter, texty, korektúra, obsah
seo_services|SEO a online reklama|seo, optimalizácia pre vyhľadávače, google ads, ppc
social_media|Správa sociálnych sietí|správa sociálnych sietí, instagram, facebook, tiktok
app_development|Vývoj mobilných aplikácií|mobilné aplikácie, android, vývoj aplikácií, flutter
game_development|Vývoj hier|vývoj hier, unity, unreal, herné štúdio
drone_services|Služby dronom|dron, letecké snímky, snímkovanie dronom, fotografie z výšky
printing_3d|3D tlač|3d tlač, prototypy, aditívna výroba, 3d tlačiareň
interior_design|Interiérový dizajn|interiérový dizajnér, návrh interiéru, bytový architekt, zariaďovanie
dance_school|Tanečná škola|tanečné kurzy, balet, salsa, tance
art_gallery|Galéria a rámovanie|rámovanie, rámy, výstavy, galéria
