taxi|Táxi|Táxi, viagem, aeroporto, transfer
bakery|Padaria|Pão, padeiro, pastelaria fresca, forno
pastry_shop|Pastelaria|Bolos, doces, confeitaria, sobremesas
coffee_shop|Café|Espresso, barista, casa de café
food_truck|Food truck|Comida de rua, cozinha móvel, carrinha
butcher|Talho|Carne, talhante, enchidos
ice_cream|Gelataria|Gelado, gelato, sorvete
winery|Adega|Vinho, vinha, prova de vinhos, quinta
brewery|Cervejaria artesanal|Cerveja, cerveja artesanal, fábrica de cerveja
nightclub|Discoteca e clube noturno|Disco, clube, dancing, DJ
beach_club|Bar de praia e beach club|Praia, espreguiçadeiras, beira-mar
bowling_billiards|Bowling e bilhar|Snooker, dardos, matraquilhos
travel_agency|Agência de viagens|Viagens, férias, voos, pacotes
nail_salon|Salão de unhas, manicure e pedicure|Unhas, manicure, pedicure, gel
barber|Barbearia|Corte de homem, barba, barbeiro
tattoo_piercing|Tatuagens e piercings|Tatuador, estúdio de tatuagem, piercing
spa_sauna|Spa e sauna|Bem-estar, banho turco, hammam, termas
cosmetics_shop|Loja de cosméticos|Perfumaria, maquilhagem, cuidados de pele, beleza
dry_cleaning|Lavandaria e limpeza a seco|Limpeza a seco, engomadoria, roupa
podiatry|Podologia e cuidados dos pés|Podologista, unha encravada, pés
dental_laboratory|Laboratório dentário|Protésico dentário, próteses, coroas
orthodontics|Ortodontia|Aparelho dentário, alinhadores, ortodontista
dermatology|Dermatologia|Dermatologista, pele, sinais, acne
paediatrics|Pediatria|Pediatra, médico de crianças
gynaecology|Ginecologia|Ginecologista, obstetrícia, saúde da mulher
cardiology|Cardiologia|Cardiologista, coração, eletrocardiograma
medical_imaging|Imagiologia médica|Radiologia, ecografia, ressonância, TAC
speech_therapy|Terapia da fala|Terapeuta da fala, gaguez, linguagem
nutrition_dietetics|Nutrição e dietética|Nutricionista, dietista, dieta, emagrecer
bicycle_repair|Reparação de bicicletas|Bicicleta, furo, oficina de bicicletas
scooter_repair|Reparação de scooters e ciclomotores|Scooter, motorizada, Vespa, 50cc
appliance_repair|Reparação de eletrodomésticos|Máquina de lavar, frigorífico, forno
phone_repair|Reparação de telemóveis e tablets|Telemóvel, ecrã, iPhone, tablet
computer_repair|Reparação de computadores|PC, portátil, recuperação de dados
watch_jewellery_repair|Reparação de relógios e joias|Relojoeiro, ourives, pilha, anel
shoe_repair|Sapataria de reparação|Sapateiro, saltos, solas
tailoring_alterations|Alfaiataria e arranjos|Alfaiate, costureira, bainha, arranjos
upholstery|Estofos|Estofador, sofá, forrar, mobiliário
glazing|Vidraçaria e janelas|Vidraceiro, janelas, vidro, vidro duplo
chimney_sweep|Limpeza de chaminés|Limpa-chaminés, chaminé, fuligem
pest_control|Controlo de pragas|Desinfestação, percevejos, ratos, baratas
pool_maintenance|Manutenção de piscinas|Piscina, limpeza de piscina, cloro
window_cleaning|Limpeza de vidros|Limpa-vidros, janelas, fachada
car_wash|Lavagem automóvel|Lavagem de carros, limpeza auto, detailing
car_rental|Aluguer de automóveis|Rent a car, carro de aluguer
bike_scooter_rental|Aluguer de bicicletas e trotinetes|Alugar bicicleta, trotinete elétrica
funeral_services|Serviços funerários|Agência funerária, funeral, cremação, caixões
notary|Notário|notário, escrituras, cartório, procuração
bailiff|Agente de execução|oficial de justiça, penhora, execução, agente de execução
patent_trademark|Patentes e marcas|propriedade intelectual, registo de marca, patente, agente oficial
debt_collection|Cobrança de dívidas|cobrança de dívidas, incobráveis, recuperação de créditos, dívidas
company_formation|Constituição de empresas|abertura de empresa, constituição de sociedade, registo comercial, empresa na hora
financial_advisory|Consultoria financeira|consultor financeiro, investimentos, património, planeamento financeiro
payroll_services|Processamento de salários|processamento salarial, recibos de vencimento, salários, folha de pagamento
currency_exchange|Casa de câmbio|câmbio, casa de câmbio, moeda estrangeira, taxa de câmbio
pawnshop|Casa de penhores|penhores, empréstimo com penhor, compro ouro, casa de penhores
leasing|Leasing e financiamento|locação financeira, financiamento, prestação, renting
hearing_aids|Aparelhos auditivos|audiologista, teste auditivo, aparelho auditivo, surdez
medical_transport|Transporte de doentes|ambulância, transporte de doentes, maca, transporte não urgente
rehabilitation|Centro de reabilitação|reabilitação, convalescença, recuperação, fisioterapia
occupational_therapy|Terapia ocupacional|terapeuta ocupacional, autonomia, atividades diárias, terapia
midwifery|Parteiras|parteira, parto, gravidez, preparação para o parto
acupuncture|Acupunctura|acupunturista, agulhas, medicina chinesa, moxabustão
chiropractic|Quiroprática e osteopatia|osteopata, quiroprático, coluna, dores nas costas
insulation|Isolamento térmico|isolamento, isolamento térmico de fachadas, lã de rocha, capoto
waterproofing|Impermeabilização|impermeabilizar, infiltrações, humidade, telas asfálticas
plastering|Estuques e rebocos|estucador, reboco, estuque, massa
tiling|Assentamento de azulejos|ladrilhador, azulejos, mosaicos, revestimentos
drywall|Pladur e divisórias|pladur, gesso cartonado, tetos falsos, divisórias
fencing|Vedações e portões|vedação, portão, gradeamento, rede
paving|Pavimentos e acessos|calçada, pavê, passeio, acesso
well_drilling|Furos de água|poço, furo de água, perfuração, água subterrânea
septic_systems|Fossas sépticas e saneamento|fossa séptica, saneamento, esgoto, drenagem
solar_panels|Instalação de painéis solares|fotovoltaico, painéis solares, inversor, autoconsumo
alarm_cctv|Alarmes e videovigilância|alarme, câmaras de vigilância, videovigilância, segurança
smart_home|Domótica|domótica, casa inteligente, iluminação inteligente, automação
lift_maintenance|Manutenção de elevadores|elevador, ascensor, escada rolante, manutenção de elevadores
fire_safety|Segurança contra incêndios|extintores, detetores de fumo, sprinklers, incêndio
car_dealer|Stand de automóveis|stand de automóveis, carros usados, venda de carros, concessionário
vehicle_inspection|Inspeção de veículos|inspeção periódica, inspeção automóvel, centro de inspeções, revisão
auto_electrics|Eletricidade automóvel|eletricista auto, alternador, motor de arranque, instalação elétrica
car_glass|Vidros e para-brisas|para-brisas, vidros do carro, substituição de vidro, vidraria auto
boat_repair|Reparação de embarcações|estaleiro, motor fora de borda, barco, embarcação
bus_charter|Aluguer de autocarros|autocarro, aluguer de autocarros, minibus, transporte de grupos
call_centre|Call center|apoio ao cliente, telemarketing, atendimento telefónico, contact center
virtual_assistant|Assistente virtual|assistente remoto, apoio administrativo, secretariado virtual, freelancer
market_research|Estudos de mercado|inquéritos, estudo de mercado, grupos de foco, investigação
copywriting|Redação de conteúdos|redator, revisão de textos, conteúdos, redação
seo_services|SEO e publicidade online|otimização para motores de busca, google ads, publicidade online, sem
social_media|Gestão de redes sociais|gestão de redes sociais, instagram, facebook, tiktok
app_development|Desenvolvimento de aplicações móveis|desenvolvimento mobile, android, aplicações móveis, flutter
game_development|Desenvolvimento de jogos|videojogos, unity, unreal, estúdio de jogos
drone_services|Serviços com drone|drone, fotografia aérea, filmagem aérea, levantamento aéreo
printing_3d|Impressão 3D|impressora 3d, protótipos, fabrico aditivo, prototipagem
interior_design|Decoração de interiores|decorador, decoração de interiores, arquitetura de interiores, ambientes
dance_school|Escola de dança|aulas de dança, ballet, salsa, academia de dança
art_gallery|Galeria de arte e molduras|emolduramento, molduras, exposições, arte
