taxi|Taxi|Taxi, rit, luchthaven, transfer
vocational_training|Beroepsopleiding|Leerwerktraject, certificaat, bijscholing
holiday_lettings|Vakantieverhuur|Vakantiehuis, appartement, Airbnb, korte termijn
guesthouse_bnb|Bed and breakfast|Pension, gastenverblijf, kamer, ontbijt
property_management|Vastgoedbeheer|VvE-beheer, beheerder, huur, pand
veterinary|Dierenarts|Dierenkliniek, vaccinatie, hond, kat
dog_walking|Hondenuitlaatservice|Uitlaten, riem, wandeling
pet_grooming|Trimsalon|Trimmen, hondenkapper, vacht
general_practice|Huisartsenpraktijk|Huisarts, dokter, spreekuur, recept
dentistry|Tandheelkunde|Tandarts, praktijk, orthodontist, implantaat, prothese
physiotherapy|Fysiotherapie|Fysiotherapeut, revalidatie, herstel
psychology|Psychologie|Psycholoog, psychotherapie, therapie, gesprek
pharmacy|Apotheek|Apotheker, medicijnen, recept, drogisterij
optometry|Optiek|Opticien, bril, contactlenzen, ogen
medical_laboratory|Medisch laboratorium|Lab, bloedonderzoek, analyses, diagnostiek
software_development|Softwareontwikkeling|Programmeur, developer, code, softwarehuis
web_development|Webontwikkeling|Website, webdesign, webshop, WordPress
it_support|IT-ondersteuning|Helpdesk, systeembeheerder, pc, computer, printer, netwerk, server
cybersecurity|Cyberbeveiliging|Firewall, pentest, back-up, virus
data_ai|Data en AI|Machine learning, data-analyse, kunstmatige intelligentie
cloud_hosting|Cloud en hosting|Server, hosting, domein, AWS, Azure
accounting|Boekhouding|Boekhouder, administratiekantoor, loonadministratie, facturen
audit_tax|Audit en belastingen|Accountant, belastingadviseur, aangifte, btw
legal_services|Juridische diensten|Advocaat, jurist, kantoor, notaris, contract, procedure
hr_recruitment|Werving en selectie|Recruiter, uitzendbureau, headhunter, kandidaten
management_consulting|Managementadvies|Consultant, strategie, businessplan
insurance_brokerage|Verzekeringsmakelaar|Verzekering, tussenpersoon, polis, schade
real_estate_agency|Makelaardij|Makelaar, woning, huis, grond
architecture|Architectuur|Architect, ontwerp, vergunning, tekeningen
manufacturing|Industriële productie|Fabriek, productie, industrie, assemblage
cnc_machining|CNC-verspaning|Frezen, draaien, draaibank, verspaning
metalwork_welding|Metaalbewerking en lassen|Lasser, smid, staal, hek, leuning
restaurant|Restaurant|Eetcafé, pizzeria, keuken, menukaart
catering|Catering|Banqueting, buffet, maaltijden, feesten
hotel|Hotel|Accommodatie, hostel, motel, kamer, receptie
event_management|Evenementenorganisatie|Evenementen, weddingplanner, congres, podium
agriculture|Landbouw|Boerderij, tractor, oogst, vee, akkers
forestry|Bosbouw|Houtkap, hout, bos, kettingzaag
waste_recycling|Afval en recycling|Vuilnis, schroot, container, ontruiming
renewable_energy|Duurzame energie|Zonnepanelen, zonne-energie, wind, omvormer, warmtepomp
marketing_agency|Marketingbureau|Reclame, SEO, social media, campagne
graphic_design|Grafisch ontwerp|Ontwerper, logo, poster, brochure
photography|Fotografie|Fotograaf, studio, bruiloft, camera
video_production|Videoproductie|Videograaf, opnames, montage, drone
printing_signage|Drukwerk en belettering|Drukkerij, banner, stickers, lichtreclame
wholesale|Groothandel|Distributeur, leverancier, magazijn, goederen
ecommerce|E-commerce|Webshop, webwinkel, bestellingen, verzending
security_services|Beveiligingsdiensten|Bewaking, beveiliger, alarm, camera's
hairdressing|Kapper|Kapsalon, barbier, knippen, verven
beauty_salon|Schoonheidssalon|Schoonheidsspecialiste, nagels, wimpers, make-up
massage_therapy|Massage|Masseur, wellness, spa, ontspanning
fitness_training|Fitnesstraining|Personal trainer, sportschool, gewichten, hometrainer
shop_general|Detailhandel|Winkel, zaak, kassa, verkoop
shop_bicycle|Fietsenwinkel en reparatie|Fiets, e-bike, step, ketting, wiel
shop_auto_parts|Auto-onderdelen|Onderdelen, accessoires, filter, remblokken, olie
shop_hardware|Bouwmarkt en ijzerwaren|Doe-het-zelf, schroeven, spijkers, gereedschap, cement
shop_furniture|Meubelwinkel|Meubels, bank, kast, bed, keuken
shop_electronics|Elektronica en witgoed|Televisie, koelkast, wasmachine, telefoon
shop_clothing|Kledingwinkel|Kleding, mode, schoenen, textiel
shop_grocery|Supermarkt|Kruidenier, buurtwinkel, brood, melk, groente
shop_sports|Sportwinkel|Sportartikelen, sportschoenen, ski, tent
shop_books|Boekhandel en kantoorartikelen|Boeken, schriften, pennen, kantoorbenodigdheden
shop_florist|Bloemenwinkel|Bloemen, boeket, rozen, krans
shop_pet|Dierenwinkel|Diervoeding, dierbenodigdheden, aquarium, kooi
motorcycle_repair|Motorwerkplaats|Motor, scooter, brommer, helm, ketting
bar|Bar|Café, kroeg, cocktailbar, terras
kebab_shawarma|Kebab en shoarma|Döner, dürüm, gyros, broodje
pizzeria|Pizzeria|Pizza, Italiaans, pizza afhalen
fast_food|Fastfood|Snackbar, burger, friet, snacks
bakery|Bakkerij|Brood, bakker, broodjes, banket
pastry_shop|Banketbakkerij|Taart, gebak, patisserie, zoetwaren
coffee_shop|Koffiezaak|Koffie, espresso, barista, koffiehuis
food_truck|Foodtruck|Streetfood, mobiele keuken, verkoopwagen
butcher|Slagerij|Vlees, slager, worst
ice_cream|IJssalon|IJs, gelato, softijs
winery|Wijngaard|Wijn, wijnkelder, wijnproeverij
brewery|Brouwerij|Bier, speciaalbier, craft beer
nightclub|Nachtclub en disco|Disco, club, dancing, dj
beach_club|Strandbar en beachclub|Strand, ligstoelen, strandtent, zee
bowling_billiards|Bowling en biljart|Kegelen, snooker, darts
travel_agency|Reisbureau|Reizen, vakanties, vluchten, pakketreizen
nail_salon|Nagelstudio, manicure en pedicure|Nagels, manicure, pedicure, gelnagels
barber|Herenkapper|Barbier, baard, scheren
tattoo_piercing|Tattoo en piercing|Tatoeage, tattooshop, piercing
spa_sauna|Spa en sauna|Wellness, stoombad, hammam, thermen
cosmetics_shop|Cosmeticawinkel|Parfumerie, make-up, huidverzorging, beauty
dry_cleaning|Stomerij en wasserij|Chemisch reinigen, wassalon, strijken
podiatry|Podologie en voetverzorging|Pedicure medisch, podoloog, ingegroeide nagel
dental_laboratory|Tandtechnisch laboratorium|Tandtechnicus, protheses, kronen
orthodontics|Orthodontie|Beugel, aligners, orthodontist
dermatology|Dermatologie|Huidarts, huid, moedervlekken, acne
paediatrics|Kindergeneeskunde|Kinderarts, kinderdokter
gynaecology|Gynaecologie|Gynaecoloog, verloskunde, vrouwengezondheid
cardiology|Cardiologie|Cardioloog, hart, ecg
medical_imaging|Medische beeldvorming|Radiologie, echo, MRI, CT-scan
speech_therapy|Logopedie|Logopedist, spraaktherapie, stotteren
nutrition_dietetics|Voeding en diëtetiek|Diëtist, voedingsdeskundige, dieet, afvallen
bicycle_repair|Fietsreparatie|Fiets, lekke band, fietsenmaker
scooter_repair|Scooter- en bromfietsreparatie|Scooter, brommer, Vespa, 50cc
appliance_repair|Reparatie witgoed|Wasmachine, koelkast, oven, huishoudapparaten
phone_repair|Telefoon- en tabletreparatie|Telefoon, scherm, iPhone, tablet
computer_repair|Computerreparatie|Pc, laptop, dataherstel
watch_jewellery_repair|Horloge- en sieradenreparatie|Horlogemaker, juwelier, batterij, ring
shoe_repair|Schoenreparatie|Schoenmaker, hakken, zolen
tailoring_alterations|Kleermakerij en vermaakwerk|Kleermaker, naaister, zoom, vermaken
upholstery|Stoffering|Stoffeerder, bank, opnieuw bekleden, meubels
glazing|Glaszetterij en ramen|Glaszetter, ramen, glas, dubbel glas
chimney_sweep|Schoorsteenvegen|Schoorsteenveger, schoorsteen, roet
pest_control|Ongediertebestrijding|Bedwantsen, ratten, kakkerlakken, plaagdieren
pool_maintenance|Zwembadonderhoud|Zwembad, zwembadreiniging, chloor
window_cleaning|Glazenwassen|Glazenwasser, ramen, gevel
car_wash|Autowasserette|Wasstraat, auto poetsen, detailing
car_rental|Autoverhuur|Auto huren, huurauto
bike_scooter_rental|Fiets- en scooterverhuur|Fiets huren, e-step, fietsverhuur
funeral_services|Uitvaartverzorging|Begrafenisondernemer, begrafenis, crematie, kisten
notary|Notaris|notaris, akte, testament, erfenis
bailiff|Deurwaarder|deurwaarder, beslag, dwangbevel, executie
patent_trademark|Octrooien en merken|intellectueel eigendom, merkregistratie, octrooi, octrooigemachtigde
debt_collection|Incasso|incassobureau, openstaande facturen, aanmaning, vorderingen
company_formation|Bedrijfsoprichting|bedrijf oprichten, kvk inschrijving, bv oprichten, statuten
financial_advisory|Financieel advies|financieel adviseur, beleggen, vermogen, pensioenadvies
payroll_services|Salarisadministratie|loonadministratie, loonstrook, salarissen, loonheffing
currency_exchange|Wisselkantoor|geld wisselen, valuta, vreemde valuta, wisselkoers
pawnshop|Pandjeshuis|pandhuis, belening, onderpand, goud inkoop
leasing|Leasing en financiering|lease, financiering, private lease, termijnbetaling
hearing_aids|Hoortoestellen|audicien, hoortest, gehoor, hoorapparaat
medical_transport|Ziekenvervoer|ambulance, patiëntenvervoer, brancard, zittend ziekenvervoer
rehabilitation|Revalidatiecentrum|revalidatie, herstel, nazorg, herstelcentrum
occupational_therapy|Ergotherapie|ergotherapeut, dagelijkse handelingen, zelfredzaamheid, therapie
midwifery|Verloskunde|verloskundige, bevalling, zwangerschap, kraamzorg
acupuncture|Acupunctuur|acupuncturist, naalden, chinese geneeskunde, moxa
chiropractic|Chiropractie en osteopathie|osteopaat, chiropractor, wervelkolom, rugpijn
insulation|Isolatie|isoleren, spouwmuurisolatie, dakisolatie, isolatiemateriaal
waterproofing|Waterdichting|vochtbestrijding, lekkage, dakbedekking, waterdicht maken
plastering|Stukadoorswerk|stukadoor, pleisterwerk, stucwerk, sauswerk
tiling|Tegelzetten|tegelzetter, tegels, vloertegels, wandtegels
drywall|Gipswanden en scheidingswanden|gipsplaten, wanden plaatsen, systeemplafond, voorzetwand
fencing|Hekwerk en poorten|hek, poort, omheining, schutting
paving|Bestrating en opritten|straatwerk, oprit, klinkers, bestraten
well_drilling|Bronboringen|bron slaan, boren, waterput, grondwater
septic_systems|Septic tanks en afvoer|septic tank, riolering, afvoer, beerput
solar_panels|Zonnepanelen plaatsen|zonnepanelen, pv installatie, omvormer, zonne-energie
alarm_cctv|Alarm en camerabewaking|alarmsysteem, beveiligingscamera, camerabewaking, inbraakbeveiliging
smart_home|Domotica|domotica, slimme verlichting, huisautomatisering, smart lighting
lift_maintenance|Liftonderhoud|lift, liftreparatie, roltrap, goederenlift
fire_safety|Brandveiligheid en blusmiddelen|brandblussers, rookmelders, sprinkler, brandmeldinstallatie
car_dealer|Autobedrijf|autodealer, occasions, auto kopen, tweedehands auto
vehicle_inspection|APK-keuring|apk, keuring, technische keuring, keuringsstation
auto_electrics|Auto-elektra|auto-elektricien, dynamo, startmotor, bedrading
car_glass|Autoruiten en voorruiten|voorruit, ruitschade, autoruit, sterretje
boat_repair|Botenreparatie|jachtwerf, buitenboordmotor, boot, scheepsmotor
bus_charter|Bus- en touringcarverhuur|touringcar, bus huren, minibus, groepsvervoer
call_centre|Callcenter|klantenservice, telemarketing, telefonische support, contactcenter
virtual_assistant|Virtuele assistent|virtueel assistent, administratieve ondersteuning, secretariaat, freelance
market_research|Marktonderzoek|enquêtes, marktonderzoek, focusgroepen, consumentenonderzoek
copywriting|Tekstschrijven|tekstschrijver, redactie, proeflezen, content
seo_services|SEO en online advertenties|zoekmachineoptimalisatie, google ads, online adverteren, sea
social_media|Socialmediabeheer|socialmediabeheer, instagram, facebook, tiktok
app_development|App-ontwikkeling|app bouwen, android, mobiele apps, flutter
game_development|Gameontwikkeling|gamestudio, unity, unreal, spellen maken
drone_services|Dronediensten|drone, luchtfotografie, dronevlucht, luchtopnames
printing_3d|3D-printen|3d printer, prototypes, additieve productie, prototyping
interior_design|Interieurontwerp|interieurontwerper, inrichting, styling, binnenhuisarchitect
dance_school|Dansschool|danslessen, ballet, salsa, stijldansen
art_gallery|Kunstgalerie en inlijsten|inlijsten, lijsten, tentoonstelling, kunsthandel
