taxi|car, ride, airport|masina, cursa, aeroport
photography|camera, photos, album, studio|aparat foto, poze, album, studio
video_production|video camera, drone, editing, film|camera video, drona, montaj, film
printing_signage|banner, poster, sticker, sign, print|banner, afis, autocolant, firma luminoasa, tipar
wholesale|goods, pallet, warehouse, stock|marfa, palet, depozit, stoc
ecommerce|online shop, parcel, orders, stock|magazin online, colet, comenzi, stoc
security_services|cameras, alarm, guard, monitoring|camere, alarma, agent, monitorizare
hairdressing|hair, scissors, dryer, hair dye|par, foarfeca, uscator, vopsea de par
beauty_salon|nails, lashes, makeup, skin|unghii, gene, machiaj, ten
massage_therapy|massage table, oils, spa|masa de masaj, uleiuri, spa
fitness_training|machines, weights, gym, bike|aparate, greutati, sala, bicicleta
