taxi|แท็กซี่|แท็กซี่, รถรับส่ง, ส่งสนามบิน, เรียกรถ
pet_grooming|อาบน้ำตัดขนสัตว์เลี้ยง|อาบน้ำตัดขน, กรูมมิ่ง, ร้านตัดขนสุนัข, ดูแลขน
general_practice|แพทย์เวชปฏิบัติทั่วไป|แพทย์ทั่วไป, คลินิก, หมอ, ใบสั่งยา
dentistry|ทันตกรรม|ทันตแพทย์, หมอฟัน, อุดฟัน, รากฟันเทียม
physiotherapy|กายภาพบำบัด|กายภาพบำบัด, ฟื้นฟูร่างกาย, นักกายภาพ, รักษาอาการปวด
psychology|จิตวิทยาและการปรึกษา|นักจิตวิทยา, ปรึกษาปัญหาใจ, จิตบำบัด, สุขภาพจิต
pharmacy|ร้านขายยา|ร้านขายยา, ยา, เภสัชกร, อาหารเสริม
optometry|ตรวจวัดสายตาและแว่น|ร้านแว่น, แว่นตา, วัดสายตา, คอนแทคเลนส์
medical_laboratory|ห้องปฏิบัติการทางการแพทย์|แล็บ, ตรวจเลือด, ตรวจวิเคราะห์, เก็บตัวอย่าง
software_development|พัฒนาซอฟต์แวร์|พัฒนาซอฟต์แวร์, โปรแกรมเมอร์, เขียนโปรแกรม, โค้ด
web_development|พัฒนาเว็บไซต์|ทำเว็บไซต์, ออกแบบเว็บ, เวิร์ดเพรส, ร้านค้าออนไลน์
it_support|ซัพพอร์ตไอที|ซ่อมคอมพิวเตอร์, ดูแลระบบเครือข่าย, ไอทีซัพพอร์ต, แอดมินระบบ
cybersecurity|ความมั่นคงไซเบอร์|ความปลอดภัยไซเบอร์, ทดสอบเจาะระบบ, ไฟร์วอลล์, ความมั่นคงข้อมูล
data_ai|ข้อมูลและปัญญาประดิษฐ์|ปัญญาประดิษฐ์, แมชชีนเลิร์นนิง, วิเคราะห์ข้อมูล, อัลกอริทึม
cloud_hosting|คลาวด์และโฮสติ้ง|โฮสติ้ง, เซิร์ฟเวอร์, คลาวด์, โดเมน
accounting|บัญชี|บัญชี, ทำบัญชี, สำนักงานบัญชี, ใบกำกับภาษี
audit_tax|ตรวจสอบบัญชีและภาษี|ผู้สอบบัญชี, ที่ปรึกษาภาษี, งบการเงิน, ภาษีมูลค่าเพิ่ม
legal_services|บริการกฎหมาย|ทนายความ, สำนักงานกฎหมาย, ปรึกษากฎหมาย, ร่างสัญญา
hr_recruitment|บุคคลและสรรหาพนักงาน|จัดหางาน, สรรหาบุคลากร, เฮดฮันเตอร์, เรซูเม่
management_consulting|ที่ปรึกษาการบริหาร|ที่ปรึกษาธุรกิจ, ที่ปรึกษาการจัดการ, วางกลยุทธ์, แผนธุรกิจ
insurance_brokerage|นายหน้าประกันภัย|นายหน้าประกัน, ประกันภัย, กรมธรรม์, เคลมประกัน
real_estate_agency|นายหน้าอสังหาริมทรัพย์|นายหน้าอสังหาริมทรัพย์, ขายบ้าน, คอนโด, ที่ดิน
architecture|สถาปัตยกรรม|สถาปนิก, แบบก่อสร้าง, ขออนุญาตก่อสร้าง, ออกแบบอาคาร
manufacturing|การผลิต|โรงงาน, ผลิต, อุตสาหกรรม, ประกอบชิ้นส่วน
cnc_machining|งานกลึง CNC|งานซีเอ็นซี, กลึง, มิลลิ่ง, งานเครื่องจักรกล
metalwork_welding|งานโลหะและเชื่อม|งานเชื่อม, ช่างเชื่อม, เหล็ก, งานโลหะ
restaurant|ร้านอาหาร|ร้านอาหาร, อาหาร, ภัตตาคาร, เมนู
catering|จัดเลี้ยง|จัดเลี้ยง, เคเทอริง, บุฟเฟ่ต์, อาหารงานเลี้ยง
hotel|โรงแรม|โรงแรม, ที่พัก, โฮสเทล, ห้องพัก
event_management|รับจัดงาน|ออร์แกไนเซอร์, จัดงานแต่ง, จัดประชุม, จัดอีเวนต์
agriculture|เกษตรกรรม|เกษตรกรรม, ฟาร์ม, รถไถ, เก็บเกี่ยว
forestry|ป่าไม้|ป่าไม้, ตัดไม้, ไม้ซุง, เลื่อยยนต์
waste_recycling|ขยะและรีไซเคิล|กำจัดขยะ, รับซื้อของเก่า, เศษเหล็ก, รีไซเคิล
renewable_energy|พลังงานหมุนเวียน|โซลาร์เซลล์, พลังงานลม, พลังงานสะอาด, ปั๊มความร้อน
marketing_agency|เอเจนซีการตลาด|การตลาด, โฆษณา, เอเจนซี่, แคมเปญ
graphic_design|ออกแบบกราฟิก|กราฟิกดีไซน์, ออกแบบโลโก้, จัดหน้า, งานออกแบบ
photography|ถ่ายภาพ|ช่างภาพ, สตูดิโอถ่ายภาพ, ถ่ายพรีเวดดิ้ง, ถ่ายรูป
video_production|ผลิตวิดีโอ|ผลิตวิดีโอ, ถ่ายวิดีโอ, ตัดต่อ, ถ่ายโดรน
printing_signage|งานพิมพ์และป้าย|โรงพิมพ์, งานพิมพ์, ป้ายโฆษณา, สติ๊กเกอร์
wholesale|ขายส่ง|ขายส่ง, ตัวแทนจำหน่าย, ซัพพลายเออร์, สินค้า
ecommerce|ร้านค้าออนไลน์|ร้านค้าออนไลน์, อีคอมเมิร์ซ, มาร์เก็ตเพลส, รับออเดอร์
security_services|บริการรักษาความปลอดภัย|รปภ, บริการรักษาความปลอดภัย, ยาม, กล้องวงจรปิด
hairdressing|ร้านทำผม|ร้านทำผม, ตัดผม, ทำสีผม, ซาลอน
beauty_salon|ร้านเสริมสวย|ร้านเสริมสวย, ทำเล็บ, ทรีตเมนต์ผิวหน้า, คลินิกความงาม
massage_therapy|นวด|นวด, หมอนวด, นวดแผนไทย, สปานวด
fitness_training|เทรนเนอร์ฟิตเนส|เทรนเนอร์ส่วนตัว, ฟิตเนส, ยิม, เวทเทรนนิ่ง
shop_general|ร้านค้าทั่วไป|ร้านค้า, ร้านขายของ, ค้าปลีก, สินค้า
shop_bicycle|ร้านจักรยานและซ่อม|ร้านจักรยาน, จักรยาน, ซ่อมจักรยาน, จักรยานไฟฟ้า
shop_auto_parts|ร้านอะไหล่รถยนต์|อะไหล่รถยนต์, ของแต่งรถ, ไส้กรอง, อุปกรณ์รถยนต์
shop_hardware|ร้านฮาร์ดแวร์และเครื่องมือ|ร้านวัสดุก่อสร้าง, ร้านฮาร์ดแวร์, เครื่องมือช่าง, น็อต
shop_furniture|ร้านเฟอร์นิเจอร์|ร้านเฟอร์นิเจอร์, เฟอร์นิเจอร์, โซฟา, ชุดครัว
shop_electronics|ร้านเครื่องใช้ไฟฟ้าและอิเล็กทรอนิกส์|เครื่องใช้ไฟฟ้า, ร้านไฟฟ้า, โทรทัศน์, เครื่องซักผ้า
shop_clothing|ร้านเสื้อผ้า|ร้านเสื้อผ้า, แฟชั่น, รองเท้า, เครื่องแต่งกาย
shop_grocery|ร้านของชำ|ร้านขายของชำ, ซูเปอร์มาร์เก็ต, ร้านสะดวกซื้อ, ของกิน
shop_sports|ร้านอุปกรณ์กีฬา|ร้านกีฬา, อุปกรณ์กีฬา, ของใช้กลางแจ้ง, สกี
shop_books|ร้านหนังสือและเครื่องเขียน|ร้านหนังสือ, เครื่องเขียน, หนังสือ, อุปกรณ์สำนักงาน
shop_florist|ร้านดอกไม้|ร้านดอกไม้, ดอกไม้, ช่อดอกไม้, พวงหรีด
shop_pet|ร้านสัตว์เลี้ยง|ร้านสัตว์เลี้ยง, อาหารสุนัข, ตู้ปลา, ทรายแมว
motorcycle_repair|ร้านซ่อมมอเตอร์ไซค์|ร้านซ่อมมอเตอร์ไซค์, มอเตอร์ไซค์, สกู๊ตเตอร์, รถเครื่อง
bar|บาร์|บาร์, ร้านเหล้า, ค็อกเทล, ผับ
kebab_shawarma|เคบับและชาวาร์มา|เคบับ, ชาวาม่า, ไจโรส, โดเนอร์
pizzeria|ร้านพิซซ่า|พิซซ่า, ร้านพิซซ่า, พิซซ่าสั่งกลับบ้าน, อาหารอิตาเลียน
fast_food|อาหารจานด่วน|ฟาสต์ฟู้ด, เบอร์เกอร์, เฟรนช์ฟรายส์, ร้านอาหารจานด่วน
bakery|ร้านเบเกอรี่|ร้านเบเกอรี่, ขนมปัง, อบขนมปัง, ร้านขนมปัง
pastry_shop|ร้านขนมเค้ก|ร้านเค้ก, เค้ก, ขนมหวาน, ของหวาน
coffee_shop|ร้านกาแฟ|ร้านกาแฟ, กาแฟ, เอสเปรสโซ, บาริสต้า
food_truck|ฟู้ดทรัค|ฟู้ดทรัค, อาหารริมทาง, รถขายอาหาร
butcher|ร้านขายเนื้อ|ร้านขายเนื้อ, เนื้อสัตว์, ไส้กรอก, เขียงหมู
ice_cream|ร้านไอศกรีม|ไอศกรีม, ร้านไอศกรีม, เจลาโต, ไอติม
winery|โรงบ่มไวน์|โรงบ่มไวน์, ไวน์, ห้องเก็บไวน์, ชิมไวน์
brewery|โรงเบียร์|โรงเบียร์, เบียร์, คราฟต์เบียร์, เบียร์สด
nightclub|ไนต์คลับและดิสโก้|ไนต์คลับ, ดิสโก้, เที่ยวกลางคืน, ดีเจ
beach_club|บาร์ริมหาดและบีชคลับ|บาร์ริมหาด, เตียงชายหาด, ชายหาด, บีชคลับ
bowling_billiards|โบว์ลิ่งและบิลเลียด|โบว์ลิ่ง, สนุกเกอร์, ปาเป้า, บิลเลียด
travel_agency|บริษัททัวร์|บริษัททัวร์, ตัวแทนท่องเที่ยว, ตั๋วเครื่องบิน, แพ็คเกจทัวร์
nail_salon|ร้านทำเล็บ มือและเท้า|ร้านทำเล็บ, ทำเล็บมือ, ทำเล็บเท้า, เล็บเจล
barber|ร้านตัดผมชาย|ร้านตัดผมชาย, บาร์เบอร์, โกนหนวด, แต่งหนวดเครา
tattoo_piercing|สักและเจาะ|สักลาย, ร้านสัก, เจาะหู, รอยสัก
spa_sauna|สปาและซาวน่า|สปา, ซาวน่า, อบไอน้ำ, ออนเซ็น
cosmetics_shop|ร้านเครื่องสำอาง|ร้านเครื่องสำอาง, น้ำหอม, เมคอัพ, สกินแคร์
dry_cleaning|ซักแห้งและซักรีด|ร้านซักแห้ง, ร้านซักรีด, รีดผ้า, ซักผ้า
podiatry|ดูแลเท้าและโรคเท้า|ดูแลเท้า, เล็บขบ, รักษาเท้า, สุขภาพเท้า
dental_laboratory|แล็บทันตกรรม|ช่างทันตกรรม, ฟันปลอม, ครอบฟัน, งานทันตกรรมประดิษฐ์
orthodontics|จัดฟัน|จัดฟัน, เหล็กจัดฟัน, ทันตแพทย์จัดฟัน, รีเทนเนอร์ใส
dermatology|ผิวหนัง|แพทย์ผิวหนัง, ผิวหนัง, ไฝ, สิว
paediatrics|กุมารเวช|กุมารแพทย์, หมอเด็ก, ทารก, ตรวจเด็ก
gynaecology|สูตินรีเวช|สูตินรีแพทย์, นรีเวช, ตั้งครรภ์, ฝากครรภ์
cardiology|หัวใจ|แพทย์หัวใจ, หัวใจ, คลื่นไฟฟ้าหัวใจ, โรคหัวใจ
medical_imaging|รังสีวิทยาและภาพวินิจฉัย|เอกซเรย์, อัลตราซาวด์, เอ็มอาร์ไอ, ซีทีสแกน
speech_therapy|อรรถบำบัด|อรรถบำบัด, ฝึกพูด, พูดติดอ่าง, นักแก้ไขการพูด
nutrition_dietetics|โภชนาการและกำหนดอาหาร|นักโภชนาการ, ให้คำปรึกษาด้านอาหาร, ลดน้ำหนัก, จัดเมนูอาหาร
bicycle_repair|ซ่อมจักรยาน|ซ่อมจักรยาน, ปะยางจักรยาน, ร้านซ่อมจักรยาน, เช็คสภาพจักรยาน
scooter_repair|ซ่อมสกู๊ตเตอร์และมอเตอร์ไซค์เล็ก|ซ่อมสกู๊ตเตอร์, สกู๊ตเตอร์, เวสป้า, รถจักรยานยนต์เล็ก
appliance_repair|ซ่อมเครื่องใช้ไฟฟ้า|ซ่อมเครื่องใช้ไฟฟ้า, เครื่องซักผ้า, ตู้เย็น, เตาอบ
phone_repair|ซ่อมมือถือและแท็บเล็ต|ซ่อมมือถือ, เปลี่ยนจอ, ไอโฟน, แท็บเล็ต
computer_repair|ซ่อมคอมพิวเตอร์|ซ่อมคอมพิวเตอร์, โน้ตบุ๊ก, พีซี, กู้ข้อมูล
watch_jewellery_repair|ซ่อมนาฬิกาและเครื่องประดับ|ช่างซ่อมนาฬิกา, ช่างทอง, เปลี่ยนถ่าน, ขยายแหวน
shoe_repair|ซ่อมรองเท้า|ซ่อมรองเท้า, ช่างทำรองเท้า, เปลี่ยนส้น, เปลี่ยนพื้นรองเท้า
tailoring_alterations|ตัดเย็บและแก้ไขเสื้อผ้า|ร้านตัดเสื้อ, ช่างเย็บผ้า, แก้ไซส์, เย็บชายกางเกง
upholstery|หุ้มเบาะและเฟอร์นิเจอร์|หุ้มเบาะ, ซ่อมโซฟา, เปลี่ยนผ้าหุ้ม, เบาะรถ
glazing|งานกระจกและหน้าต่าง|ช่างกระจก, หน้าต่าง, กระจกสองชั้น, ติดตั้งกระจก
chimney_sweep|ทำความสะอาดปล่องไฟ|ทำความสะอาดปล่องไฟ, ปล่องไฟ, เขม่า, ท่อควัน
pest_control|กำจัดแมลงและสัตว์รบกวน|กำจัดปลวก, กำจัดแมลง, ตัวเรือด, หนู
pool_maintenance|ดูแลสระว่ายน้ำ|ดูแลสระว่ายน้ำ, ทำความสะอาดสระ, คลอรีน, สระว่ายน้ำ
window_cleaning|เช็ดกระจกหน้าต่าง|เช็ดกระจก, ทำความสะอาดหน้าต่าง, ล้างอาคาร, เช็ดหน้าต่าง
car_wash|ล้างรถ|ล้างรถ, คาร์แคร์, ทำความสะอาดภายในรถ, ขัดเคลือบสี
car_rental|เช่ารถยนต์|เช่ารถ, รถเช่า, บริการรถเช่า, เช่ารถขับเอง
bike_scooter_rental|เช่าจักรยานและสกู๊ตเตอร์|เช่าจักรยาน, สกู๊ตเตอร์ไฟฟ้า, เช่ารถจักรยาน, สกู๊ตเตอร์
funeral_services|บริการงานศพ|จัดงานศพ, สัปเหร่อ, ฌาปนกิจ, โลงศพ
notary|โนตารี พับลิค|โนตารี, รับรองเอกสาร, หนังสือมอบอำนาจ, รับรองลายมือชื่อ
bailiff|การบังคับคดี|เจ้าพนักงานบังคับคดี, ยึดทรัพย์, บังคับคดี, คำสั่งศาล
patent_trademark|สิทธิบัตรและเครื่องหมายการค้า|ทรัพย์สินทางปัญญา, จดทะเบียนเครื่องหมายการค้า, สิทธิบัตร, ตัวแทนสิทธิบัตร
debt_collection|ติดตามทวงหนี้|ทวงหนี้, เร่งรัดหนี้สิน, หนี้ค้างชำระ, ติดตามหนี้
company_formation|จดทะเบียนบริษัท|จดทะเบียนบริษัท, จดทะเบียนนิติบุคคล, ตั้งบริษัท, หนังสือบริคณห์สนธิ
financial_advisory|ที่ปรึกษาการเงิน|ที่ปรึกษาการเงิน, การลงทุน, บริหารความมั่งคั่ง, วางแผนการเงิน
payroll_services|บริการทำเงินเดือน|ทำเงินเดือน, สลิปเงินเดือน, ค่าจ้าง, จัดการค่าตอบแทน
currency_exchange|รับแลกเปลี่ยนเงินตรา|แลกเงิน, ร้านแลกเงิน, เงินตราต่างประเทศ, อัตราแลกเปลี่ยน
pawnshop|โรงรับจำนำ|โรงรับจำนำ, จำนำ, กู้เงินโดยใช้หลักทรัพย์, รับซื้อทอง
leasing|ลีสซิ่งและสินเชื่อ|ลีสซิ่ง, สินเชื่อเช่าซื้อ, ผ่อนชำระ, ไฟแนนซ์รถ
hearing_aids|เครื่องช่วยฟัง|เครื่องช่วยฟัง, ตรวจการได้ยิน, หูตึง, ศูนย์การได้ยิน
medical_transport|รถรับส่งผู้ป่วย|รถพยาบาล, ส่งต่อผู้ป่วย, เปลนอน, รถส่งผู้ป่วย
rehabilitation|ศูนย์ฟื้นฟูสมรรถภาพ|ศูนย์ฟื้นฟู, พักฟื้น, ฟื้นฟูสมรรถภาพ, กายภาพฟื้นฟู
occupational_therapy|กิจกรรมบำบัด|กิจกรรมบำบัด, นักกิจกรรมบำบัด, ฝึกกิจวัตรประจำวัน, ฝึกช่วยเหลือตนเอง
midwifery|ผดุงครรภ์|ผดุงครรภ์, ทำคลอด, ดูแลหญิงตั้งครรภ์, ก่อนคลอด
acupuncture|ฝังเข็ม|ฝังเข็ม, เข็มจีน, แพทย์แผนจีน, รมยา
chiropractic|ไคโรแพรคติกและออสเทโอพาธี|ไคโรแพรคติก, จัดกระดูก, กระดูกสันหลัง, ปวดหลัง
insulation|ฉนวนกันความร้อน|ฉนวนกันความร้อน, ติดตั้งฉนวน, กันความร้อนหลังคา, ฉนวนใยแก้ว
waterproofing|งานกันซึม|กันซึม, กันรั่ว, หลังคารั่ว, แผ่นกันซึม
plastering|งานฉาบและโป๊ว|ฉาบปูน, ช่างฉาบ, ปูนฉาบ, ตกแต่งผนัง
tiling|ปูกระเบื้อง|ปูกระเบื้อง, กระเบื้อง, ช่างปูกระเบื้อง, กระเบื้องผนัง
drywall|ยิปซัมและผนังเบา|ผนังยิปซัม, ฝ้าเพดาน, ผนังเบา, แผ่นยิปซัม
fencing|รั้วและประตูรั้ว|รั้ว, ประตูรั้ว, ทำรั้ว, ตาข่ายกั้น
paving|ปูพื้นและทางเข้า|ปูถนน, ทางเข้าบ้าน, ทางเท้า, ขอบคันหิน
well_drilling|เจาะบ่อบาดาล|เจาะบ่อบาดาล, บ่อน้ำ, ขุดบ่อ, น้ำบาดาล
septic_systems|ถังบำบัดและระบบระบายน้ำ|บ่อเกรอะ, ระบบระบายน้ำ, ถังบำบัด, ท่อระบายน้ำ
solar_panels|ติดตั้งแผงโซลาร์|ติดตั้งโซลาร์เซลล์, แผงโซลาร์, อินเวอร์เตอร์, พลังงานแสงอาทิตย์
alarm_cctv|สัญญาณกันขโมยและกล้องวงจรปิด|สัญญาณกันขโมย, กล้องวงจรปิด, ระบบรักษาความปลอดภัย, ติดตั้งกล้อง
smart_home|ติดตั้งบ้านอัจฉริยะ|บ้านอัจฉริยะ, ไฟอัจฉริยะ, ระบบอัตโนมัติในบ้าน, ควบคุมผ่านมือถือ
lift_maintenance|บำรุงรักษาลิฟต์|ลิฟต์, ดูแลลิฟต์, บันไดเลื่อน, ซ่อมลิฟต์
fire_safety|ระบบดับเพลิงและถังดับเพลิง|ถังดับเพลิง, สัญญาณเตือนไฟไหม้, สปริงเกอร์, ระบบดับเพลิง
car_dealer|ตัวแทนจำหน่ายรถยนต์|เต็นท์รถ, รถมือสอง, ขายรถ, โชว์รูมรถ
vehicle_inspection|ตรวจสภาพรถ|ตรวจสภาพรถ, ตรวจสภาพ, สถานตรวจสภาพ, ตรอ
auto_electrics|ไฟฟ้ารถยนต์|ช่างไฟรถยนต์, ไดชาร์จ, ไดสตาร์ท, ระบบไฟรถ
car_glass|กระจกรถยนต์และกระจกหน้า|กระจกหน้ารถ, เปลี่ยนกระจกรถ, กระจกรถยนต์, กระจกร้าว
boat_repair|ซ่อมเรือ|ซ่อมเรือ, เครื่องยนต์เรือ, เรือ, อู่ต่อเรือ
bus_charter|เช่ารถบัสและรถทัวร์|เช่ารถบัส, รถบัสนำเที่ยว, รถตู้, ขนส่งหมู่คณะ
call_centre|คอลเซ็นเตอร์|คอลเซ็นเตอร์, เทเลมาร์เก็ตติ้ง, ฝ่ายบริการลูกค้า, รับสายลูกค้า
virtual_assistant|ผู้ช่วยเสมือน|ผู้ช่วยเสมือน, งานธุรการออนไลน์, เลขาทางไกล, ฟรีแลนซ์
market_research|วิจัยตลาด|วิจัยตลาด, แบบสอบถาม, สำรวจผู้บริโภค, สนทนากลุ่ม
copywriting|เขียนคอนเทนต์|เขียนคอนเทนต์, ก็อปปี้ไรเตอร์, พิสูจน์อักษร, เขียนบทความ
seo_services|SEO และโฆษณาออนไลน์|ทำเอสอีโอ, กูเกิลแอดส์, โฆษณาออนไลน์, ทำอันดับเว็บ
social_media|ดูแลโซเชียลมีเดีย|ดูแลโซเชียลมีเดีย, อินสตาแกรม, เฟซบุ๊ก, ติ๊กต็อก
app_development|พัฒนาแอปมือถือ|พัฒนาแอป, แอนดรอยด์, แอปมือถือ, ฟลัตเตอร์
game_development|พัฒนาเกม|พัฒนาเกม, ยูนิตี้, อันเรียล, สตูดิโอเกม
drone_services|บริการโดรน|โดรน, ถ่ายภาพทางอากาศ, บินโดรน, สำรวจด้วยโดรน
printing_3d|พิมพ์สามมิติ|พิมพ์สามมิติ, ต้นแบบ, เครื่องพิมพ์สามมิติ, ขึ้นรูปชิ้นงาน
interior_design|ออกแบบตกแต่งภายใน|ออกแบบภายใน, ตกแต่งภายใน, จัดพื้นที่, มัณฑนากร
dance_school|โรงเรียนสอนเต้น|โรงเรียนสอนเต้น, บัลเล่ต์, ซัลซ่า, เรียนเต้น
art_gallery|แกลเลอรีศิลปะและกรอบรูป|ใส่กรอบรูป, กรอบรูป, หอศิลป์, นิทรรศการศิลปะ
