taxi|Taxi|taxi, fuvar, transzfer, reptér
waste_recycling|Hulladék és újrahasznosítás|hulladék, konténer, vashulladék, újrahasznosítás
renewable_energy|Megújuló energia|napelem, szélenergia, zöld energia, hőszivattyú
marketing_agency|Marketingügynökség|marketing, reklám, kampány, reklámügynökség
graphic_design|Grafikai tervezés|grafikus, logó, grafikai tervezés, nyomdai előkészítés
photography|Fotózás|fotós, fotóstúdió, esküvői fotós, portré
video_production|Videógyártás|videógyártás, forgatás, vágás, drón
printing_signage|Nyomda és táblák|nyomda, nyomtatás, táblák, matricák
wholesale|Nagykereskedelem|nagykereskedés, forgalmazó, beszállító, áru
ecommerce|Webáruház|webáruház, online bolt, marketplace, rendelések
security_services|Biztonsági szolgálat|biztonsági őr, vagyonvédelem, felügyelet, kamerarendszer
hairdressing|Fodrászat|fodrász, hajvágás, hajfestés, szalon
beauty_salon|Kozmetika|kozmetika, kozmetikus, köröm, arckezelés
massage_therapy|Masszázs|masszőr, masszázs, wellness, lazítás
fitness_training|Edzés és fitnesz|személyi edző, konditerem, edzés, erősítés
shop_general|Üzlet|bolt, üzlet, kiskereskedés, áru
shop_bicycle|Kerékpárbolt és szerviz|kerékpárbolt, bicikli, kerékpárszerviz, elektromos kerékpár
shop_auto_parts|Autóalkatrész|autóalkatrész, alkatrészek, autófelszerelés, szűrők
shop_hardware|Vasáru és barkács|barkácsbolt, vasáru, szerszámok, csavarok
shop_furniture|Bútor|bútorbolt, bútor, kanapé, konyhabútor
shop_electronics|Elektronika és háztartási gép|elektronika, háztartási gépek, tévé, mosógép
shop_clothing|Ruházat|ruhabolt, divat, cipő, ruházat
shop_grocery|Élelmiszerbolt|élelmiszerbolt, közért, szupermarket, kisbolt
shop_sports|Sportbolt|sportbolt, sportfelszerelés, túrafelszerelés, síléc
shop_books|Könyvesbolt és papír-írószer|könyvesbolt, papírbolt, könyvek, irodaszer
shop_florist|Virágbolt|virágbolt, virág, csokor, koszorú
shop_pet|Állateledel-bolt|állateledel bolt, kutyatáp, akvárium, macskaalom
motorcycle_repair|Motorszerviz|motorszerviz, motorkerékpár, robogó, moped
bar|Bár|bár, kocsma, koktélbár, italok
kebab_shawarma|Kebab és sawarma|kebab, gyros, saláta wrap, török étel
pizzeria|Pizzéria|pizza, pizzéria, pizza rendelés, olasz
fast_food|Gyorsétterem|gyorsétterem, hamburger, sültkrumpli, büfé
bakery|Pékség|pékség, kenyér, péksütemény, pék
pastry_shop|Cukrászda|cukrászda, torta, sütemény, desszert
coffee_shop|Kávézó|kávézó, kávé, presszó, barista
food_truck|Ételkocsi|food truck, utcai étel, mozgó konyha
butcher|Hentes|hentes, hús, kolbász, húsbolt
ice_cream|Fagyizó|fagylalt, fagyizó, gelato, jégkrém
winery|Borászat|borászat, bor, pince, borkóstoló
brewery|Sörfőzde|sörfőzde, sör, kézműves sör, csapolt sör
nightclub|Éjszakai klub és diszkó|éjszakai klub, diszkó, tánc, dj
beach_club|Strandbár és beach club|strandbár, napágyak, strand, fürdő
bowling_billiards|Bowling és biliárd|bowling, biliárd, darts, teke
travel_agency|Utazási iroda|utazási iroda, utazás, repjegy, üdülés
nail_salon|Körömszalon, manikűr és pedikűr|körmös, manikűr, pedikűr, műköröm
barber|Borbély|borbély, férfi fodrász, szakáll, borotválás
tattoo_piercing|Tetoválás és piercing|tetoválás, tetováló szalon, piercing, tattoo
spa_sauna|Wellness és szauna|wellness, szauna, gyógyfürdő, gőzfürdő
cosmetics_shop|Kozmetikai bolt|parfüméria, smink, bőrápolás, kozmetikum
dry_cleaning|Vegytisztító és mosoda|tisztító, mosoda, vasalás, ruhatisztítás
podiatry|Podológia és lábápolás|lábápolás, pedikűr, benőtt köröm, láb
dental_laboratory|Fogtechnikai labor|fogtechnikus, fogpótlás, korona, híd
orthodontics|Fogszabályozás|fogszabályozás, fogszabályzó, fogorvos ortodontia, sín
dermatology|Bőrgyógyászat|bőrgyógyász, dermatológus, anyajegy, akne
paediatrics|Gyermekgyógyászat|gyermekorvos, házi gyermekorvos, csecsemő, gyerek
gynaecology|Nőgyógyászat|nőgyógyász, nővédelem, terhesség, szülészet
cardiology|Kardiológia|kardiológus, szívgyógyász, ekg, szív
medical_imaging|Képalkotó diagnosztika|röntgen, ultrahang, mri, ct vizsgálat
speech_therapy|Logopédia|logopédus, beszédterápia, dadogás, beszéd
nutrition_dietetics|Táplálkozás és dietetika|dietetikus, táplálkozási tanácsadó, diéta, fogyás
bicycle_repair|Kerékpárjavítás|kerékpárszerviz, bicikli javítás, defekt, kerékpár javítás
scooter_repair|Robogó- és mopedjavítás|robogószerviz, robogó, vespa, moped
appliance_repair|Háztartási gép javítása|háztartási gép javítás, mosógép, hűtő, sütő
phone_repair|Telefon- és tabletjavítás|mobil szerviz, kijelző csere, iphone, tablet
computer_repair|Számítógép-javítás|számítógép szerviz, laptop, pc, adatmentés
watch_jewellery_repair|Óra- és ékszerjavítás|órás, ékszerész, elemcsere, gyűrű méretezés
shoe_repair|Cipészet|cipész, cipőjavítás, sarok, talp
tailoring_alterations|Szabóság és igazítás|szabó, varrónő, felhajtás, ruhaigazítás
upholstery|Kárpitozás|kárpitos, kárpitozás, kanapé áthúzás, bútorhuzat
glazing|Üvegezés és ablakok|üveges, ablakok, hőszigetelt üveg, üveg
chimney_sweep|Kéményseprés|kéményseprő, kémény, kéménytisztítás, korom
pest_control|Kártevőirtás|kártevőirtás, poloska, patkány, csótány
pool_maintenance|Medencekarbantartás|medence karbantartás, medencetisztítás, klór, medence
window_cleaning|Ablaktisztítás|ablaktisztítás, ablakmosás, homlokzatmosás, ablakok
car_wash|Autómosó|autómosó, kocsimosás, belső tisztítás, polírozás
car_rental|Autókölcsönzés|autókölcsönző, bérautó, autóbérlés, gépjárműbérlés
bike_scooter_rental|Kerékpár- és rollerkölcsönzés|kerékpárkölcsönző, elektromos roller, bicikli bérlés, roller
funeral_services|Temetkezés|temetkezés, temetés, hamvasztás, koporsó
notary|Közjegyzőség|közjegyző, közokirat, meghatalmazás, hagyaték
bailiff|Végrehajtás|végrehajtó, végrehajtás, foglalás, behajtás
patent_trademark|Szabadalmak és védjegyek|szabadalmi ügyvivő, védjegy bejegyzés, szabadalom, szellemi tulajdon
debt_collection|Követeléskezelés|követeléskezelés, tartozás, fizetési felszólítás, kintlévőség
company_formation|Cégalapítás|cégalapítás, cégbíróság, kft alapítás, egyéni vállalkozás
financial_advisory|Pénzügyi tanácsadás|pénzügyi tanácsadó, befektetés, vagyonkezelés, nyugdíj megtakarítás
payroll_services|Bérszámfejtés|bérszámfejtés, bérlap, munkabér, munkaügy
currency_exchange|Pénzváltó|pénzváltó, valutaváltás, deviza, árfolyam
pawnshop|Zálogház|zálogház, zálog, zálogkölcsön, aranyfelvásárlás
leasing|Lízing és finanszírozás|lízing, finanszírozás, részletfizetés, autólízing
hearing_aids|Hallókészülékek|hallókészülék, hallásvizsgálat, audiológus, hallásközpont
medical_transport|Betegszállítás|mentő, betegszállítás, hordágy, betegszállító
rehabilitation|Rehabilitációs központ|rehabilitáció, lábadozás, rehabilitációs központ, felépülés
occupational_therapy|Ergoterápia|ergoterapeuta, foglalkozásterápia, mindennapi készségek, önállóság
midwifery|Szülésznői ellátás|szülésznő, szülés, terhesség, szülésfelkészítő
acupuncture|Akupunktúra|akupunktúra, tűk, kínai orvoslás, akupunktőr
chiropractic|Kiropraktika és oszteopátia|csontkovács, oszteopata, gerinc, hátfájás
insulation|Hőszigetelés|hőszigetelés, szigetelés, tetőszigetelés, homlokzatszigetelés
waterproofing|Vízszigetelés|vízszigetelés, nedvesség, tetőszigetelés bitumen, membrán
plastering|Vakolás és glettelés|vakolás, vakolat, glettelés, stukkó
tiling|Burkolás|burkoló, csempe, járólap, fürdőszoba burkolás
drywall|Gipszkarton és válaszfalak|gipszkarton, válaszfal, álmennyezet, szerelt fal
fencing|Kerítések és kapuk|kerítés, kapu, kerítésépítés, drótháló
paving|Térkövezés és behajtók|térkövezés, kocsibeálló, járda, szegély
well_drilling|Kútfúrás|kútfúrás, kút, fúrt kút, talajvíz
septic_systems|Szennyvíztárolók és csatornázás|szennyvíztározó, csatornázás, emésztő, szikkasztó
solar_panels|Napelem-telepítés|napelem, napelem telepítés, inverter, napenergia
alarm_cctv|Riasztó és kamerarendszer|riasztó, kamerarendszer, videómegfigyelés, betörésvédelem
smart_home|Okosotthon|okosotthon, okosvilágítás, otthonautomatizálás, vezérlés
lift_maintenance|Liftkarbantartás|lift, felvonó, liftszerviz, mozgólépcső
fire_safety|Tűzvédelem és tűzoltó készülékek|tűzoltó készülék, tűzjelző, sprinkler, tűzvédelem
car_dealer|Autókereskedés|autókereskedés, használt autó, autóértékesítés, márkakereskedés
vehicle_inspection|Műszaki vizsga|műszaki vizsga, járművizsgálat, vizsgaállomás, műszaki
auto_electrics|Autóvillamosság|autóvillamosság, generátor, önindító, autó elektromos
car_glass|Autóüveg és szélvédő|szélvédő, üvegcsere, autóüveg, kőfelverődés
boat_repair|Hajójavítás|hajójavítás, csónakmotor, hajó, jacht
bus_charter|Autóbuszbérlés|buszbérlés, autóbusz, kisbusz, csoportos szállítás
call_centre|Ügyfélszolgálati központ|ügyfélszolgálat, telemarketing, telefonos support, kontaktcenter
virtual_assistant|Virtuális asszisztens|virtuális asszisztens, adminisztratív támogatás, távoli titkárnő, szabadúszó
market_research|Piackutatás|piackutatás, kérdőív, fogyasztói kutatás, fókuszcsoport
copywriting|Szövegírás|szövegíró, korrektúra, tartalomkészítés, szerkesztés
seo_services|SEO és online hirdetés|keresőoptimalizálás, google ads, online hirdetés, sem
social_media|Közösségimédia-kezelés|közösségi média kezelés, instagram, facebook, tiktok
app_development|Mobilalkalmazás-fejlesztés|alkalmazásfejlesztés, android, mobilalkalmazás, flutter
game_development|Játékfejlesztés|játékfejlesztés, unity, unreal, játékstúdió
drone_services|Drónszolgáltatások|drón, légifotó, drónfelvétel, térképezés
printing_3d|3D nyomtatás|3d nyomtatás, prototípus, additív gyártás, 3d nyomtató
interior_design|Belsőépítészet|lakberendező, belsőépítész, enteriőr, dekoráció
dance_school|Táncstúdió|tánciskola, balett, salsa, táncóra
art_gallery|Galéria és képkeretezés|képkeretezés, keretek, kiállítás, galéria
