taxi|Taxi|taxík, jízda, odvoz, letiště
hotel|Hotel|ubytování, hotel, hostel, pokoje
event_management|Pořádání akcí|organizace akcí, svatby, konference, eventy
agriculture|Zemědělství|zemědělství, farma, traktor, sklizeň
forestry|Lesnictví|lesnictví, těžba dřeva, dřevo, motorová pila
waste_recycling|Odpady a recyklace|odpad, kontejner, sběrné suroviny, recyklace
renewable_energy|Obnovitelná energie|obnovitelné zdroje, solární panely, větrná energie, tepelné čerpadlo
marketing_agency|Marketingová agentura|marketing, reklama, kampaň, propagace
graphic_design|Grafický design|grafik, logo, grafický design, tisková příprava
photography|Fotografie|fotograf, fotoateliér, svatební fotograf, focení
video_production|Video produkce|kameraman, natáčení, střih, video
printing_signage|Tisk a reklamní polepy|tiskárna, tisk, bannery, polepy
wholesale|Velkoobchod|velkoobchod, distributor, dodavatel, zboží
ecommerce|E-shop|eshop, internetový obchod, marketplace, objednávky
security_services|Bezpečnostní služby|ostraha, bezpečnostní agentura, hlídání, kamerový systém
hairdressing|Kadeřnictví|kadeřník, kadeřnictví, střih, barvení vlasů
beauty_salon|Kosmetický salon|kosmetika, kosmetický salon, nehty, pleť
massage_therapy|Masáže|masér, masáže, wellness, relaxace
fitness_training|Fitness trénink|osobní trenér, fitness, posilovna, cvičení
shop_general|Obchod|obchod, prodejna, maloobchod, zboží
shop_bicycle|Cykloprodejna a servis|cyklo, kola, servis kol, cyklistika
shop_auto_parts|Autodíly|autodíly, náhradní díly, autopříslušenství, filtry
shop_hardware|Železářství a hobby|železářství, hobbymarket, nářadí, šrouby
shop_furniture|Nábytek|nábytek, kuchyně, pohovky, skříně
shop_electronics|Elektro a spotřebiče|elektro, spotřebiče, televize, pračka
shop_clothing|Oděvy|oblečení, móda, obuv, textil
shop_grocery|Potraviny|potraviny, samoobsluha, supermarket, večerka
shop_sports|Sportovní potřeby|sportovní potřeby, sportovní vybavení, outdoor, lyže
shop_books|Knihkupectví a papírnictví|knihkupectví, papírnictví, knihy, kancelářské potřeby
shop_florist|Květinářství|květinářství, květiny, kytice, věnce
shop_pet|Chovatelské potřeby|chovatelské potřeby, krmivo pro psy, akvárium, zvířata
motorcycle_repair|Motoservis|motoservis, motorka, skútr, moped
bar|Bar|bar, hospoda, koktejly, výčep
kebab_shawarma|Kebab a šawarma|kebab, gyros, shawarma, döner
pizzeria|Pizzerie|pizza, pizzerie, rozvoz pizzy, italská
fast_food|Rychlé občerstvení|rychlé občerstvení, burger, hranolky, bufet
bakery|Pekárna|pekárna, chleba, pečivo, rohlíky
pastry_shop|Cukrárna|cukrárna, dorty, zákusky, cukroví
coffee_shop|Kavárna|kavárna, káva, espresso, barista
food_truck|Pojízdné občerstvení|pojízdné občerstvení, street food, foodtruck
butcher|Řeznictví|řeznictví, maso, uzeniny, klobásy
ice_cream|Zmrzlinárna|zmrzlina, zmrzlinárna, kopečková zmrzlina, gelato
winery|Vinařství|vinařství, víno, vinný sklep, degustace
brewery|Pivovar|pivovar, pivo, řemeslné pivo, výčep
nightclub|Noční klub a diskotéka|noční klub, diskotéka, tancování, dj
beach_club|Plážový bar a beach club|plážový bar, lehátka, pláž, koupaliště
bowling_billiards|Bowling a kulečník|bowling, kulečník, šipky, biliár
travel_agency|Cestovní kancelář|cestovní kancelář, zájezdy, letenky, dovolená
nail_salon|Nehtové studio, manikúra a pedikúra|manikúra, pedikúra, nehty, gel lak
barber|Holičství|holič, barber shop, pánský střih, vousy
tattoo_piercing|Tetování a piercing|tetování, tetovací studio, piercing, tattoo
spa_sauna|Wellness a sauna|wellness, sauna, lázně, parní lázeň
cosmetics_shop|Drogerie a kosmetika|parfumerie, kosmetika, líčení, péče o pleť
dry_cleaning|Čistírna a prádelna|čistírna, prádelna, žehlení, praní
podiatry|Podologie a péče o nohy|pedikúra, péče o nohy, zarostlý nehet, podiatr
dental_laboratory|Zubní laboratoř|zubní technik, zubní protézy, korunky, náhrady
orthodontics|Ortodoncie|rovnátka, ortodontista, srovnání zubů, aligner
dermatology|Dermatologie|kožní lékař, dermatolog, znaménka, akné
paediatrics|Pediatrie|dětský lékař, pediatr, děti, kojenec
gynaecology|Gynekologie|gynekolog, ženský lékař, těhotenství, porodnictví
cardiology|Kardiologie|kardiolog, srdce, ekg, srdeční
medical_imaging|Zobrazovací metody|rentgen, ultrazvuk, magnetická rezonance, ct
speech_therapy|Logopedie|logoped, logopedie, řeč, koktavost
nutrition_dietetics|Výživa a dietologie|výživový poradce, dietolog, hubnutí, jídelníček
bicycle_repair|Opravy jízdních kol|servis kol, oprava kola, defekt, cyklo servis
scooter_repair|Opravy skútrů a mopedů|oprava skútru, skútr, vespa, moped
appliance_repair|Opravy spotřebičů|oprava spotřebičů, pračka, lednice, trouba
phone_repair|Opravy telefonů a tabletů|servis mobilů, výměna displeje, iphone, tablet
computer_repair|Opravy počítačů|servis počítačů, notebook, oprava pc, záchrana dat
watch_jewellery_repair|Opravy hodinek a šperků|hodinář, zlatník, klenotník, baterie do hodinek
shoe_repair|Opravna obuvi|opravna obuvi, švec, podpatky, podrážky
tailoring_alterations|Krejčovství a úpravy|krejčí, švadlena, úpravy oděvů, zkracování
upholstery|Čalounictví|čalouník, čalounění, potahy, oprava sedaček
glazing|Sklenářství a okna|sklenářství, sklenář, okna, sklo
chimney_sweep|Kominictví|kominík, komín, čištění komína, saze
pest_control|Deratizace a dezinsekce|deratizace, dezinsekce, štěnice, hubení hmyzu
pool_maintenance|Údržba bazénů|servis bazénů, čištění bazénu, chlor, bazén
window_cleaning|Mytí oken|mytí oken, čištění skel, fasáda, okna
car_wash|Mytí aut|myčka aut, mytí auta, ruční mytí, čištění interiéru
car_rental|Půjčovna aut|půjčovna aut, pronájem auta, autopůjčovna, vozy
bike_scooter_rental|Půjčovna kol a koloběžek|půjčovna kol, elektrokoloběžka, pronájem kola, koloběžka
funeral_services|Pohřební služby|pohřební služba, pohřeb, kremace, rakev
notary|Notářství|notář, notářský zápis, ověření podpisu, dědictví
bailiff|Exekutor|exekutor, exekuce, zabavení majetku, vymáhání
patent_trademark|Patenty a ochranné známky|patentový zástupce, ochranná známka, patent, duševní vlastnictví
debt_collection|Vymáhání pohledávek|vymáhání pohledávek, dluhy, upomínka, neuhrazené faktury
company_formation|Zakládání firem|založení firmy, obchodní rejstřík, sro, živnostenský list
financial_advisory|Finanční poradenství|finanční poradce, investice, majetek, spoření
payroll_services|Zpracování mezd|mzdové účetnictví, výplaty, mzdy, personalistika
currency_exchange|Směnárna|směnárna, výměna valut, devizy, kurz
pawnshop|Zastavárna|zastavárna, zástava, půjčka na zástavu, výkup zlata
leasing|Leasing a financování|leasing, financování, splátky, operativní leasing
hearing_aids|Naslouchátka|naslouchátko, vyšetření sluchu, sluchadlo, audiologie
medical_transport|Sanitní přeprava|sanitka, převoz pacientů, nosítka, zdravotnická přeprava
rehabilitation|Rehabilitační centrum|rehabilitační centrum, doléčování, rekonvalescence, zotavení
occupational_therapy|Ergoterapie|ergoterapeut, ergoterapie, soběstačnost, nácvik
midwifery|Porodní asistence|porodní asistentka, porod, těhotenství, předporodní kurz
acupuncture|Akupunktura|akupunkturista, jehly, čínská medicína, moxování
chiropractic|Chiropraxe a osteopatie|osteopat, chiropraktik, páteř, bolesti zad
insulation|Tepelné izolace|zateplení, izolace, zateplení fasády, minerální vata
waterproofing|Hydroizolace|hydroizolace, vlhkost, izolace proti vodě, zatékání
plastering|Omítky a štuky|omítkář, omítky, štuk, sádrová omítka
tiling|Obklady a dlažby|obkladač, obklady, dlaždice, keramika
drywall|Sádrokartony a příčky|sádrokartonář, sádrokarton, příčky, podhledy
fencing|Ploty a brány|plot, brána, oplocení, pletivo
paving|Dlažby a příjezdové cesty|zámková dlažba, chodník, příjezdová cesta, obrubníky
well_drilling|Vrtání studní|studna, vrtání studny, vrt, spodní voda
septic_systems|Septiky a kanalizace|septik, kanalizace, žumpa, odpady
solar_panels|Montáž solárních panelů|fotovoltaika, solární panely, měnič, fve
alarm_cctv|Alarmy a kamerové systémy|alarm, kamerový systém, zabezpečovací systém, monitoring
smart_home|Chytrá domácnost|chytrá domácnost, inteligentní osvětlení, automatizace, ovládání
lift_maintenance|Servis výtahů|výtah, servis výtahů, eskalátor, oprava výtahu
fire_safety|Požární ochrana a hasicí přístroje|hasicí přístroje, požární ochrana, sprinklery, požární signalizace
car_dealer|Autosalon|autobazar, prodej aut, ojetá auta, autosalon
vehicle_inspection|Technická kontrola|stk, technická kontrola, emise, kontrola vozidla
auto_electrics|Autoelektrika|autoelektrikář, alternátor, startér, elektroinstalace auta
car_glass|Autoskla a čelní skla|čelní sklo, výměna skla, autosklo, prasklina
boat_repair|Opravy lodí|servis lodí, lodní motor, loď, jachta
bus_charter|Pronájem autobusů|pronájem autobusu, autobus, minibus, zájezdová doprava
call_centre|Call centrum|call centrum, telemarketing, zákaznická linka, operátoři
virtual_assistant|Virtuální asistentka|virtuální asistentka, administrativní podpora, sekretářka na dálku
market_research|Průzkum trhu|průzkum trhu, ankety, dotazníky, focus group
copywriting|Tvorba textů|copywriter, texty, korektura, obsah
seo_services|SEO a online reklama|seo, optimalizace pro vyhledávače, google ads, ppc
social_media|Správa sociálních sítí|správa sociálních sítí, instagram, facebook, tiktok
app_development|Vývoj mobilních aplikací|mobilní aplikace, android, vývoj aplikací, flutter
game_development|Vývoj her|vývoj her, unity, unreal, herní studio
drone_services|Služby dronem|dron, letecké snímky, snímkování z dronu, fotografie z výšky
printing_3d|3D tisk|3d tisk, prototypy, aditivní výroba, 3d tiskárna
interior_design|Interiérový design|interiérový designér, návrh interiéru, bytový architekt, zařizování
dance_school|Taneční škola|taneční kurzy, balet, salsa, tance
art_gallery|Galerie a rámování|rámování, rámy, výstavy, galerie
