taxi|Taksi|taksi, kyyti, kuljetus, lentokenttä
nightclub|Yökerho ja disko|yökerho, disko, tanssi, dj
beach_club|Rantabaari ja rantaklubi|rantabaari, aurinkotuolit, ranta, uimaranta
bowling_billiards|Keilailu ja biljardi|keilailu, biljardi, tikka, pool
travel_agency|Matkatoimisto|matkatoimisto, matkat, lentoliput, pakettimatkat
nail_salon|Kynsistudio, manikyyri ja pedikyyri|kynsistudio, manikyyri, pedikyyri, geelikynnet
barber|Parturi|parturi, miesten hiustenleikkuu, parta, parranajo
tattoo_piercing|Tatuointi ja lävistykset|tatuointi, tatuoija, lävistys, tatuointistudio
spa_sauna|Kylpylä ja sauna|kylpylä, sauna, hyvinvointi, höyrysauna
cosmetics_shop|Kosmetiikkakauppa|kosmetiikka, meikit, ihonhoito, hajuvedet
dry_cleaning|Kuivapesula ja pesula|pesula, kuivapesu, silitys, pyykki
podiatry|Jalkaterapia ja jalkahoito|jalkahoito, jalkaterapeutti, sisäänkasvanut kynsi, jalat
dental_laboratory|Hammaslaboratorio|hammasteknikko, hammasproteesit, kruunut, sillat
orthodontics|Oikomishoito|oikomishoito, hammasraudat, hammasrautahoito, aligner
dermatology|Ihotautilääkäri|ihotautilääkäri, dermatologi, luomet, akne
paediatrics|Lastenlääkäri|lastenlääkäri, pediatri, vauva, lapset
gynaecology|Gynekologia|gynekologi, naistentaudit, raskaus, synnytyslääkäri
cardiology|Kardiologia|sydänlääkäri, kardiologi, ekg, sydän
medical_imaging|Kuvantaminen|röntgen, ultraääni, magneettikuvaus, tietokonetomografia
speech_therapy|Puheterapia|puheterapeutti, logopedia, änkytys, puhe
nutrition_dietetics|Ravitsemus ja dietetiikka|ravitsemusterapeutti, ravintoneuvoja, ruokavalio, painonpudotus
bicycle_repair|Polkupyörän korjaus|pyörähuolto, pyörän korjaus, rengasrikko, polkupyöräkorjaamo
scooter_repair|Skootterin ja mopon korjaus|mopokorjaamo, skootteri, vespa, mopo
appliance_repair|Kodinkoneiden korjaus|kodinkonekorjaus, pesukone, jääkaappi, uuni
phone_repair|Puhelimen ja tabletin korjaus|puhelinkorjaus, näytön vaihto, iphone, tabletti
computer_repair|Tietokoneen korjaus|tietokonekorjaus, kannettava, pc, tietojen palautus
watch_jewellery_repair|Kellojen ja korujen korjaus|kelloseppä, kultaseppä, pariston vaihto, sormuksen koon muutos
shoe_repair|Suutari|suutari, kengänkorjaus, korot, pohjat
tailoring_alterations|Ompelu ja korjaukset|ompelija, räätäli, lyhennys, vaatteiden korjaus
upholstery|Verhoilu|verhoilija, verhoilu, sohvan päällystys, pehmustus
glazing|Lasitus ja ikkunat|lasittaja, ikkunat, eristyslasi, lasi
chimney_sweep|Nuohous|nuohooja, savupiippu, nuohous, hormi
pest_control|Tuholaistorjunta|tuholaistorjunta, luteet, rotat, torakat
pool_maintenance|Uima-altaan huolto|allashuolto, altaan puhdistus, kloori, uima-allas
window_cleaning|Ikkunanpesu|ikkunanpesu, ikkunanpesijä, julkisivun pesu, ikkunat
car_wash|Autopesu|autopesu, pesuhalli, sisäpuhdistus, vahaus
car_rental|Autovuokraamo|autovuokraamo, vuokra-auto, auton vuokraus, ajoneuvovuokraus
bike_scooter_rental|Polkupyörien ja sähköpotkulautojen vuokraus|pyörävuokraus, sähköpotkulauta, pyörän vuokraus, potkulauta
funeral_services|Hautaustoimisto|hautaustoimisto, hautajaiset, tuhkaus, arkku
notary|Julkinen notaari|notaari, julkinen notaari, vahvistus, valtakirja
bailiff|Ulosotto ja perintä|ulosottomies, ulosotto, perintä, täytäntöönpano
patent_trademark|Patentit ja tavaramerkit|patenttitoimisto, tavaramerkin rekisteröinti, patentti, immateriaalioikeus
debt_collection|Perintäpalvelut|perintä, velat, maksumuistutus, maksamattomat laskut
company_formation|Yrityksen perustaminen|yrityksen perustaminen, kaupparekisteri, osakeyhtiö, y-tunnus
financial_advisory|Talousneuvonta|talousneuvonta, sijoitukset, varallisuus, eläkesäästäminen
payroll_services|Palkanlaskenta|palkanlaskenta, palkkalaskelma, palkat, palkkahallinto
currency_exchange|Valuutanvaihto|valuutanvaihto, valuutta, ulkomaan valuutta, vaihtokurssi
pawnshop|Panttilainaamo|panttilainaamo, pantti, laina panttia vastaan, kullan osto
leasing|Leasing ja rahoitus|leasing, rahoitus, osamaksu, autoleasing
hearing_aids|Kuulokojeet|kuulokoje, kuulotesti, kuuloasiantuntija, kuulokeskus
medical_transport|Sairaankuljetus|ambulanssi, potilaskuljetus, paarit, sairaankuljetus
rehabilitation|Kuntoutuskeskus|kuntoutus, toipuminen, kuntoutuskeskus, jälkihoito
occupational_therapy|Toimintaterapia|toimintaterapeutti, toimintaterapia, arjen taidot, harjoittelu
midwifery|Kätilötyö|kätilö, synnytys, raskaus, äitiysneuvola
acupuncture|Akupunktio|akupunktio, neulat, kiinalainen lääketiede, akupunktiohoito
chiropractic|Kiropraktiikka ja osteopatia|kiropraktikko, osteopaatti, selkäranka, selkäkipu
insulation|Lämmöneristys|eristys, lisäeristys, yläpohjan eristys, eristysmateriaali
waterproofing|Vedeneristys|vedeneristys, kosteus, katon tiivistys, kosteussulku
plastering|Rappaus ja tasoitus|rappaus, laasti, tasoitus, pinnoitus
tiling|Laatoitus|laatoittaja, laatat, kaakelit, kylpyhuoneen laatoitus
drywall|Kipsilevyt ja väliseinät|kipsilevyt, väliseinät, alaskatto, levytys
fencing|Aidat ja portit|aita, portti, aidan rakennus, verkkoaita
paving|Kiveys ja pihatiet|pihakivet, ajotie, laatoitus, reunakivet
well_drilling|Kaivonporaus|kaivon poraus, porakaivo, vesikaivo, pohjavesi
septic_systems|Sakokaivot ja viemäröinti|saostuskaivo, viemäröinti, imeytyskenttä, jätevesi
solar_panels|Aurinkopaneelien asennus|aurinkopaneelit, aurinkosähkö, invertteri, aurinkovoimala
alarm_cctv|Hälytys- ja kameravalvonta|hälytin, valvontakamera, kameravalvonta, murtohälytin
smart_home|Älykoti|älykoti, älyvalaistus, kodin automaatio, ohjaus
lift_maintenance|Hissien huolto|hissi, hissihuolto, liukuportaat, hissin korjaus
fire_safety|Paloturvallisuus ja sammuttimet|sammuttimet, paloilmoitin, sprinkleri, paloturvallisuus
car_dealer|Autoliike|autoliike, käytetyt autot, auton myynti, autokauppa
vehicle_inspection|Katsastus|katsastus, määräaikaiskatsastus, katsastusasema, tekninen tarkastus
auto_electrics|Autosähkötyöt|autosähköasentaja, laturi, käynnistinmoottori, auton sähköt
car_glass|Autolasit ja tuulilasit|tuulilasi, lasin vaihto, autolasi, kiveniskemä
boat_repair|Veneiden korjaus|venekorjaamo, perämoottori, vene, venemoottori
bus_charter|Linja-autojen vuokraus|bussivuokraus, tilausbussi, pikkubussi, ryhmäkuljetus
call_centre|Puhelinpalvelukeskus|asiakaspalvelu, telemarkkinointi, puhelintuki, yhteyskeskus
virtual_assistant|Virtuaaliassistentti|virtuaaliassistentti, hallinnollinen tuki, etäsihteeri, freelancer
market_research|Markkinatutkimus|markkinatutkimus, kyselyt, kuluttajatutkimus, fokusryhmä
copywriting|Sisällöntuotanto|copywriter, oikoluku, sisällöntuotanto, tekstin muokkaus
seo_services|Hakukoneoptimointi ja verkkomainonta|hakukoneoptimointi, google ads, verkkomainonta, sem
social_media|Sosiaalisen median hallinta|sosiaalinen media, instagram, facebook, tiktok
app_development|Mobiilisovelluskehitys|sovelluskehitys, android, mobiilisovellukset, flutter
game_development|Pelinkehitys|pelinkehitys, unity, unreal, pelistudio
drone_services|Dronepalvelut|drone, ilmakuvaus, dronekuvaus, kartoitus ilmasta
printing_3d|3D-tulostus|3d-tulostus, prototyypit, ainetta lisäävä valmistus, 3d-tulostin
interior_design|Sisustussuunnittelu|sisustussuunnittelija, sisustus, tilasuunnittelu, stailaus
dance_school|Tanssikoulu|tanssikoulu, baletti, salsa, tanssitunnit
art_gallery|Taidegalleria ja kehystys|kehystys, kehykset, näyttelyt, taidekauppa
