taxi|Такси|такси, курс, превоз, летище
private_tutoring|Частни уроци|частни уроци, преподавател, подготовка за изпит, домашни
music_lessons|Уроци по музика|пиано, китара, пеене, уроци по музика
sports_coaching|Спортни треньори|треньор, футбол, тенис, тренировки
it_training|ИТ обучения|компютърни курсове, ексел, курс по програмиране, ит обучение
vocational_training|Професионални курсове|професионално обучение, квалификационен курс, сертификат, чиракуване
holiday_lettings|Ваканционни наеми|вила, апартамент под наем, ваканционно жилище, еърбнб
guesthouse_bnb|Къща за гости и нощувка със закуска|къща за гости, нощувка със закуска, пансион, стаи
property_management|Управление на имоти|управление на имоти, домоуправител, отдаване под наем, етажна собственост
veterinary|Ветеринар|ветеринар, ветеринарна клиника, ваксинация, куче
dog_walking|Разходка на кучета|разходка на кучета, разхождане на куче, кучешка разходка
pet_grooming|Грууминг на домашни любимци|кучешки фризьор, подстригване на кучета, грижа за козината, салон за животни
general_practice|Общопрактикуващ лекар|личен лекар, доктор, кабинет, рецепта
dentistry|Стоматология|зъболекар, стоматолог, пломба, имплант
physiotherapy|Физиотерапия|физиотерапия, кинезитерапия, рехабилитация, лечение
psychology|Психология|психолог, терапия, консултация, психотерапия
pharmacy|Аптека|аптека, лекарства, фармацевт, хранителни добавки
optometry|Оптометрия|оптика, очила, преглед на очи, контактни лещи
medical_laboratory|Медицинска лаборатория|лаборатория, кръвни изследвания, анализи, вземане на проби
software_development|Разработка на софтуер|програмист, разработчик, софтуер, код
web_development|Уеб разработка|уебсайт, изработка на сайт, wordpress, онлайн магазин
it_support|ИТ поддръжка|ит поддръжка, мрежа, компютърен сервиз, системен администратор
cybersecurity|Киберсигурност|киберсигурност, тест за проникване, защитна стена, хакване
data_ai|Данни и изкуствен интелект|изкуствен интелект, машинно обучение, анализ на данни, алгоритми
cloud_hosting|Облак и хостинг|хостинг, сървър, облак, домейн
accounting|Счетоводство|счетоводител, счетоводство, фактури, заплати
audit_tax|Одит и данъци|одитор, данъчен консултант, годишен отчет, ддс
legal_services|Правни услуги|адвокат, юрист, правни услуги, договор
hr_recruitment|Човешки ресурси и подбор|подбор на персонал, наемане, агенция за работа, автобиография
management_consulting|Управленско консултиране|консултант, бизнес консултиране, стратегия, бизнес план
insurance_brokerage|Застрахователно брокерство|застрахователен брокер, застраховка, полица, щета
real_estate_agency|Агенция за имоти|агенция за имоти, брокер, апартамент, къща
architecture|Архитектура|архитект, проект, разрешително за строеж, проектиране
manufacturing|Производство|производство, завод, промишленост, монтаж
cnc_machining|ЦПУ обработка|цнц, струговане, фрезоване, металообработка
metalwork_welding|Металообработка и заваряване|заварчик, ковач, стомана, железария
restaurant|Ресторант|ресторант, храна, механа, меню
catering|Кетъринг|кетъринг, кетъринг за събития, бюфет, хапки
hotel|Хотел|хотел, настаняване, хостел, стаи
event_management|Организация на събития|организиране на събития, сватбен агент, конференция, ивент
agriculture|Земеделие|земеделие, ферма, трактор, реколта
forestry|Горско стопанство|горско стопанство, дърводобив, дървесина, моторен трион
waste_recycling|Отпадъци и рециклиране|отпадъци, контейнер, скрап, рециклиране
renewable_energy|Възобновяема енергия|соларни панели, вятърна енергия, зелена енергия, термопомпа
marketing_agency|Маркетингова агенция|маркетинг, реклама, кампания, рекламна агенция
graphic_design|Графичен дизайн|график, лого, графичен дизайн, предпечат
photography|Фотография|фотограф, фотостудио, сватбен фотограф, портрети
video_production|Видео продукция|видеопродукция, заснемане, монтаж, дрон
printing_signage|Печат и рекламни надписи|печатница, печат, табели, стикери
wholesale|Търговия на едро|търговия на едро, дистрибутор, доставчик, стоки
ecommerce|Онлайн магазин|онлайн магазин, електронна търговия, маркетплейс, поръчки
security_services|Охранителни услуги|охрана, охранителна фирма, наблюдение, видеонаблюдение
hairdressing|Фризьорски салон|фризьор, подстригване, боядисване на коса, салон
beauty_salon|Козметичен салон|козметичен салон, козметик, нокти, процедура за лице
massage_therapy|Масаж|масажист, масаж, уелнес, релакс
fitness_training|Фитнес тренировки|личен треньор, фитнес, тренировки, силови тренировки
shop_general|Магазин|магазин, търговия на дребно, бутик, стоки
shop_bicycle|Велосипеди и сервиз|магазин за велосипеди, колела, ремонт на колела, електрическо колело
shop_auto_parts|Авточасти|авточасти, резервни части, аксесоари за кола, филтри
shop_hardware|Железария и инструменти|железария, строителни материали, инструменти, винтове
shop_furniture|Мебели|мебелен магазин, мебели, дивани, кухни
shop_electronics|Електроника и уреди|електроника, бяла техника, телевизор, пералня
shop_clothing|Дрехи|магазин за дрехи, мода, обувки, облекло
shop_grocery|Хранителни стоки|хранителен магазин, супермаркет, хранителни стоки, квартален магазин
shop_sports|Спортни стоки|спортен магазин, спортни стоки, туризъм, ски
shop_books|Книжарница и канцеларски материали|книжарница, канцеларски материали, книги, хартия
shop_florist|Цветарски магазин|цветарски магазин, цветя, букети, венци
shop_pet|Зоомагазин|зоомагазин, кучешка храна, аквариум, котешка тоалетна
motorcycle_repair|Сервиз за мотоциклети|мотосервиз, мотор, скутер, мотопед
bar|Бар|бар, кръчма, коктейл бар, напитки
kebab_shawarma|Кебап и шаурма|кебап, шаурма, дюнер, гирос
pizzeria|Пицария|пица, пицария, пица за вкъщи, италианска
fast_food|Бързо хранене|бързо хранене, бургер, пържени картофи, снек бар
bakery|Пекарна|пекарна, хляб, козунак, хлебар
pastry_shop|Сладкарница|сладкарница, торти, сладкиши, десерти
coffee_shop|Кафене|кафене, кафе, еспресо, бариста
food_truck|Фургон за храна|фууд трак, улична храна, подвижна кухня
butcher|Месарница|месарница, месо, колбаси, месо на грил
ice_cream|Сладоледена къща|сладолед, сладоледена къща, джелато, мек сладолед
winery|Винарна|винарна, вино, изба, дегустация на вино
brewery|Пивоварна|пивоварна, бира, крафт бира, наливна бира
nightclub|Нощен клуб и дискотека|нощен клуб, дискотека, танци, диджей
beach_club|Плажен бар и бийч клуб|плажен бар, шезлонги, плаж, морски бар
bowling_billiards|Боулинг и билярд|боулинг, билярд, дартс, пул
travel_agency|Туристическа агенция|туристическа агенция, пътувания, самолетни билети, екскурзии
nail_salon|Салон за нокти, маникюр и педикюр|студио за нокти, маникюр, педикюр, гел лак
barber|Бръснарница|бръснар, мъжко подстригване, брада, бръснене
tattoo_piercing|Татуировки и пиърсинг|татуировка, тату студио, пиърсинг, татус
spa_sauna|Спа и сауна|спа, сауна, уелнес, парна баня
cosmetics_shop|Магазин за козметика|парфюмерия, козметика, грим, грижа за кожата
dry_cleaning|Химическо чистене и пералня|химическо чистене, пералня, гладене, пране
podiatry|Подология и грижа за стъпалата|педикюр, грижа за краката, врастнал нокът, ходила
dental_laboratory|Зъботехническа лаборатория|зъботехник, зъбни протези, коронки, мостове
orthodontics|Ортодонтия|брекети, ортодонт, изправяне на зъби, шини
dermatology|Дерматология|дерматолог, кожен лекар, бенки, акне
paediatrics|Педиатрия|педиатър, детски лекар, бебе, деца
gynaecology|Гинекология|гинеколог, женски лекар, бременност, акушерство
cardiology|Кардиология|кардиолог, сърдечен лекар, екг, сърце
medical_imaging|Образна диагностика|рентген, ехограф, ядрено магнитен резонанс, скенер
speech_therapy|Логопедия|логопед, говорна терапия, заекване, говор
nutrition_dietetics|Хранене и диетика|диетолог, нутриционист, диета, отслабване
bicycle_repair|Ремонт на велосипеди|ремонт на велосипеди, поправка на колело, спукана гума, велосервиз
scooter_repair|Ремонт на скутери и мотопеди|ремонт на скутери, скутер, веспа, мотопед
appliance_repair|Ремонт на домакински уреди|ремонт на битова техника, пералня, хладилник, фурна
phone_repair|Ремонт на телефони и таблети|ремонт на телефони, смяна на дисплей, айфон, таблет
computer_repair|Ремонт на компютри|компютърен сервиз, лаптоп, пс, възстановяване на данни
watch_jewellery_repair|Ремонт на часовници и бижута|часовникар, златар, смяна на батерия, разширяване на пръстен
shoe_repair|Обущарски услуги|обущар, ремонт на обувки, токчета, ходила
tailoring_alterations|Шивашки услуги и корекции|шивач, шивачка, скъсяване, поправка на дрехи
upholstery|Тапицерия|тапицер, тапициране, дамаска за диван, претапициране
glazing|Стъклопакети и прозорци|стъклар, прозорци, стъклопакет, стъкло
chimney_sweep|Коминочистене|коминочистач, комин, почистване на комин, сажди
pest_control|Дезинсекция и дератизация|дезинсекция, дератизация, дървеници, хлебарки
pool_maintenance|Поддръжка на басейни|поддръжка на басейни, почистване на басейн, хлор, басейн
window_cleaning|Почистване на прозорци|миене на прозорци, почистване на стъкла, фасадно миене, прозорци
car_wash|Автомивка|автомивка, миене на кола, вътрешно почистване, полиране
car_rental|Коли под наем|коли под наем, рент а кар, наем на автомобил, автомобил под наем
bike_scooter_rental|Наем на велосипеди и тротинетки|велосипеди под наем, електрическа тротинетка, наем на колело, тротинетка
funeral_services|Погребални услуги|погребални услуги, погребение, кремация, ковчег
notary|Нотариус|нотариус, нотариална заверка, пълномощно, документи
bailiff|Съдебен изпълнител|съдебен изпълнител, изпълнително дело, запор, принудително събиране
patent_trademark|Патенти и търговски марки|патентен представител, регистрация на марка, патент, интелектуална собственост
debt_collection|Събиране на вземания|събиране на вземания, дългове, покана за плащане, неплатени фактури
company_formation|Регистрация на фирми|регистрация на фирма, търговски регистър, еоод, учредяване
financial_advisory|Финансови консултации|финансов консултант, инвестиции, имущество, пенсионно спестяване
payroll_services|Обработка на заплати|тпр, ведомости, заплати, личен състав
currency_exchange|Обменно бюро|обмяна на валута, обменно бюро, валута, курс
pawnshop|Заложна къща|заложна къща, залог, заем срещу залог, изкупуване на злато
leasing|Лизинг и финансиране|лизинг, финансиране, разсрочено плащане, автолизинг
hearing_aids|Слухови апарати|слухов апарат, изследване на слуха, аудиолог, център за слух
medical_transport|Медицински транспорт|линейка, транспорт на пациенти, носилка, санитарен превоз
rehabilitation|Рехабилитационен център|рехабилитация, възстановяване, център за възстановяване, реконвалесценция
occupational_therapy|Ерготерапия|ерготерапевт, трудова терапия, ежедневни умения, самостоятелност
midwifery|Акушерство|акушерка, раждане, бременност, подготовка за раждане
acupuncture|Акупунктура|акупунктура, игли, китайска медицина, иглотерапия
chiropractic|Хиропрактика и остеопатия|хиропрактик, остеопат, гръбнак, болки в гърба
insulation|Топлоизолация|топлоизолация, изолация, саниране, изолация на покрив
waterproofing|Хидроизолация|хидроизолация, влага, уплътняване на покрив, мембрана
plastering|Мазилки и шпакловки|мазилка, шпакловка, гипсова мазилка, външна мазилка
tiling|Полагане на плочки|фаянсаджия, плочки, фаянс, теракота
drywall|Гипсокартон и преградни стени|гипсокартон, преградни стени, окачен таван, сухо строителство
fencing|Огради и порти|ограда, порта, изграждане на ограда, мрежа
paving|Настилки и алеи|павиране, алея, тротоар, бордюри
well_drilling|Сондаж на кладенци|сондаж, кладенец, водоснабдителен сондаж, подземна вода
septic_systems|Септични ями и канализация|септична яма, канализация, отводняване, попивна яма
solar_panels|Монтаж на соларни панели|соларни панели, фотоволтаици, инвертор, слънчева енергия
alarm_cctv|Алармени системи и видеонаблюдение|аларма, видеонаблюдение, охранителни камери, сигнално охранителна система
smart_home|Умен дом|умен дом, умно осветление, домашна автоматизация, управление
lift_maintenance|Поддръжка на асансьори|асансьор, поддръжка на асансьори, ескалатор, ремонт на асансьор
fire_safety|Пожарна безопасност и пожарогасители|пожарогасители, пожароизвестяване, спринклери, пожарна безопасност
car_dealer|Автосалон|автокъща, коли на старо, продажба на коли, автосалон
vehicle_inspection|Технически преглед|годишен технически преглед, гтп, преглед на автомобил, пункт за преглед
auto_electrics|Автоелектротехника|автоелектротехник, алтернатор, стартер, автоелектроника
car_glass|Автостъкла и предни стъкла|предно стъкло, смяна на стъкло, автостъкла, пукнатина
boat_repair|Ремонт на лодки|ремонт на лодки, извънбордов двигател, лодка, яхта
bus_charter|Наем на автобуси|наем на автобус, автобус, микробус, групов превоз
call_centre|Кол център|кол център, телемаркетинг, обслужване на клиенти, телефонна поддръжка
virtual_assistant|Виртуален асистент|виртуален асистент, административна подкрепа, отдалечен секретар, фрийлансър
market_research|Пазарни проучвания|проучване на пазара, анкети, потребителско проучване, фокус група
copywriting|Писане на съдържание|копирайтър, коректура, създаване на съдържание, текстове
seo_services|SEO и онлайн реклама|оптимизация за търсачки, гугъл реклама, онлайн реклама, сео
social_media|Управление на социални мрежи|управление на социални мрежи, инстаграм, фейсбук, тикток
app_development|Разработка на мобилни приложения|разработка на приложения, андроид, мобилни приложения, флатър
game_development|Разработка на игри|разработка на игри, юнити, ънриъл, гейм студио
drone_services|Услуги с дрон|дрон, въздушна фотография, заснемане с дрон, картографиране
printing_3d|3D печат|3д печат, прототипи, адитивно производство, 3д принтер
interior_design|Интериорен дизайн|интериорен дизайнер, интериор, обзавеждане, декорация
dance_school|Школа по танци|школа по танци, балет, салса, уроци по танци
art_gallery|Художествена галерия и рамкиране|рамкиране, рамки, изложби, галерия
