taxi|Ταξί|ταξί, διαδρομή, μεταφορά, αεροδρόμιο
veterinary|Κτηνίατρος|κτηνίατρος, κτηνιατρείο, εμβόλιο, σκύλος
dog_walking|Βόλτα σκύλων|βόλτα σκύλου, εκπαιδευτής βόλτας, περπάτημα σκύλου
pet_grooming|Περιποίηση κατοικιδίων|κομμωτήριο σκύλων, κούρεμα σκύλου, περιποίηση τριχώματος, pet salon
general_practice|Γενική ιατρική|γενικός ιατρός, παθολόγος, ιατρείο, συνταγή
dentistry|Οδοντιατρική|οδοντίατρος, οδοντιατρείο, σφράγισμα, εμφύτευμα
physiotherapy|Φυσικοθεραπεία|φυσιοθεραπεία, φυσιοθεραπευτής, αποκατάσταση, θεραπεία
psychology|Ψυχολογία|ψυχολόγος, θεραπεία, συμβουλευτική, ψυχοθεραπεία
pharmacy|Φαρμακείο|φαρμακείο, φάρμακα, φαρμακοποιός, συμπληρώματα
optometry|Οπτομετρία|οπτικός, γυαλιά, εξέταση όρασης, φακοί επαφής
medical_laboratory|Ιατρικό εργαστήριο|μικροβιολογικό, αιματολογικές εξετάσεις, αναλύσεις, δειγματοληψία
software_development|Ανάπτυξη λογισμικού|προγραμματιστής, developer, λογισμικό, κώδικας
web_development|Κατασκευή ιστοσελίδων|ιστοσελίδα, κατασκευή ιστοσελίδων, wordpress, ηλεκτρονικό κατάστημα
it_support|Υποστήριξη πληροφορικής|τεχνική υποστήριξη, δίκτυο, επισκευή υπολογιστών, διαχειριστής συστημάτων
cybersecurity|Κυβερνοασφάλεια|κυβερνοασφάλεια, έλεγχος ασφάλειας, τείχος προστασίας, hacking
data_ai|Δεδομένα και τεχνητή νοημοσύνη|τεχνητή νοημοσύνη, μηχανική μάθηση, ανάλυση δεδομένων, αλγόριθμοι
cloud_hosting|Cloud και φιλοξενία|φιλοξενία, διακομιστής, cloud, domain
accounting|Λογιστικά|λογιστής, λογιστήριο, τιμολόγια, μισθοδοσία
audit_tax|Έλεγχος και φορολογικά|ορκωτός ελεγκτής, φοροτεχνικός, ισολογισμός, φπα
legal_services|Νομικές υπηρεσίες|δικηγόρος, νομικός, νομικές υπηρεσίες, συμβόλαιο
hr_recruitment|Ανθρώπινο δυναμικό και προσλήψεις|προσλήψεις, γραφείο ευρέσεως εργασίας, headhunter, βιογραφικό
management_consulting|Συμβουλευτική διοίκησης|σύμβουλος επιχειρήσεων, συμβουλευτική, στρατηγική, επιχειρηματικό σχέδιο
insurance_brokerage|Ασφαλιστική διαμεσολάβηση|ασφαλιστικός πράκτορας, ασφάλεια, ασφαλιστήριο, αποζημίωση
real_estate_agency|Κτηματομεσιτικό γραφείο|μεσιτικό γραφείο, μεσίτης, διαμέρισμα, σπίτι
architecture|Αρχιτεκτονική|αρχιτέκτονας, σχέδια, οικοδομική άδεια, μελέτη
manufacturing|Βιομηχανική παραγωγή|παραγωγή, εργοστάσιο, βιομηχανία, συναρμολόγηση
cnc_machining|Κατεργασία CNC|cnc, τόρνευση, φρεζάρισμα, κατεργασία μετάλλων
metalwork_welding|Μεταλλικές κατασκευές και συγκόλληση|συγκολλητής, σιδεράς, χάλυβας, μεταλλικές κατασκευές
restaurant|Εστιατόριο|εστιατόριο, φαγητό, ταβέρνα, μενού
catering|Τροφοδοσία εκδηλώσεων|catering, τροφοδοσία εκδηλώσεων, μπουφές, πιατέλες
hotel|Ξενοδοχείο|ξενοδοχείο, διαμονή, hostel, δωμάτια
event_management|Διοργάνωση εκδηλώσεων|διοργάνωση εκδηλώσεων, γάμος, συνέδριο, event
agriculture|Γεωργία|γεωργία, αγρόκτημα, τρακτέρ, συγκομιδή
forestry|Δασοκομία|δασοκομία, υλοτομία, ξυλεία, αλυσοπρίονο
waste_recycling|Απόβλητα και ανακύκλωση|απορρίμματα, κάδος, σκραπ, ανακύκλωση
renewable_energy|Ανανεώσιμη ενέργεια|φωτοβολταϊκά, αιολική ενέργεια, πράσινη ενέργεια, αντλία θερμότητας
marketing_agency|Διαφημιστική εταιρεία|μάρκετινγκ, διαφήμιση, καμπάνια, διαφημιστική εταιρεία
graphic_design|Γραφιστική|γραφίστας, λογότυπο, γραφιστική, προεκτύπωση
photography|Φωτογραφία|φωτογράφος, φωτογραφείο, φωτογράφος γάμου, πορτρέτα
video_production|Παραγωγή βίντεο|βιντεοσκόπηση, γύρισμα, μοντάζ, drone
printing_signage|Εκτυπώσεις και επιγραφές|τυπογραφείο, εκτύπωση, πινακίδες, αυτοκόλλητα
wholesale|Χονδρική|χονδρική, διανομέας, προμηθευτής, εμπορεύματα
ecommerce|Ηλεκτρονικό εμπόριο|ηλεκτρονικό κατάστημα, e-shop, marketplace, παραγγελίες
security_services|Υπηρεσίες ασφαλείας|φύλακας, security, επιτήρηση, κάμερες ασφαλείας
hairdressing|Κομμωτήριο|κομμωτήριο, κούρεμα, βαφή μαλλιών, κομμωτής
beauty_salon|Ινστιτούτο αισθητικής|ινστιτούτο αισθητικής, αισθητικός, νύχια, περιποίηση προσώπου
massage_therapy|Μασάζ|μασάζ, μασέρ, ευεξία, χαλάρωση
fitness_training|Προπόνηση φυσικής κατάστασης|προσωπικός γυμναστής, γυμναστήριο, προπόνηση, βάρη
shop_general|Κατάστημα|κατάστημα, μαγαζί, λιανική, εμπορεύματα
shop_bicycle|Ποδήλατα και σέρβις|ποδηλατάδικο, ποδήλατα, επισκευή ποδηλάτων, ηλεκτρικό ποδήλατο
shop_auto_parts|Ανταλλακτικά αυτοκινήτων|ανταλλακτικά, αξεσουάρ αυτοκινήτου, φίλτρα, μπαταρίες
shop_hardware|Σιδηρικά και εργαλεία|σιδηροπωλείο, χρωματοπωλείο, εργαλεία, βίδες
shop_furniture|Έπιπλα|κατάστημα επίπλων, έπιπλα, καναπέδες, κουζίνες
shop_electronics|Ηλεκτρονικά και συσκευές|ηλεκτρονικά, ηλεκτρικές συσκευές, τηλεόραση, πλυντήριο
shop_clothing|Ρούχα|κατάστημα ρούχων, μόδα, παπούτσια, ένδυση
shop_grocery|Παντοπωλείο|παντοπωλείο, σούπερ μάρκετ, τρόφιμα, μίνι μάρκετ
shop_sports|Αθλητικά είδη|κατάστημα αθλητικών, αθλητικός εξοπλισμός, ορειβατικά, σκι
shop_books|Βιβλιοπωλείο και χαρτικά|βιβλιοπωλείο, χαρτικά, βιβλία, γραφική ύλη
shop_florist|Ανθοπωλείο|ανθοπωλείο, λουλούδια, μπουκέτα, στεφάνια
shop_pet|Είδη κατοικιδίων|pet shop, τροφή σκύλου, ενυδρείο, άμμος γάτας
motorcycle_repair|Σέρβις μοτοσικλετών|συνεργείο μοτοσυκλετών, μηχανή, σκούτερ, παπάκι
bar|Μπαρ|μπαρ, παμπ, κοκτέιλ μπαρ, ποτά
kebab_shawarma|Κεμπάπ και σαουάρμα|κεμπάπ, σαουάρμα, γύρος, ντονέρ
pizzeria|Πιτσαρία|πίτσα, πιτσαρία, πίτσα σε πακέτο, ιταλικό
fast_food|Φαστφουντ|φαστφουντ, μπέργκερ, πατάτες τηγανητές, σουβλατζίδικο
bakery|Φούρνος|φούρνος, ψωμί, αρτοποιείο, κουλούρια
pastry_shop|Ζαχαροπλαστείο|ζαχαροπλαστείο, τούρτες, γλυκά, επιδόρπια
coffee_shop|Καφετέρια|καφετέρια, καφές, εσπρέσο, barista
food_truck|Καντίνα|καντίνα, street food, κινητή κουζίνα
butcher|Κρεοπωλείο|κρεοπωλείο, κρέας, λουκάνικα, χασάπης
ice_cream|Παγωτατζίδικο|παγωτό, παγωτατζίδικο, gelato, χειροποίητο παγωτό
winery|Οινοποιείο|οινοποιείο, κρασί, κάβα, οινογευσία
brewery|Ζυθοποιία|ζυθοποιείο, μπύρα, craft μπύρα, βαρελίσια
nightclub|Νυχτερινό κέντρο και ντίσκο|νυχτερινό κέντρο, κλαμπ, χορός, dj
beach_club|Beach bar και beach club|beach bar, ξαπλώστρες, παραλία, θαλάσσιο μπαρ
bowling_billiards|Μπόουλινγκ και μπιλιάρδο|μπόουλινγκ, μπιλιάρδο, βελάκια, pool
travel_agency|Ταξιδιωτικό γραφείο|ταξιδιωτικό γραφείο, ταξίδια, αεροπορικά εισιτήρια, εκδρομές
nail_salon|Νυχιών, μανικιούρ και πεντικιούρ|νύχια, μανικιούρ, πεντικιούρ, τεχνητά νύχια
barber|Κουρείο|κουρείο, ανδρικό κούρεμα, γένια, ξύρισμα
tattoo_piercing|Τατουάζ και πίρσινγκ|τατουάζ, στούντιο τατουάζ, piercing, μελάνι
spa_sauna|Σπα και σάουνα|σπα, σάουνα, ευεξία, χαμάμ
cosmetics_shop|Κατάστημα καλλυντικών|αρωματοπωλείο, καλλυντικά, μακιγιάζ, περιποίηση δέρματος
dry_cleaning|Καθαριστήριο και πλυντήριο|στεγνοκαθαριστήριο, πλυντήριο ρούχων, σιδέρωμα, καθαριστήριο
podiatry|Ποδολογία και φροντίδα ποδιών|ποδολογία, περιποίηση ποδιών, ονυχοκρύπτωση, πέλματα
dental_laboratory|Οδοντοτεχνικό εργαστήριο|οδοντοτεχνίτης, οδοντοστοιχίες, θήκες, γέφυρες
orthodontics|Ορθοδοντική|σιδεράκια, ορθοδοντικός, ίσιωμα δοντιών, νάρθηκες
dermatology|Δερματολογία|δερματολόγος, δέρμα, σπίλοι, ακμή
paediatrics|Παιδιατρική|παιδίατρος, παιδιατρική, βρέφος, παιδιά
gynaecology|Γυναικολογία|γυναικολόγος, μαιευτήρας, εγκυμοσύνη, γυναικολογία
cardiology|Καρδιολογία|καρδιολόγος, καρδιά, ηλεκτροκαρδιογράφημα, καρδιολογικό
medical_imaging|Απεικονιστική διαγνωστική|ακτινογραφία, υπέρηχος, μαγνητική τομογραφία, αξονική
speech_therapy|Λογοθεραπεία|λογοθεραπευτής, λογοθεραπεία, τραυλισμός, ομιλία
nutrition_dietetics|Διατροφή και διαιτολογία|διαιτολόγος, διατροφολόγος, δίαιτα, απώλεια βάρους
bicycle_repair|Επισκευή ποδηλάτων|επισκευή ποδηλάτων, service ποδηλάτου, λάστιχο, ποδηλατικό συνεργείο
scooter_repair|Επισκευή σκούτερ και μοτοποδηλάτων|επισκευή σκούτερ, σκούτερ, vespa, παπί
appliance_repair|Επισκευή οικιακών συσκευών|επισκευή οικιακών συσκευών, πλυντήριο, ψυγείο, φούρνος
phone_repair|Επισκευή κινητών και τάμπλετ|επισκευή κινητών, αλλαγή οθόνης, iphone, tablet
computer_repair|Επισκευή υπολογιστών|επισκευή υπολογιστών, laptop, pc, ανάκτηση δεδομένων
watch_jewellery_repair|Επισκευή ρολογιών και κοσμημάτων|ωρολογοποιός, κοσμηματοπώλης, αλλαγή μπαταρίας, άνοιγμα δαχτυλιδιού
shoe_repair|Τσαγκάρης|τσαγκάρης, επισκευή παπουτσιών, τακούνια, σόλες
tailoring_alterations|Ραπτική και μεταποιήσεις|ράφτης, μοδίστρα, μερεμέτια, στένεμα
upholstery|Ταπετσαρία επίπλων|ταπετσιέρης, ταπετσαρία επίπλων, αλλαγή καναπέ, γέμισμα
glazing|Υαλοπίνακες και κουφώματα|τζαμάς, παράθυρα, διπλά τζάμια, γυαλί
chimney_sweep|Καθαρισμός καμινάδας|καπνοδοχοκαθαριστής, καμινάδα, καθαρισμός καμινάδας, καπνιά
pest_control|Απεντόμωση και μυοκτονία|απεντόμωση, μυοκτονία, κοριοί, κατσαρίδες
pool_maintenance|Συντήρηση πισίνας|συντήρηση πισίνας, καθαρισμός πισίνας, χλώριο, πισίνα
window_cleaning|Καθαρισμός τζαμιών|καθαρισμός τζαμιών, πλύσιμο τζαμιών, καθαρισμός προσόψεων, τζάμια
car_wash|Πλυντήριο αυτοκινήτων|πλυντήριο αυτοκινήτων, πλύσιμο αυτοκινήτου, βιολογικός καθαρισμός, γυάλισμα
car_rental|Ενοικίαση αυτοκινήτων|ενοικίαση αυτοκινήτων, rent a car, νοικιασμένο αυτοκίνητο, ενοικιαζόμενα
bike_scooter_rental|Ενοικίαση ποδηλάτων και πατινιών|ενοικίαση ποδηλάτων, ηλεκτρικό πατίνι, ενοικίαση σκούτερ, πατίνι
funeral_services|Γραφείο τελετών|γραφείο τελετών, κηδεία, αποτέφρωση, φέρετρο
notary|Συμβολαιογραφείο|συμβολαιογράφος, συμβόλαιο, πληρεξούσιο, πράξη
bailiff|Δικαστικός επιμελητής|δικαστικός επιμελητής, κατάσχεση, αναγκαστική εκτέλεση, επίδοση
patent_trademark|Ευρεσιτεχνίες και σήματα|πνευματική ιδιοκτησία, κατοχύρωση σήματος, δίπλωμα ευρεσιτεχνίας, εμπορικό σήμα
debt_collection|Είσπραξη οφειλών|είσπραξη οφειλών, χρέη, όχληση, ανείσπρακτα τιμολόγια
company_formation|Σύσταση εταιρειών|ίδρυση εταιρείας, γεμη, ικε, σύσταση εταιρείας
financial_advisory|Οικονομικές συμβουλές|οικονομικός σύμβουλος, επενδύσεις, περιουσία, συνταξιοδοτική αποταμίευση
payroll_services|Μισθοδοσία|μισθοδοσία, εκκαθάριση μισθών, μισθοί, εργατικά
currency_exchange|Ανταλλακτήριο συναλλάγματος|ανταλλακτήριο συναλλάγματος, συνάλλαγμα, ξένο νόμισμα, ισοτιμία
pawnshop|Ενεχυροδανειστήριο|ενεχυροδανειστήριο, ενέχυρο, δάνειο με ενέχυρο, αγορά χρυσού
leasing|Χρηματοδοτική μίσθωση|leasing, χρηματοδότηση, δόσεις, χρηματοδοτική μίσθωση
hearing_aids|Ακουστικά βαρηκοΐας|ακουστικά βαρηκοΐας, ακοόγραμμα, ακοολόγος, κέντρο ακοής
medical_transport|Μεταφορά ασθενών|ασθενοφόρο, μεταφορά ασθενών, φορείο, διακομιδή
rehabilitation|Κέντρο αποκατάστασης|κέντρο αποκατάστασης, ανάρρωση, αποθεραπεία, αποκατάσταση
occupational_therapy|Εργοθεραπεία|εργοθεραπευτής, εργοθεραπεία, καθημερινές δεξιότητες, αυτονομία
midwifery|Μαιευτική|μαία, τοκετός, εγκυμοσύνη, προετοιμασία τοκετού
acupuncture|Βελονισμός|βελονισμός, βελόνες, κινέζικη ιατρική, βελονιστής
chiropractic|Χειροπρακτική και οστεοπαθητική|χειροπράκτης, οστεοπαθητική, σπονδυλική στήλη, πόνος στη μέση
insulation|Θερμομόνωση|θερμομόνωση, μόνωση, μόνωση οροφής, εξωτερική θερμομόνωση
waterproofing|Στεγανοποίηση|στεγανοποίηση, υγρασία, μόνωση ταράτσας, μεμβράνη
plastering|Σοβατίσματα και στοκαρίσματα|σοβάς, σοβάτισμα, στόκος, επιχρίσματα
tiling|Τοποθέτηση πλακιδίων|πλακάς, πλακάκια, κεραμικά, τοποθέτηση πλακιδίων
drywall|Γυψοσανίδες και χωρίσματα|γυψοσανίδα, χωρίσματα, ψευδοροφή, ξηρά δόμηση
fencing|Περιφράξεις και πύλες|περίφραξη, καγκελόπορτα, φράχτης, συρματόπλεγμα
paving|Πλακοστρώσεις και είσοδοι|πλακόστρωση, είσοδος γκαράζ, πεζοδρόμιο, κράσπεδα
well_drilling|Γεωτρήσεις|γεώτρηση, πηγάδι, γεώτρηση νερού, υπόγειο νερό
septic_systems|Βόθροι και αποχέτευση|βόθρος, αποχέτευση, σηπτική δεξαμενή, απορροή
solar_panels|Τοποθέτηση φωτοβολταϊκών|φωτοβολταϊκά, ηλιακά πάνελ, inverter, ηλιακή ενέργεια
alarm_cctv|Συναγερμοί και κάμερες|συναγερμός, κάμερες παρακολούθησης, cctv, αντικλεπτικό
smart_home|Έξυπνο σπίτι|έξυπνο σπίτι, έξυπνος φωτισμός, αυτοματισμοί σπιτιού, έλεγχος
lift_maintenance|Συντήρηση ανελκυστήρων|ανελκυστήρας, ασανσέρ, συντήρηση ανελκυστήρων, κυλιόμενη σκάλα
fire_safety|Πυρασφάλεια και πυροσβεστήρες|πυροσβεστήρες, πυρανίχνευση, sprinkler, πυρασφάλεια
car_dealer|Αντιπροσωπεία αυτοκινήτων|αντιπροσωπεία αυτοκινήτων, μεταχειρισμένα, πώληση αυτοκινήτων, έκθεση αυτοκινήτων
vehicle_inspection|Τεχνικός έλεγχος οχημάτων|κτεο, τεχνικός έλεγχος, έλεγχος οχήματος, κάρτα καυσαερίων
auto_electrics|Ηλεκτρολογείο αυτοκινήτων|ηλεκτρολόγος αυτοκινήτων, δυναμό, μίζα, ηλεκτρικό σύστημα
car_glass|Κρύσταλλα και παρμπρίζ|παρμπρίζ, αλλαγή κρυστάλλου, κρύσταλλα αυτοκινήτου, ραγισμένο τζάμι
boat_repair|Επισκευή σκαφών|επισκευή σκαφών, εξωλέμβια, σκάφος, ναυπηγείο
bus_charter|Ενοικίαση πούλμαν|ενοικίαση λεωφορείου, πούλμαν, μίνι μπας, μεταφορά ομάδων
call_centre|Τηλεφωνικό κέντρο|τηλεφωνικό κέντρο, τηλεμάρκετινγκ, εξυπηρέτηση πελατών, υποστήριξη
virtual_assistant|Εικονικός βοηθός|εικονικός βοηθός, διοικητική υποστήριξη, γραμματειακή υποστήριξη, freelancer
market_research|Έρευνα αγοράς|έρευνα αγοράς, ερωτηματολόγια, καταναλωτική έρευνα, focus group
copywriting|Συγγραφή κειμένων|κειμενογράφος, διόρθωση κειμένων, παραγωγή περιεχομένου, επιμέλεια
seo_services|SEO και διαφήμιση στο διαδίκτυο|βελτιστοποίηση μηχανών αναζήτησης, google ads, διαφήμιση στο διαδίκτυο, sem
social_media|Διαχείριση κοινωνικών δικτύων|διαχείριση μέσων κοινωνικής δικτύωσης, instagram, facebook, tiktok
app_development|Ανάπτυξη εφαρμογών κινητού|ανάπτυξη εφαρμογών, android, εφαρμογές κινητών, flutter
game_development|Ανάπτυξη παιχνιδιών|ανάπτυξη παιχνιδιών, unity, unreal, στούντιο παιχνιδιών
drone_services|Υπηρεσίες με drone|drone, εναέρια λήψη, αεροφωτογράφιση, χαρτογράφηση
printing_3d|Τρισδιάστατη εκτύπωση|τρισδιάστατη εκτύπωση, πρωτότυπα, προσθετική κατασκευή, 3d printer
interior_design|Διακόσμηση εσωτερικών χώρων|διακοσμητής, εσωτερική διακόσμηση, σχεδιασμός χώρου, styling
dance_school|Σχολή χορού|σχολή χορού, μπαλέτο, salsa, μαθήματα χορού
art_gallery|Γκαλερί και κορνιζοποιείο|κορνιζοποιείο, κορνίζες, εκθέσεις, γκαλερί
