taxi|Taksi|taksi, vožnja, prijevoz, aerodrom
shop_bicycle|Biciklistička trgovina i servis|biciklistička trgovina, bicikli, servis bicikala, električni bicikl
shop_auto_parts|Autodijelovi|autodijelovi, rezervni dijelovi, auto oprema, filteri
shop_hardware|Željezarija i alat|željezarija, građevinski materijal, alati, vijci
shop_furniture|Namještaj|salon namještaja, namještaj, sofe, kuhinje
shop_electronics|Elektronika i kućanski aparati|elektronika, bijela tehnika, televizor, perilica
shop_clothing|Odjeća|trgovina odjećom, moda, obuća, odjeća
shop_grocery|Prehrana|trgovina mješovitom robom, supermarket, namirnice, mini market
shop_sports|Sportska oprema|sportska trgovina, sportska oprema, planinarenje, skije
shop_books|Knjižara i papirnica|knjižara, uredski materijal, knjige, papirnica
shop_florist|Cvjećarnica|cvjećarna, cvijeće, buketi, vijenci
shop_pet|Pet shop|pet shop, hrana za pse, akvarij, pijesak za mačke
motorcycle_repair|Servis motocikala|servis motocikala, motocikl, skuter, moped
bar|Bar|bar, birtija, koktel bar, pića
kebab_shawarma|Kebab i šavarma|kebab, šaorma, gyros, ćevabdžinica
pizzeria|Pizzeria|pizza, pizzeria, pizza za van, talijanska
fast_food|Brza hrana|brza hrana, burger, pomfrit, snack bar
bakery|Pekarnica|pekara, kruh, peciva, pekar
pastry_shop|Slastičarnica|slastičarna, torte, kolači, deserti
coffee_shop|Kafić|kafić, kava, espresso, barista
food_truck|Pokretni ugostiteljski objekt|food truck, ulična hrana, pokretna kuhinja
butcher|Mesnica|mesnica, meso, kobasice, suhomesnato
ice_cream|Slastičarnica sa sladoledom|sladoled, slastičarna sladoled, gelato, ledeni desert
winery|Vinarija|vinarija, vino, vinski podrum, kušanje vina
brewery|Pivovara|pivovara, pivo, craft pivo, točeno pivo
nightclub|Noćni klub i disko|noćni klub, disko, ples, dj
beach_club|Beach bar i beach club|beach bar, ležaljke, plaža, kupalište
bowling_billiards|Kuglana i biljar|kuglana, biljar, pikado, bowling
travel_agency|Putnička agencija|putnička agencija, putovanja, avionske karte, aranžmani
nail_salon|Salon noktiju, manikura i pedikura|studio za nokte, manikura, pedikura, gel nokti
barber|Brijačnica|brijač, muško šišanje, brada, brijanje
tattoo_piercing|Tetoviranje i piercing|tetovaža, tattoo studio, piercing, tinta
spa_sauna|Spa i sauna|spa, sauna, wellness, parna kupelj
cosmetics_shop|Drogerija i kozmetika|parfumerija, kozmetika, šminka, njega kože
dry_cleaning|Kemijska čistionica i praonica|kemijska čistionica, praonica rublja, glačanje, pranje
podiatry|Podologija i njega stopala|pedikura, njega stopala, urasli nokat, stopala
dental_laboratory|Zubotehnički laboratorij|zubni tehničar, zubne proteze, krunice, mostovi
orthodontics|Ortodoncija|aparatić, ortodont, ravnanje zubi, folije
dermatology|Dermatologija|dermatolog, kožni liječnik, madeži, akne
paediatrics|Pedijatrija|pedijatar, dječji liječnik, dojenče, djeca
gynaecology|Ginekologija|ginekolog, ženski liječnik, trudnoća, porodništvo
cardiology|Kardiologija|kardiolog, srce, ekg, srčani
medical_imaging|Medicinsko slikovno dijagnosticiranje|rendgen, ultrazvuk, magnetna rezonanca, ct
speech_therapy|Logopedija|logoped, govorna terapija, mucanje, govor
nutrition_dietetics|Prehrana i dijetetika|nutricionist, dijetetičar, dijeta, mršavljenje
bicycle_repair|Popravak bicikala|servis bicikala, popravak bicikla, guma, biciklistički servis
scooter_repair|Popravak skutera i mopeda|servis skutera, skuter, vespa, moped
appliance_repair|Popravak kućanskih aparata|servis kućanskih aparata, perilica, hladnjak, pećnica
phone_repair|Popravak mobitela i tableta|servis mobitela, zamjena ekrana, iphone, tablet
computer_repair|Popravak računala|servis računala, laptop, pc, spašavanje podataka
watch_jewellery_repair|Popravak satova i nakita|urar, zlatar, zamjena baterije, proširenje prstena
shoe_repair|Postolar|postolar, popravak obuće, potpetice, potplati
tailoring_alterations|Krojačnica i prepravke|krojač, švelja, skraćivanje, prepravke
upholstery|Tapetarstvo|tapetar, presvlačenje, presvlaka za kauč, tapeciranje
glazing|Staklarstvo i prozori|staklar, prozori, izo staklo, staklo
chimney_sweep|Dimnjačarstvo|dimnjačar, dimnjak, čišćenje dimnjaka, čađa
pest_control|Deratizacija i dezinsekcija|deratizacija, dezinsekcija, stjenice, štakori
pool_maintenance|Održavanje bazena|servis bazena, čišćenje bazena, klor, bazen
window_cleaning|Pranje prozora|pranje prozora, čišćenje stakala, pranje fasade, prozori
car_wash|Autopraonica|autopraonica, pranje auta, čišćenje interijera, poliranje
car_rental|Najam automobila|rent a car, najam vozila, iznajmljivanje auta, rentanje
bike_scooter_rental|Najam bicikala i romobila|najam bicikala, električni romobil, iznajmljivanje bicikla, romobil
funeral_services|Pogrebne usluge|pogrebne usluge, sprovod, kremiranje, lijes
notary|Javni bilježnik|javni bilježnik, ovjera, punomoć, isprave
bailiff|Ovršni postupak|ovršitelj, ovrha, zapljena, javni ovršitelj
patent_trademark|Patenti i žigovi|patentni zastupnik, registracija žiga, patent, intelektualno vlasništvo
debt_collection|Naplata potraživanja|naplata potraživanja, dugovi, opomena, neplaćeni računi
company_formation|Osnivanje tvrtki|osnivanje tvrtke, sudski registar, doo, obrt
financial_advisory|Financijsko savjetovanje|financijski savjetnik, ulaganja, imovina, mirovinska štednja
payroll_services|Obračun plaća|obračun plaća, platna lista, plaće, kadrovska evidencija
currency_exchange|Mjenjačnica|mjenjačnica, zamjena valuta, strana valuta, tečaj
pawnshop|Zalagaonica|zalagaonica, zalog, zajam pod zalog, otkup zlata
leasing|Leasing i financiranje|leasing, financiranje, obročna otplata, auto leasing
hearing_aids|Slušni aparati|slušni aparat, ispitivanje sluha, audiolog, centar za sluh
medical_transport|Sanitetski prijevoz|hitna pomoć, prijevoz pacijenata, nosila, sanitetski prijevoz
rehabilitation|Centar za rehabilitaciju|rehabilitacija, oporavak, centar za oporavak, rekonvalescencija
occupational_therapy|Radna terapija|radni terapeut, radna terapija, svakodnevne vještine, samostalnost
midwifery|Primaljstvo|primalja, porod, trudnoća, priprema za porod
acupuncture|Akupunktura|akupunktura, igle, kineska medicina, akupunkturist
chiropractic|Kiropraktika i osteopatija|kiropraktičar, osteopat, kralježnica, bolovi u leđima
insulation|Toplinska izolacija|izolacija, fasada, toplinska izolacija, izolacija krova
waterproofing|Hidroizolacija|hidroizolacija, vlaga, brtvljenje krova, membrana
plastering|Žbukanje i gletanje|žbukanje, žbuka, gletanje, fasada
tiling|Polaganje pločica|keramičar, pločice, keramika, pločice za kupaonicu
drywall|Gips-karton i pregrade|knauf, gips ploče, pregrade, spušteni strop
fencing|Ograde i vrata|ograda, kapija, postavljanje ograde, žičana ograda
paving|Popločavanje i prilazi|opločenje, prilaz, pločnik, rubnjaci
well_drilling|Bušenje bunara|bušenje bunara, bunar, zdenac, podzemna voda
septic_systems|Septičke jame i odvodnja|septička jama, kanalizacija, odvodnja, upojni bunar
solar_panels|Montaža solarnih panela|solarni paneli, fotonaponski, inverter, sunčeva energija
alarm_cctv|Alarmi i videonadzor|alarm, video nadzor, sigurnosne kamere, protuprovalni sustav
smart_home|Pametni dom|pametna kuća, pametna rasvjeta, kućna automatizacija, upravljanje
lift_maintenance|Održavanje dizala|dizalo, lift, servis dizala, pokretne stepenice
fire_safety|Zaštita od požara i aparati|vatrogasni aparati, vatrodojava, sprinkler, zaštita od požara
car_dealer|Auto salon|autosalon, rabljena vozila, prodaja auta, auto kuća
vehicle_inspection|Tehnički pregled|tehnički pregled, ispitivanje vozila, stanica za tehnički, registracija
auto_electrics|Autoelektrika|autoelektričar, alternator, starter, elektroinstalacija vozila
car_glass|Auto stakla i vjetrobrani|vjetrobran, zamjena stakla, autostaklo, pukotina
boat_repair|Popravak plovila|servis plovila, vanbrodski motor, brod, jahta
bus_charter|Najam autobusa|najam autobusa, autobus, minibus, prijevoz grupa
call_centre|Pozivni centar|pozivni centar, telemarketing, korisnička podrška, telefonska podrška
virtual_assistant|Virtualni asistent|virtualni asistent, administrativna podrška, tajnica na daljinu, freelancer
market_research|Istraživanje tržišta|istraživanje tržišta, ankete, fokus grupe, potrošačka istraživanja
copywriting|Pisanje sadržaja|copywriter, lektura, izrada sadržaja, tekstovi
seo_services|SEO i online oglašavanje|optimizacija za tražilice, google ads, online oglašavanje, sem
social_media|Vođenje društvenih mreža|vođenje društvenih mreža, instagram, facebook, tiktok
app_development|Razvoj mobilnih aplikacija|razvoj aplikacija, android, mobilne aplikacije, flutter
game_development|Razvoj igara|razvoj igara, unity, unreal, gaming studio
drone_services|Usluge dronom|dron, snimanje iz zraka, fotografiranje dronom, kartiranje
printing_3d|3D ispis|3d ispis, prototipovi, aditivna proizvodnja, 3d printer
interior_design|Dizajn interijera|dizajner interijera, uređenje interijera, unutarnje uređenje, dekoracija
dance_school|Plesna škola|škola plesa, balet, salsa, satovi plesa
art_gallery|Galerija i uokvirivanje|uramljivanje, okviri, izložbe, galerija
