taxi|Taxi|Taxi, corsa, aeroporto, transfer
beach_club|Bar sulla spiaggia e beach club|Spiaggia, stabilimento, lettini, lido
bowling_billiards|Bowling e biliardo|Birilli, snooker, freccette
travel_agency|Agenzia di viaggi|Viaggi, vacanze, voli, pacchetti
nail_salon|Centro unghie, manicure e pedicure|Unghie, manicure, pedicure, gel
barber|Barbiere|Taglio uomo, barba, rasatura
tattoo_piercing|Tatuaggi e piercing|Tatuatore, studio tatuaggi, piercing
spa_sauna|Spa e sauna|Benessere, bagno turco, hammam, terme
cosmetics_shop|Negozio di cosmetici|Profumeria, trucco, cura della pelle, bellezza
dry_cleaning|Lavanderia e lavaggio a secco|Tintoria, lavanderia, stiratura
podiatry|Podologia e cura del piede|Podologo, unghia incarnita, piedi
dental_laboratory|Laboratorio odontotecnico|Odontotecnico, protesi, corone
orthodontics|Ortodonzia|Apparecchio, allineatori, ortodontista
dermatology|Dermatologia|Dermatologo, pelle, nei, acne
paediatrics|Pediatria|Pediatra, medico dei bambini
gynaecology|Ginecologia|Ginecologo, ostetricia, salute della donna
cardiology|Cardiologia|Cardiologo, cuore, elettrocardiogramma
medical_imaging|Diagnostica per immagini|Radiologia, ecografia, risonanza, TAC
speech_therapy|Logopedia|Logopedista, terapia del linguaggio, balbuzie
nutrition_dietetics|Nutrizione e dietetica|Nutrizionista, dietista, dieta, dimagrimento
bicycle_repair|Riparazione biciclette|Bici, foratura, ciclofficina, velo
scooter_repair|Riparazione scooter e ciclomotori|Scooter, motorino, Vespa, 50cc
appliance_repair|Riparazione elettrodomestici|Lavatrice, frigorifero, forno, elettrodomestici
phone_repair|Riparazione telefoni e tablet|Cellulare, schermo, iPhone, tablet
computer_repair|Riparazione computer|PC, portatile, recupero dati
watch_jewellery_repair|Riparazione orologi e gioielli|Orologiaio, gioielliere, pila, anello
shoe_repair|Calzolaio|Riparazione scarpe, tacchi, suole
tailoring_alterations|Sartoria e riparazioni|Sarto, sarta, orlo, modifiche
upholstery|Tappezzeria|Tappezziere, divano, rifoderare, mobili
glazing|Vetreria e serramenti|Vetraio, finestre, vetro, doppi vetri
chimney_sweep|Spazzacamino|Camino, canna fumaria, fuliggine
pest_control|Disinfestazione|Derattizzazione, cimici, ratti, scarafaggi
pool_maintenance|Manutenzione piscine|Piscina, pulizia piscina, cloro
window_cleaning|Pulizia vetri|Lavavetri, vetrate, facciata
car_wash|Autolavaggio|Lavaggio auto, pulizia auto, detailing
car_rental|Autonoleggio|Noleggio auto, macchina a noleggio
bike_scooter_rental|Noleggio bici e monopattini|Noleggio biciclette, monopattino elettrico
funeral_services|Onoranze funebri|Pompe funebri, funerale, cremazione, bare
