taxi|Такси|Такси, поездка, аэропорт, трансфер
marketing_agency|Маркетинговое агентство|Реклама, SEO, соцсети, кампания
graphic_design|Графический дизайн|Дизайнер, логотип, плакат, каталог
photography|Фотография|Фотограф, фотостудия, свадьба, камера
video_production|Видеопроизводство|Видеограф, съёмка, монтаж, дрон
printing_signage|Печать и вывески|Типография, баннер, наклейки, вывеска
wholesale|Оптовая торговля|Оптовик, поставщик, склад, товар
ecommerce|Интернет-торговля|Интернет-магазин, заказы, отправка
security_services|Охранные услуги|Охрана, охранник, сигнализация, камеры
hairdressing|Парикмахерская|Парикмахер, барбершоп, стрижка, окрашивание
beauty_salon|Салон красоты|Косметолог, ногти, ресницы, макияж
massage_therapy|Массаж|Массажист, велнес, спа, релакс
fitness_training|Фитнес-тренировки|Персональный тренер, зал, веса, велотренажёр
shop_general|Розничная торговля|Магазин, лавка, касса, продажа
shop_bicycle|Веломагазин и ремонт|Велосипед, самокат, цепь, колесо
shop_auto_parts|Автозапчасти|Запчасти, аксессуары, фильтр, колодки, масло
shop_hardware|Стройматериалы и инструменты|Хозтовары, шурупы, гвозди, инструменты, цемент
shop_furniture|Мебельный магазин|Мебель, диван, шкаф, кровать, кухня
shop_electronics|Электроника и бытовая техника|Телевизор, холодильник, стиральная машина, телефон
shop_clothing|Магазин одежды|Одежда, мода, обувь, текстиль
shop_grocery|Продуктовый магазин|Продукты, супермаркет, хлеб, молоко, овощи
shop_sports|Спортивный магазин|Спорттовары, кроссовки, лыжи, палатка
shop_books|Книжный и канцелярия|Книги, тетради, ручки, канцтовары
shop_florist|Цветочный магазин|Цветы, букет, розы, венок
shop_pet|Зоомагазин|Корм, товары для животных, аквариум, клетка
motorcycle_repair|Мотосервис|Мотоцикл, скутер, мопед, шлем, цепь
bar|Бар|Паб, пивная, коктейль-бар, терраса
kebab_shawarma|Кебаб и шаурма|Донер, дюрюм, шаурма, шаверма
pizzeria|Пиццерия|Пицца, итальянская кухня, пицца на вынос
fast_food|Фастфуд|Бургеры, картошка фри, закусочная
bakery|Пекарня|Хлеб, пекарь, булочки, выпечка
pastry_shop|Кондитерская|Торты, пирожные, сладости, десерты
coffee_shop|Кофейня|Кофе, эспрессо, бариста, обжарка
food_truck|Фудтрак|Уличная еда, мобильная кухня, фургон
butcher|Мясная лавка|Мясо, мясник, колбасы
ice_cream|Мороженое|Джелато, кафе-мороженое, рожки
winery|Винодельня|Вино, виноградник, дегустация, погреб
brewery|Пивоварня|Пиво, крафтовое пиво, пивоварня
nightclub|Ночной клуб и дискотека|Дискотека, клуб, танцы, диджей
beach_club|Пляжный бар и бич-клуб|Пляж, шезлонги, побережье
bowling_billiards|Боулинг и бильярд|Кегли, снукер, дартс
travel_agency|Турагентство|Туры, отдых, авиабилеты, путёвки
nail_salon|Ногтевой салон, маникюр и педикюр|Ногти, маникюр, педикюр, гель-лак
barber|Барбершоп|Мужская стрижка, борода, бритьё
tattoo_piercing|Тату и пирсинг|Тату-салон, татуировка, пирсинг
spa_sauna|Спа и сауна|Велнес, парная, хаммам, термы
cosmetics_shop|Магазин косметики|Парфюмерия, макияж, уход за кожей, красота
dry_cleaning|Химчистка и прачечная|Сухая чистка, прачечная, глажка
podiatry|Подология и уход за стопами|Подолог, вросший ноготь, стопы
dental_laboratory|Зуботехническая лаборатория|Зубной техник, протезы, коронки
orthodontics|Ортодонтия|Брекеты, элайнеры, ортодонт
dermatology|Дерматология|Дерматолог, кожа, родинки, акне
paediatrics|Педиатрия|Педиатр, детский врач
gynaecology|Гинекология|Гинеколог, акушерство, женское здоровье
cardiology|Кардиология|Кардиолог, сердце, ЭКГ
medical_imaging|Лучевая диагностика|Рентген, УЗИ, МРТ, КТ, радиология
speech_therapy|Логопедия|Логопед, речевая терапия, заикание
nutrition_dietetics|Питание и диетология|Диетолог, нутрициолог, диета, похудение
bicycle_repair|Ремонт велосипедов|Велосипед, прокол, веломастерская
scooter_repair|Ремонт скутеров и мопедов|Скутер, мопед, Vespa, 50 кубов
appliance_repair|Ремонт бытовой техники|Стиральная машина, холодильник, духовка
phone_repair|Ремонт телефонов и планшетов|Телефон, замена экрана, iPhone, планшет
computer_repair|Ремонт компьютеров|ПК, ноутбук, восстановление данных
watch_jewellery_repair|Ремонт часов и украшений|Часовщик, ювелир, батарейка, кольцо
shoe_repair|Ремонт обуви|Сапожник, каблуки, подошвы
tailoring_alterations|Ателье и подгонка одежды|Портной, швея, подшить, переделка
upholstery|Обивка мебели|Обивщик, диван, перетяжка, мебель
glazing|Стекольные работы и окна|Стекольщик, окна, стекло, стеклопакет
chimney_sweep|Чистка дымоходов|Трубочист, дымоход, сажа
pest_control|Дезинсекция и дератизация|Клопы, крысы, тараканы, вредители
pool_maintenance|Обслуживание бассейнов|Бассейн, чистка бассейна, хлор
window_cleaning|Мытьё окон|Мойка окон, стёкла, фасад
car_wash|Автомойка|Мойка машины, чистка авто, детейлинг
car_rental|Аренда автомобилей|Прокат авто, машина напрокат
bike_scooter_rental|Прокат велосипедов и самокатов|Аренда велосипеда, электросамокат
funeral_services|Ритуальные услуги|Похоронное бюро, похороны, кремация, гробы
notary|Нотариус|нотариус, заверение, доверенность, наследство
bailiff|Судебный пристав|судебный пристав, взыскание, арест имущества, исполнительный лист
patent_trademark|Патенты и товарные знаки|интеллектуальная собственность, регистрация товарного знака, патент, патентный поверенный
debt_collection|Взыскание долгов|взыскание долгов, просроченная задолженность, коллекторы, долги
company_formation|Регистрация компаний|регистрация ооо, открытие фирмы, учредительные документы, юридический адрес
financial_advisory|Финансовые консультации|финансовый консультант, инвестиции, капитал, финансовое планирование
payroll_services|Расчёт заработной платы|расчет зарплаты, зарплатный проект, начисление зарплаты, кадровый учет
currency_exchange|Обмен валюты|обмен валюты, обменный пункт, иностранная валюта, курс валют
pawnshop|Ломбард|ломбард, залог, займ под залог, скупка золота
leasing|Лизинг и финансирование|лизинг автомобиля, финансирование, рассрочка, аренда с выкупом
hearing_aids|Слуховые аппараты|сурдолог, проверка слуха, слуховой аппарат, тугоухость
medical_transport|Медицинская перевозка|скорая помощь, перевозка больных, носилки, медицинское такси
rehabilitation|Реабилитационный центр|реабилитация, восстановление, санаторий, восстановительный центр
occupational_therapy|Эрготерапия|эрготерапевт, бытовые навыки, самостоятельность, терапия
midwifery|Акушерство|акушерка, роды, беременность, дородовая помощь
acupuncture|Иглоукалывание|иглотерапия, иглоукалывание, китайская медицина, рефлексотерапия
chiropractic|Мануальная терапия и остеопатия|остеопат, мануальный терапевт, позвоночник, боль в спине
insulation|Теплоизоляция|утепление, теплоизоляция фасада, минеральная вата, утеплитель
waterproofing|Гидроизоляция|гидроизоляция, протечки, сырость, рулонная кровля
plastering|Штукатурные работы|штукатур, штукатурка, шпатлевка, отделка стен
tiling|Укладка плитки|плиточник, плитка, керамогранит, укладка плитки
drywall|Гипсокартон и перегородки|гипсокартон, перегородки, подвесной потолок, гкл
fencing|Заборы и ворота|забор, ворота, ограждение, сетка
paving|Мощение и подъездные дорожки|тротуарная плитка, брусчатка, дорожки, подъездная дорога
well_drilling|Бурение скважин|скважина, бурение, колодец, грунтовые воды
septic_systems|Септики и канализация|септик, канализация, выгребная яма, дренаж
solar_panels|Монтаж солнечных панелей|солнечные батареи, фотоэлектрические панели, инвертор, солнечная электростанция
alarm_cctv|Сигнализация и видеонаблюдение|сигнализация, видеонаблюдение, камеры, охранные системы
smart_home|Умный дом|умный дом, автоматизация дома, умное освещение, управление
lift_maintenance|Обслуживание лифтов|лифт, обслуживание лифтов, эскалатор, ремонт лифтов
fire_safety|Пожарная безопасность|огнетушители, пожарная сигнализация, спринклеры, пожарная безопасность
car_dealer|Автосалон|автосалон, подержанные автомобили, продажа авто, автодилер
vehicle_inspection|Технический осмотр|техосмотр, технический осмотр, диагностическая карта, пункт техосмотра
auto_electrics|Автоэлектрика|автоэлектрик, генератор, стартер, проводка
car_glass|Автостёкла и лобовые стёкла|лобовое стекло, замена стекла, автостекло, скол
boat_repair|Ремонт лодок и катеров|судоремонт, лодочный мотор, катер, яхта
bus_charter|Аренда автобусов|аренда автобуса, автобус, микроавтобус, перевозка групп
call_centre|Колл-центр|колл центр, телемаркетинг, служба поддержки, обзвон
virtual_assistant|Виртуальный помощник|удаленный помощник, административная поддержка, личный ассистент, фриланс
market_research|Маркетинговые исследования|опросы, исследование рынка, фокус группы, анкетирование
copywriting|Копирайтинг|копирайтер, редактирование, корректура, тексты
seo_services|SEO и онлайн-реклама|продвижение сайта, гугл реклама, контекстная реклама, сео
social_media|Ведение соцсетей|ведение соцсетей, инстаграм, фейсбук, тикток
app_development|Разработка мобильных приложений|мобильные приложения, андроид, разработка приложений, флаттер
game_development|Разработка игр|разработка игр, юнити, анрил, игровая студия
drone_services|Услуги с дроном|дрон, аэросъемка, квадрокоптер, беспилотник
printing_3d|3D-печать|3д принтер, прототипы, аддитивное производство, прототипирование
interior_design|Дизайн интерьера|дизайнер интерьера, оформление, декоратор, планировка
dance_school|Школа танцев|уроки танцев, балет, сальса, танцевальная студия
art_gallery|Галерея и багетная мастерская|багетная мастерская, рамы, выставки, картины
